Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0051093,0.005460842957604503,2022-01-20,2022-12-31,162.77680688027505
ABBT0051093,0.145465512934014,2022-01-20,2022-12-31,4336.03600953709
ABBT0051093,0.145465512934014,2022-01-20,2022-12-31,4336.03600953709
ABBT0051093,0.16109577106701475,2022-01-20,2022-12-31,4801.942743965576
ABBT0051093,0.017797419623408296,2022-01-20,2022-12-31,530.5054841345544
ABBT0051093,0.025691467971579535,2022-01-20,2022-12-31,765.8112772968428
ABBT0051093,0.08613210869526589,2022-01-20,2022-12-31,2567.4258959884855
ABBT0051093,0.04877945100771572,2022-01-20,2022-12-31,1454.0178756379903
ABBT0051093,0.057337346636554994,2022-01-20,2022-12-31,1709.1116285424314
ABBT0051093,0.057337346636554994,2022-01-20,2022-12-31,1709.1116285424314
ABBT0051093,0.005346867171000701,2022-01-20,2022-12-31,159.3794166331889
ABBT0051093,0.5223302008992305,2022-01-20,2022-12-31,15569.618628404265
ABBT0051093,0.10287694299152078,2022-01-20,2022-12-31,3066.5559166912517
ABBT0051093,0.627672183669284,2022-01-20,2022-12-31,18709.652450814017
ABBT0051093,0.006926918992444635,2022-01-20,2022-12-31,206.47760132678968
ABBT0051093,0.10366717012098371,2022-01-20,2022-12-31,3090.1110069662823
ABBT0051093,0.31063905208473563,2022-01-20,2022-12-31,9259.5288645418
ABBT0051093,0.038348795246212486,2022-01-20,2022-12-31,1143.100888699102
ABBT0051093,0.038348795246212486,2022-01-20,2022-12-31,1143.100888699102
ABBT0051093,0.30499818503124404,2022-01-20,2022-12-31,9091.385899411323
ABBT0051093,0.30499818503124404,2022-01-20,2022-12-31,9091.385899411323
ABBT0051093,0.10284369066328795,2022-01-20,2022-12-31,3065.5647312912874
ABBT0051093,0.24571285387911668,2022-01-20,2022-12-31,7324.208748428709
ABBT0051093,1.0192215737984145,2022-01-20,2022-12-31,30380.95667178314
ABBT0051093,9.26461642490139,2022-01-20,2022-12-31,276159.68639346067
ABBT0051093,0.023298565075156312,2022-01-20,2022-12-31,694.4836277602594
ABBT0051093,0.040224987569573996,2022-01-20,2022-12-31,1199.0264294738618
ABBT0051093,0.07451929291408942,2022-01-20,2022-12-31,2221.271083183178
ABBT0051093,0.024904533815270764,2022-01-20,2022-12-31,742.3543439655909
ABBT0051093,0.016403079786518796,2022-01-20,2022-12-31,488.9430022765523
ABBT0154917,0.006638555043498622,2022-01-19,2022-12-31,198.4556198923652
ABBT0154917,0.015172351779527844,2022-01-19,2022-12-31,453.5683530379172
ABBT0154917,0.09572276061966077,2022-01-19,2022-12-31,2861.5744950683875
ABBT0154917,0.019168341952714107,2022-01-19,2022-12-31,573.0260816712166
ABBT0154917,9.199711979264865,2022-01-19,2022-12-31,275019.8697929356
ABBT0154917,0.08090199492343579,2022-01-19,2022-12-31,2418.516597039159
ABBT0154917,1.8597020807676368,2022-01-19,2022-12-31,55594.67788330004
ABBT0154917,0.06546772319620804,2022-01-19,2022-12-31,1957.1183043167218
ABBT0154917,0.06663114228163157,2022-01-19,2022-12-31,1991.898019824007
ABBT0154917,0.4907327168630084,2022-01-19,2022-12-31,14670.16013098952
ABBT0154917,0.05638372043860853,2022-01-19,2022-12-31,1685.557492279939
ABBT0154917,0.8821045571205965,2022-01-19,2022-12-31,26369.98647238596
ABBT0154917,0.03823282534461522,2022-01-19,2022-12-31,1142.9473739820655
ABBT0154917,0.32639074685347497,2022-01-19,2022-12-31,9757.255542736522
ABBT0154917,0.009861895957423927,2022-01-19,2022-12-31,294.8154625096139
ABBT0154917,0.6797265543582129,2022-01-19,2022-12-31,20320.017506606164
ABBT0154917,0.12235411573878553,2022-01-19,2022-12-31,3657.7028775415506
ABBT0154917,0.23308381335686065,2022-01-19,2022-12-31,6967.900750015335
ABBT0154917,0.3065001505395982,2022-01-19,2022-12-31,9162.638100290966
ABBT0154917,0.08634733682275232,2022-01-19,2022-12-31,2581.301825914087
ABBT0154917,2.152239012516642,2022-01-19,2022-12-31,64339.893935777516
ABBT0154917,0.44356191296939224,2022-01-19,2022-12-31,13260.0172510722
ABBT0154917,0.05878466370946924,2022-01-19,2022-12-31,1757.3322507963574
ABBT0154917,0.0056539077928966395,2022-01-19,2022-12-31,169.0201811239693
ABBT0154917,0.07729757694617587,2022-01-19,2022-12-31,2310.76468425976
ABBT0154917,0.02238861931545313,2022-01-19,2022-12-31,669.2943412638822
ABBT0137652,9.227820978064598,2022-01-19,2022-12-31,275860.17144665436
ABBT0137652,0.29712539262133303,2022-01-19,2022-12-31,8882.385337179177
ABBT0137652,0.3985858870073457,2022-01-19,2022-12-31,11915.485940552395
ABBT0137652,0.12034464214732533,2022-01-19,2022-12-31,3597.6308702090028
ABBT0137652,0.06821732234653509,2022-01-19,2022-12-31,2039.3159211562588
ABBT0137652,0.006386776947969404,2022-01-19,2022-12-31,190.92886479337656
ABBT0137652,0.01161096132537664,2022-01-19,2022-12-31,347.10272224533946
ABBT0137652,0.1409677665561139,2022-01-19,2022-12-31,4214.146800535092
ABBT0137652,0.10321490042241742,2022-01-19,2022-12-31,3085.547519187915
ABBT0137652,0.10321490042241742,2022-01-19,2022-12-31,3085.547519187915
ABBT0137652,0.03437279262239982,2022-01-19,2022-12-31,1027.5540117710693
