Emissions ID,Site ID,Equipment,Component,Status,Days Active,Days Emitting,Estimated Days Active,Date Began,Date Repaired or Expired,Theoretical End Date,Mitigated Emissions (Kg Methane),"""True"" Volume Emitted (Kg Methane)","""Estimated"" Volume Emitted (Kg Methane)","""True"" Rate (g/s)","""Measured"" Rate (g/s)",Initially Detected By,Initially Detected Date,Tagged,Tagged By,Recorded,Recorded By,Repairable
0000000000,ABBT0095262,CatalyticHeater,Connector_0,repaired,68,68,0,2021-03-10,2022-03-10,2022-03-10,0.0,13.185631786138465,,0.002244286455974003,,,,True,natural,N/A,N/A,True
0000000000,ABBT0095262,CatalyticHeater,Regulator_0,repaired,56,56,121,2022-03-25,2022-05-20,2023-03-25,1490.0519677185507,370.85737863217264,,0.07664876377153039,0.07664876377153039,OGI_FU,2022-05-04,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,CatalyticHeater,Valve_0,repaired,226,226,0,2021-08-15,2022-08-15,2022-08-15,0.0,91.47531887494567,,0.004684699631009591,,,,True,natural,N/A,N/A,True
0000000000,ABBT0095262,CatalyticHeater,CatadyneHeater_0,active,209,209,0,2022-06-06,,2023-06-06,0.0,74.62689809014144,,0.0041327140976730814,,,,False,,N/A,N/A,True
0000000000,ABBT0095262,FlareKnockOutDrum,Connector_2,repaired,231,231,0,2021-08-20,2022-08-20,2022-08-20,0.0,65.80807031658054,,0.003297261820415491,,,,True,natural,N/A,N/A,True
0000000000,ABBT0095262,FlareKnockOutDrum,Connector_5,repaired,18,18,2,2021-01-28,2022-01-19,2022-01-28,77.09053491435948,154.18106982871896,,0.09913906238986557,0.09913906238986557,OGI_FU,2022-01-03,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,FlareKnockOutDrum,Connector_11,repaired,18,18,2,2021-02-23,2022-01-19,2022-02-23,104.78626065650363,53.89007690905902,,0.03465154122238877,0.03465154122238877,OGI_FU,2022-01-03,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,GasBoot,Connector_3,repaired,18,18,2,2021-04-02,2022-01-19,2022-04-02,344.7660734967428,85.01081264303248,,0.05466230236820504,0.05466230236820504,OGI_FU,2022-01-03,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,GasBoot,Connector_6,active,70,70,0,2022-10-23,,2023-10-23,0.0,666.5886663533518,,0.11021638001874201,,,,False,,N/A,N/A,True
0000000000,ABBT0095262,GasBoot,Connector_15,repaired,18,18,2,2021-05-29,2022-01-19,2022-05-29,251.49290496166373,34.82209453315344,,0.022390750085618208,0.022390750085618208,OGI_FU,2022-01-03,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,GasPipelineHeader,Connector_3,repaired,18,18,2,2021-04-12,2022-01-19,2022-04-12,573.3194824032031,124.33434558141755,,0.07994749587282507,0.07994749587282507,OGI_FU,2022-01-03,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,GasPipelineHeader,Connector_39,active,314,314,0,2022-02-21,,2023-02-21,0.0,16.830707669871977,,0.0006203817111152386,,,,False,,N/A,N/A,True
0000000000,ABBT0095262,GasPipelineHeader,Connector_54,repaired,18,18,2,2021-11-28,2022-01-19,2022-11-28,1267.8724625204986,72.91279337178587,,0.04688322619070593,0.04688322619070593,OGI_FU,2022-01-03,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,GasPipelineHeader,Valve_9,repaired,77,77,121,2022-03-04,2022-05-20,2023-03-04,2319.296773657082,793.7148958737571,,0.1193053895914137,0.1193053895914137,OGI_FU,2022-05-04,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,Incinerator,Connector_0,repaired,86,86,121,2022-02-23,2022-05-20,2023-02-23,649.7726363057578,248.35754098797855,,0.03342451832848548,0.03342451832848548,OGI_FU,2022-05-04,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,Incinerator,Connector_24,repaired,39,39,121,2022-08-10,2022-09-18,2023-08-10,7777.850338064001,2916.6938767740007,,0.8655905379789887,0.8655905379789887,OGI_FU,2022-09-02,True,OGI_FU,N/A,N/A,True
0000000001,ABBT0095262,Incinerator,Connector_52,active,256,256,0,2022-04-20,,2023-04-20,0.0,41.14901962075362,,0.0018603976608051946,,,,False,,N/A,N/A,True
0000000000,ABBT0095262,Incinerator,Connector_52,repaired,18,18,2,2021-12-24,2022-01-19,2022-12-24,5730.689616497825,304.28440441581375,,0.19565612423856335,0.19565612423856335,OGI_FU,2022-01-03,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,Incinerator,Valve_2,repaired,18,18,2,2021-12-19,2022-01-19,2022-12-19,4732.071613557441,255.02182348513153,,0.1639800819734642,0.1639800819734642,OGI_FU,2022-01-03,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,LineHeater,Connector_0,repaired,129,129,121,2022-05-12,2022-09-18,2023-05-12,2981.9613581935214,3698.778992374657,,0.3318600158245995,0.3318600158245995,OGI_FU,2022-09-02,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,LineHeater,Connector_27,repaired,123,123,121,2022-01-17,2022-05-20,2023-01-17,3557.981008347935,1945.0296178968715,,0.1830237144211901,0.1830237144211901,OGI_FU,2022-05-04,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,LineHeater,Connector_48,repaired,18,18,2,2021-12-15,2022-01-19,2022-12-15,13797.335712094648,752.5819479324352,,0.4839132895656091,0.4839132895656091,OGI_FU,2022-01-03,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,LineHeater,Regulator_1,active,54,54,0,2022-11-08,,2023-11-08,0.0,567.4533251822758,,0.12162494109702411,,,,False,,N/A,N/A,True
0000000000,ABBT0095262,LiquidPipelineHeader,Connector_25,active,26,26,0,2022-12-06,,2023-12-06,0.0,92.5304132092365,,0.041190532945707126,,,,False,,N/A,N/A,True
0000000000,ABBT0095262,LiquidPipelineHeader,Connector_28,active,20,20,0,2022-12-12,,2023-12-12,0.0,1753.8884567538012,,1.014981745806598,,,,False,,N/A,N/A,True
0000000000,ABBT0095262,LiquidPipelineHeader,Connector_111,active,249,249,0,2022-04-27,,2023-04-27,0.0,112.52538941414322,,0.005230430491137849,,,,False,,N/A,N/A,True
0000000000,ABBT0095262,LiquidPipelineHeader,Connector_114,repaired,88,88,121,2022-06-22,2022-09-18,2023-06-22,209.1300460786066,176.95619283574402,,0.02327391004257997,0.02327391004257997,OGI_FU,2022-09-02,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,PigTrap(GasService),Connector_2,repaired,18,18,2,2021-02-11,2022-01-19,2022-02-11,334.1499819439445,261.5086815213479,,0.16815115838564035,0.16815115838564035,OGI_FU,2022-01-03,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,PigTrap(GasService),Connector_5,repaired,18,18,2,2021-12-30,2022-01-19,2022-12-30,3799.6391245612267,198.2420412814553,,0.12747044835484522,0.12747044835484522,OGI_FU,2022-01-03,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,PigTrap(GasService),Connector_14,active,74,74,0,2022-10-19,,2023-10-19,0.0,103.4302915913545,,0.01617716022137051,,,,False,,N/A,N/A,True
0000000000,ABBT0095262,PigTrap(GasService),Connector_19,repaired,50,50,121,2022-07-30,2022-09-18,2023-07-30,362.48770911604254,174.27293707502045,,0.04034095765625473,0.04034095765625473,OGI_FU,2022-09-02,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,PigTrap(GasService),Valve_7,repaired,18,18,2,2021-07-10,2022-01-19,2022-07-10,112.16663273320677,11.738368541847219,,0.007547819278451144,0.007547819278451144,OGI_FU,2022-01-03,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,PopTank,Connector_0,repaired,37,37,121,2022-04-13,2022-05-20,2023-04-13,117.95664227174544,19.39731450690925,,0.006067728511921062,0.006067728511921062,OGI_FU,2022-05-04,True,OGI_FU,N/A,N/A,True
0000000002,ABBT0095262,PopTank,Connector_1,active,19,19,0,2022-12-13,,2023-12-13,0.0,1518.6286333726744,,0.9250905417718532,,,,False,,N/A,N/A,True
0000000000,ABBT0095262,PopTank,Connector_1,repaired,18,18,2,2021-01-16,2022-01-19,2022-01-16,0.0,778.3540896776931,,0.5004848827660063,0.2523658976813466,OGI_FU,2022-01-03,True,OGI_FU,N/A,N/A,True
0000000001,ABBT0095262,PopTank,Connector_1,repaired,18,18,2,2021-06-14,2022-01-19,2022-06-14,53.57225425964708,6.604798470367448,,0.004246912596686888,0.2523658976813466,OGI_FU,2022-01-03,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,PopTank,Connector_2,active,273,273,0,2022-04-03,,2023-04-03,0.0,98.54672148322956,,0.004177974557523977,,,,False,,N/A,N/A,True
0000000000,ABBT0095262,ProductionTank(fixedroof-heavyoil),Connector_3,repaired,85,85,121,2022-02-24,2022-05-20,2023-02-24,220.24867312603246,83.20505429205672,,0.011329664255454345,0.011329664255454345,OGI_FU,2022-05-04,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,ProductionTank(fixedroof-heavyoil),Connector_8,active,97,97,0,2022-09-26,,2023-09-26,0.0,731.6022953595249,,0.08729504287890474,,,,False,,N/A,N/A,True
0000000000,ABBT0095262,ProductionTank(fixedroof-heavyoil),Connector_14,repaired,17,17,121,2022-09-01,2022-09-18,2023-09-01,1123.837986760743,183.70428629742912,,0.1250710010194915,0.1250710010194915,OGI_FU,2022-09-02,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,ProductionTank(fixedroof-heavyoil),Connector_19,repaired,18,18,2,2021-06-30,2022-01-19,2022-06-30,1670.44653187764,185.60517020862667,,0.11934488825143175,0.060916573361313134,OGI_FU,2022-01-03,True,OGI_FU,N/A,N/A,True
0000000001,ABBT0095262,ProductionTank(fixedroof-heavyoil),Connector_19,repaired,18,18,2,2021-09-06,2022-01-19,2022-09-06,49.44667233957739,3.8697395744017085,,0.002488258471194514,0.060916573361313134,OGI_FU,2022-01-03,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,ProductionTank(fixedroof-heavyoil),Connector_31,repaired,115,115,121,2022-01-25,2022-05-20,2023-01-25,163737.21986611615,83687.91237601492,,8.422696495170584,8.422696495170584,OGI_FU,2022-05-04,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,ProductionTank(fixedroof-heavyoil),Valve_0,repaired,86,86,121,2022-06-24,2022-09-18,2023-06-24,353.25156034005903,292.1118672042795,,0.03931307428998163,0.03931307428998163,OGI_FU,2022-09-02,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,ScrewCompressor,Connector_19,repaired,24,24,121,2022-08-25,2022-09-18,2023-08-25,82125.99088665422,18952.151743074053,,9.139733672392964,9.139733672392964,OGI_FU,2022-09-02,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,ScrewCompressor,Connector_63,repaired,109,109,121,2022-06-01,2022-09-18,2023-06-01,124.13673687915782,130.10484922911735,,0.013815074884165534,0.013815074884165534,OGI_FU,2022-09-02,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,ScrewCompressor,Connector_68,active,119,119,0,2022-09-04,,2023-09-04,0.0,676.0047753430732,,0.06574898608612212,,,,False,,N/A,N/A,True
0000000000,ABBT0095262,ScrewCompressor,Connector_73,active,53,53,0,2022-11-09,,2023-11-09,0.0,26.597293474786103,,0.005808283865038894,,,,False,,N/A,N/A,True
0000000000,ABBT0095262,ScrewCompressor,Connector_83,repaired,35,35,121,2022-08-14,2022-09-18,2023-08-14,6737.945198396917,2267.577710998962,,0.7498603541663235,0.7498603541663235,OGI_FU,2022-09-02,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,ScrewCompressor,Connector_127,repaired,21,21,0,2021-01-22,2022-01-22,2022-01-22,0.0,1.7610190012950768,,0.000970579255563865,,,,True,natural,N/A,N/A,True
0000000000,ABBT0095262,ScrewCompressor,Connector_174,repaired,18,18,2,2021-03-20,2022-01-19,2022-03-20,18408.767290676984,5522.6301872030945,,3.551073937244788,3.551073937244788,OGI_FU,2022-01-03,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,Separator,Connector_5,repaired,18,18,2,2021-09-11,2022-01-19,2022-09-11,7469.222463176406,572.1106567539375,,0.36786950665762436,0.36786950665762436,OGI_FU,2022-01-03,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,Separator,Connector_8,repaired,108,108,121,2022-02-01,2022-05-20,2023-02-01,669.8396529288044,321.52303340582614,,0.03445677227000023,0.03445677227000023,OGI_FU,2022-05-04,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0095262,Separator,Connector_13,repaired,78,78,121,2022-03-03,2022-05-20,2023-03-03,229.4953936540703,79.55840313341103,,0.011805318603604438,0.011805318603604438,OGI_FU,2022-05-04,True,OGI_FU,N/A,N/A,True
