Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($)
2022-01-01,5861429.59954,1509634.39954,4351795.20000,0.00000,43583,43818,0,156,0,0,31200.00000
2022-01-02,5864356.05082,1505717.97082,4358638.08000,0.00000,43585,128,0,90,0,0,18000.00000
2022-01-03,5867743.00008,1506495.64009,4361247.36000,0.00000,43587,120,0,87,0,0,17400.00000
2022-01-04,5861472.30286,1504631.34286,4356840.96000,0.00000,43573,101,0,76,0,0,15200.00000
2022-01-05,5867127.87722,1509492.03722,4357635.84000,0.00000,43587,120,0,73,0,0,14600.00000
2022-01-06,5868547.00017,1510064.44017,4358482.56000,0.00000,43606,132,0,74,0,0,14800.00000
2022-01-07,5867521.85771,1508883.77771,4358638.08000,0.00000,43600,115,0,86,0,0,17200.00000
2022-01-08,5880470.72909,1510151.36909,4370319.36000,0.00000,43612,128,0,81,0,0,16200.00000
2022-01-09,5882709.63977,1510230.27977,4372479.36000,0.00000,43617,125,0,89,0,0,17800.00000
2022-01-10,5884792.40546,1509392.72546,4375399.68000,0.00000,43631,134,0,78,0,0,15600.00000
2022-01-11,5873922.47237,1500440.87237,4373481.60000,0.00000,43634,107,0,73,0,0,14600.00000
2022-01-12,5873981.87555,1498875.95555,4375105.92000,0.00000,43612,105,0,88,0,0,17600.00000
2022-01-13,5875820.45363,1495737.89364,4380082.56000,0.00000,43627,137,0,84,0,0,16800.00000
2022-01-14,5873629.96146,1494238.60146,4379391.36000,0.00000,43608,115,0,94,0,0,18800.00000
2022-01-15,5874204.68339,1492722.44339,4381482.24000,0.00000,43584,110,0,98,0,0,19600.00000
2022-01-16,5875773.91839,1492027.99839,4383745.92000,0.00000,43570,127,0,102,0,0,20400.00000
2022-01-17,5874267.47246,1490728.91246,4383538.56000,0.00000,43577,129,0,82,0,0,16400.00000
2022-01-18,5870948.17112,1491332.17112,4379616.00000,0.00000,43568,106,0,74,0,0,14800.00000
2022-01-19,5874930.25129,1493275.21129,4381655.04000,0.00000,43562,128,0,94,0,0,18800.00000
2022-01-20,5872719.72402,1494468.84402,4378250.88000,0.00000,43558,109,0,74,0,0,14800.00000
2022-01-21,5879109.01247,1494879.25248,4384229.76000,0.00000,43563,130,0,92,0,0,18400.00000
2022-01-22,5879904.75716,1496331.63716,4383573.12000,0.00000,43576,140,0,89,0,0,17800.00000
2022-01-23,5880166.98667,1496472.90667,4383694.08000,0.00000,43576,116,0,74,0,0,14800.00000
2022-01-24,5888181.38183,1497920.90183,4390260.48000,0.00000,43585,142,0,100,0,0,20000.00000
2022-01-25,5887034.00405,1493524.88405,4393509.12000,0.00000,43574,121,0,96,0,0,19200.00000
2022-01-26,5885979.54793,1495615.38793,4390364.16000,0.00000,43564,142,0,105,0,0,21000.00000
2022-01-27,5879623.89493,1494599.25493,4385024.64000,0.00000,43555,102,0,79,0,0,15800.00000
2022-01-28,5867244.25261,1475359.45261,4391884.80000,0.00000,43567,123,0,85,0,0,17000.00000
2022-01-29,5863377.87631,1475052.75631,4388325.12000,0.00000,43541,114,0,95,0,0,19000.00000
2022-01-30,5864801.53967,1476269.05967,4388532.48000,0.00000,43538,116,0,78,0,0,15600.00000
2022-01-31,5858235.98210,1474369.10210,4383866.88000,0.00000,43535,122,0,84,0,0,16800.00000
2022-02-01,5860474.87741,1474966.39741,4385508.48000,0.00000,43549,131,0,94,0,0,18800.00000
2022-02-02,5858622.97013,1476259.45013,4382363.52000,0.00000,43545,119,0,84,0,0,16800.00000
2022-02-03,5866624.86890,1482170.46890,4384454.40000,0.00000,43576,135,0,65,0,0,13000.00000
2022-02-04,5873970.25822,1481739.85822,4392230.40000,0.00000,43570,106,0,85,0,0,17000.00000
2022-02-05,5872645.48632,1481814.76632,4390830.72000,0.00000,43583,131,0,82,0,0,16400.00000
2022-02-06,5875996.07195,1482348.71195,4393647.36000,0.00000,43579,120,0,90,0,0,18000.00000
2022-02-07,5880530.90870,1487090.90870,4393440.00000,0.00000,43577,126,0,89,0,0,17800.00000
2022-02-08,5880550.45761,1484259.25761,4396291.20000,0.00000,43581,116,0,77,0,0,15400.00000
2022-02-09,5878580.89490,1484276.89490,4394304.00000,0.00000,43574,131,0,97,0,0,19400.00000
2022-02-10,5872345.08973,1485315.96973,4387029.12000,0.00000,43582,117,0,69,0,0,13800.00000
2022-02-11,5867879.43223,1485671.43223,4382208.00000,0.00000,43569,120,0,87,0,0,17400.00000
2022-02-12,5867541.12349,1484745.60349,4382795.52000,0.00000,43598,129,0,63,0,0,12600.00000
2022-02-13,5866379.08862,1483929.16862,4382449.92000,0.00000,43596,125,0,92,0,0,18400.00000
2022-02-14,5862390.96208,1482723.12208,4379667.84000,0.00000,43581,114,0,91,0,0,18200.00000
2022-02-15,5853857.64521,1481412.84521,4372444.80000,0.00000,43575,115,0,84,0,0,16800.00000
2022-02-16,5855454.91950,1480262.59950,4375192.32000,0.00000,43587,134,0,95,0,0,19000.00000
2022-02-17,5867039.57251,1486127.57251,4380912.00000,0.00000,43585,121,0,91,0,0,18200.00000
2022-02-18,5867906.10134,1484678.58134,4383227.52000,0.00000,43558,110,0,100,0,0,20000.00000
2022-02-19,5579523.34013,1196727.82013,4382795.52000,0.00000,43559,133,0,97,0,0,19400.00000
2022-02-20,5578681.68286,1195367.76286,4383313.92000,0.00000,43554,108,0,77,0,0,15400.00000
2022-02-21,5582733.21422,1203825.69422,4378907.52000,0.00000,43561,118,0,79,0,0,15800.00000
2022-02-22,5579518.54044,1201578.70044,4377939.84000,0.00000,43574,126,0,76,0,0,15200.00000
2022-02-23,5571399.51841,1196431.83841,4374967.68000,0.00000,43569,115,0,82,0,0,16400.00000
