Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),OGI Deployment Cost ($),OGI Sites flagged for Follow-Up,OGI Leaks tagged for repair,OGI Sites Visited,OGI Travel Time (Minutes),OGI Survey Time (Minutes)
2022-01-01,9805.23071,9805.23071,0,2876.00000,340,342,0,2,31,0.00000,400.00000,2876.00000,,31,3,180,300
2022-01-02,9805.23071,9805.23071,0,2876.00000,340,0,0,0,83,0.00000,0.00000,2876.00000,,83,3,180,360
2022-01-03,9809.61312,9809.61312,0,2876.00000,341,1,0,0,51,0.00000,0.00000,2876.00000,,51,3,180,300
2022-01-04,9809.61312,9809.61312,0,2876.00000,341,0,0,0,54,0.00000,0.00000,2876.00000,,54,3,180,360
2022-01-05,9812.23194,9812.23194,0,0.00000,342,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-06,9812.23194,9812.23194,0,0.00000,342,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-07,9813.76469,9813.76469,0,0.00000,344,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-08,9859.73758,9859.73758,0,0.00000,347,3,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-09,9865.34634,9865.34634,0,0.00000,348,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-10,9967.41831,9967.41831,0,0.00000,349,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-11,9967.41831,9967.41831,0,0.00000,349,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-12,9967.41831,9967.41831,0,0.00000,349,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-13,9967.41831,9967.41831,0,0.00000,349,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-14,9967.41831,9967.41831,0,0.00000,349,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-15,9971.27481,9971.27481,0,0.00000,350,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-16,8839.46038,8839.46038,0,9200.00000,307,3,46,0,0,9200.00000,0.00000,0.00000,,0,0,0,0
2022-01-17,5758.19684,5758.19684,0,19000.00000,213,2,95,1,0,19000.00000,200.00000,0.00000,,0,0,0,0
2022-01-18,4667.50191,4667.50191,0,12000.00000,154,1,60,0,0,12000.00000,0.00000,0.00000,,0,0,0,0
2022-01-19,952.22757,952.22757,0,15200.00000,80,2,76,0,0,15200.00000,0.00000,0.00000,,0,0,0,0
2022-01-20,965.64690,965.64690,0,0.00000,82,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-21,999.18461,999.18461,0,0.00000,83,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-22,1023.25720,1023.25720,0,0.00000,85,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-23,981.24208,981.24208,0,0.00000,85,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-24,981.24208,981.24208,0,0.00000,85,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-25,981.24208,981.24208,0,0.00000,85,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-26,981.86666,981.86666,0,0.00000,86,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-27,981.86666,981.86666,0,0.00000,86,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-28,981.86666,981.86666,0,0.00000,86,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-29,1003.50463,1003.50463,0,0.00000,87,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-30,1003.50463,1003.50463,0,0.00000,87,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-31,1003.50463,1003.50463,0,0.00000,87,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-01,1003.50463,1003.50463,0,0.00000,87,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-02,1068.23261,1068.23261,0,0.00000,89,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-03,1069.62629,1069.62629,0,0.00000,90,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-04,1094.90731,1094.90731,0,0.00000,91,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-05,1094.56601,1094.56601,0,0.00000,90,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
