Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($)
2022-01-01,936.47565,936.47565,0,0.00000,346,349,0,3,0,0,600.00000
2022-01-02,927.53769,927.53769,0,0.00000,343,0,0,3,0,0,600.00000
2022-01-03,930.44253,930.44253,0,0.00000,345,2,0,0,0,0,0.00000
2022-01-04,930.44253,930.44253,0,0.00000,345,0,0,0,0,0,0.00000
2022-01-05,930.44253,930.44253,0,0.00000,345,0,0,0,0,0,0.00000
2022-01-06,925.30319,925.30319,0,0.00000,344,1,0,2,0,0,400.00000
2022-01-07,928.43148,928.43148,0,0.00000,346,2,0,0,0,0,0.00000
2022-01-08,919.71696,919.71696,0,0.00000,344,0,0,2,0,0,400.00000
2022-01-09,914.80108,914.80108,0,0.00000,342,0,0,2,0,0,400.00000
2022-01-10,901.39413,901.39413,0,0.00000,337,0,0,5,0,0,1000.00000
2022-01-11,903.62862,903.62862,0,0.00000,336,1,0,2,0,0,400.00000
2022-01-12,902.06448,902.06448,0,0.00000,336,1,0,1,0,0,200.00000
2022-01-13,899.38308,899.38308,0,0.00000,335,0,0,1,0,0,200.00000
2022-01-14,894.91410,894.91410,0,0.00000,334,0,0,1,0,0,200.00000
2022-01-15,894.91410,894.91410,0,0.00000,334,0,0,0,0,0,0.00000
2022-01-16,886.19958,886.19958,0,0.00000,332,0,0,2,0,0,400.00000
2022-01-17,891.78581,891.78581,0,0.00000,332,1,0,1,0,0,200.00000
2022-01-18,891.78581,891.78581,0,0.00000,332,0,0,0,0,0,0.00000
2022-01-19,891.78581,891.78581,0,0.00000,332,0,0,0,0,0,0.00000
2022-01-20,894.46720,894.46720,0,0.00000,333,1,0,0,0,0,0.00000
2022-01-21,905.19276,905.19276,0,0.00000,337,4,0,0,0,0,0.00000
2022-01-22,905.19276,905.19276,0,0.00000,337,0,0,0,0,0,0.00000
2022-01-23,898.04239,898.04239,0,0.00000,335,0,0,2,0,0,400.00000
2022-01-24,900.72378,900.72378,0,0.00000,336,1,0,0,0,0,0.00000
2022-01-25,900.72378,900.72378,0,0.00000,336,0,0,0,0,0,0.00000
2022-01-26,897.81894,897.81894,0,0.00000,334,0,0,2,0,0,400.00000
2022-01-27,891.78581,891.78581,0,0.00000,333,0,0,1,0,0,200.00000
2022-01-28,894.46720,894.46720,0,0.00000,334,1,0,0,0,0,0.00000
2022-01-29,896.70169,896.70169,0,0.00000,334,1,0,1,0,0,200.00000
2022-01-30,894.02030,894.02030,0,0.00000,333,0,0,1,0,0,200.00000
2022-01-31,895.58445,895.58445,0,0.00000,333,1,0,1,0,0,200.00000
2022-02-01,895.36100,895.36100,0,0.00000,332,0,0,1,0,0,200.00000
2022-02-02,898.04239,898.04239,0,0.00000,333,1,0,0,0,0,0.00000
2022-02-03,897.59549,897.59549,0,0.00000,332,0,0,1,0,0,200.00000
2022-02-04,901.84103,901.84103,0,0.00000,334,2,0,0,0,0,0.00000
2022-02-05,902.28792,902.28792,0,0.00000,335,1,0,0,0,0,0.00000
2022-02-06,905.41621,905.41621,0,0.00000,337,2,0,0,0,0,0.00000
2022-02-07,902.73482,902.73482,0,0.00000,336,0,0,1,0,0,200.00000
2022-02-08,902.28792,902.28792,0,0.00000,334,1,0,3,0,0,600.00000
2022-02-09,896.92514,896.92514,0,0.00000,332,0,0,2,0,0,400.00000
2022-02-10,899.60653,899.60653,0,0.00000,333,1,0,0,0,0,0.00000
2022-02-11,895.13755,895.13755,0,0.00000,332,0,0,1,0,0,200.00000
2022-02-12,891.56236,891.56236,0,0.00000,329,0,0,3,0,0,600.00000
2022-02-13,891.56236,891.56236,0,0.00000,329,0,0,0,0,0,0.00000
2022-02-14,888.65752,888.65752,0,0.00000,327,0,0,2,0,0,400.00000
2022-02-15,889.99822,889.99822,0,0.00000,327,1,0,1,0,0,200.00000
2022-02-16,896.03135,896.03135,0,0.00000,328,1,0,0,0,0,0.00000
2022-02-17,904.52242,904.52242,0,0.00000,329,2,0,1,0,0,200.00000
2022-02-18,906.08656,906.08656,0,0.00000,330,1,0,0,0,0,0.00000
2022-02-19,904.96931,904.96931,0,0.00000,330,1,0,1,0,0,200.00000
2022-02-20,904.96931,904.96931,0,0.00000,330,0,0,0,0,0,0.00000
2022-02-21,904.96931,904.96931,0,0.00000,330,0,0,0,0,0,0.00000
2022-02-22,907.87415,907.87415,0,0.00000,329,1,0,2,0,0,400.00000
2022-02-23,903.62862,903.62862,0,0.00000,327,0,0,2,0,0,400.00000
2022-02-24,903.62862,903.62862,0,0.00000,327,0,0,0,0,0,0.00000
2022-02-25,906.53346,906.53346,0,0.00000,329,2,0,0,0,0,0.00000
2022-02-26,900.50033,900.50033,0,0.00000,328,0,0,1,0,0,200.00000
2022-02-27,900.94723,900.94723,0,0.00000,329,2,0,1,0,0,200.00000
2022-02-28,900.94723,900.94723,0,0.00000,329,0,0,0,0,0,0.00000
2022-03-01,900.72378,900.72378,0,0.00000,328,1,0,2,0,0,400.00000
2022-03-02,898.04239,898.04239,0,0.00000,327,0,0,1,0,0,200.00000
2022-03-03,900.27688,900.27688,0,0.00000,327,1,0,1,0,0,200.00000
2022-03-04,901.61758,901.61758,0,0.00000,328,2,0,1,0,0,200.00000
2022-03-05,901.61758,901.61758,0,0.00000,328,0,0,0,0,0,0.00000
2022-03-06,906.08656,906.08656,0,0.00000,329,1,0,0,0,0,0.00000
2022-03-07,901.61758,901.61758,0,0.00000,328,0,0,1,0,0,200.00000
2022-03-08,899.15964,899.15964,0,0.00000,328,1,0,1,0,0,200.00000
2022-03-09,899.38308,899.38308,0,0.00000,329,1,0,0,0,0,0.00000
2022-03-10,896.03135,896.03135,0,0.00000,329,1,0,1,0,0,200.00000
2022-03-11,896.25480,896.25480,0,0.00000,330,1,0,0,0,0,0.00000
2022-03-12,893.57340,893.57340,0,0.00000,329,0,0,1,0,0,200.00000
2022-03-13,891.11546,891.11546,0,0.00000,328,1,0,2,0,0,400.00000
2022-03-14,893.79685,893.79685,0,0.00000,329,1,0,0,0,0,0.00000
2022-03-15,891.11546,891.11546,0,0.00000,328,0,0,1,0,0,200.00000
2022-03-16,888.65752,888.65752,0,0.00000,328,1,0,1,0,0,200.00000
2022-03-17,885.97613,885.97613,0,0.00000,327,1,0,2,0,0,400.00000
2022-03-18,884.41199,884.41199,0,0.00000,326,0,0,1,0,0,200.00000
2022-03-19,875.92092,875.92092,0,0.00000,324,0,0,2,0,0,400.00000
2022-03-20,868.54709,868.54709,0,0.00000,319,0,0,5,0,0,1000.00000
2022-03-21,866.08915,866.08915,0,0.00000,319,1,0,1,0,0,200.00000
2022-03-22,866.08915,866.08915,0,0.00000,319,0,0,0,0,0,0.00000
2022-03-23,865.64225,865.64225,0,0.00000,318,0,0,1,0,0,200.00000
2022-03-24,866.75950,866.75950,0,0.00000,318,1,0,1,0,0,200.00000
2022-03-25,869.44089,869.44089,0,0.00000,319,1,0,0,0,0,0.00000
2022-03-26,863.40776,863.40776,0,0.00000,318,0,0,1,0,0,200.00000
2022-03-27,857.82153,857.82153,0,0.00000,318,2,0,2,0,0,400.00000
2022-03-28,857.59808,857.59808,0,0.00000,317,0,0,1,0,0,200.00000
2022-03-29,857.59808,857.59808,0,0.00000,317,0,0,0,0,0,0.00000
2022-03-30,866.31260,866.31260,0,0.00000,319,3,0,1,0,0,200.00000
2022-03-31,860.72637,860.72637,0,0.00000,319,2,0,2,0,0,400.00000
2022-04-01,872.56918,872.56918,0,0.00000,323,4,0,0,0,0,0.00000
2022-04-02,875.47402,875.47402,0,0.00000,325,2,0,0,0,0,0.00000
2022-04-03,867.20640,867.20640,0,0.00000,325,2,0,2,0,0,400.00000
2022-04-04,864.97191,864.97191,0,0.00000,324,1,0,2,0,0,400.00000
