Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0120817,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0120817,0.005172435,2022-01-17,2022-12-31,155.52063763200002
ABBT0120817,0.005172435,2022-01-17,2022-12-31,155.52063763200002
ABBT0120817,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0120817,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0120817,0.0258621775,2022-01-17,2022-12-31,777.6032633280001
ABBT0120817,0.0258621775,2022-01-17,2022-12-31,777.6032633280001
ABBT0120817,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0120817,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0120817,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0120817,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0120817,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0120817,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0120817,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0120817,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0120817,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0120817,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0120817,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0120817,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0120817,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0121578,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0121578,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0121578,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0121578,0.0155173065,2022-01-17,2022-12-31,466.5619579968
ABBT0121578,0.0155173065,2022-01-17,2022-12-31,466.5619579968
ABBT0121578,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0121578,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0121578,0.095690057,2022-01-17,2022-12-31,2877.1320818304002
ABBT0121578,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0121578,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0121578,0.095690057,2022-01-17,2022-12-31,2877.1320818304002
ABBT0121578,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0121578,0.051724355,2022-01-17,2022-12-31,1555.2065266560003
ABBT0121578,0.095690057,2022-01-17,2022-12-31,2877.1320818304002
ABBT0121578,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0121578,0.095690057,2022-01-17,2022-12-31,2877.1320818304002
ABBT0121578,0.0168104155,2022-01-17,2022-12-31,505.4421249216
ABBT0121578,0.0168104155,2022-01-17,2022-12-31,505.4421249216
ABBT0121578,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0121578,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0121578,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0121578,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0121578,0.017069037199999998,2022-01-17,2022-12-31,513.21815529984
ABBT0121578,0.017069037199999998,2022-01-17,2022-12-31,513.21815529984
ABBT0121578,0.017069037199999998,2022-01-17,2022-12-31,513.21815529984
