Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),OGI Deployment Cost ($),OGI Sites flagged for Follow-Up,OGI Leaks tagged for repair,OGI Sites Visited,OGI Travel Time (Minutes),OGI Survey Time (Minutes)
2022-01-01,905.41621,905.41621,0,2876.00000,329,331,0,2,34,0.00000,400.00000,2876.00000,,34,3,180,300
2022-01-02,903.18172,903.18172,0,2876.00000,329,1,0,1,57,0.00000,200.00000,2876.00000,,57,3,180,360
2022-01-03,906.08656,906.08656,0,2876.00000,331,2,0,0,37,0.00000,0.00000,2876.00000,,37,3,180,300
2022-01-04,905.63966,905.63966,0,2876.00000,330,0,0,1,49,0.00000,200.00000,2876.00000,,49,3,180,360
2022-01-05,909.88520,909.88520,0,0.00000,332,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-06,921.05766,921.05766,0,0.00000,335,3,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-07,921.05766,921.05766,0,0.00000,335,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-08,921.05766,921.05766,0,0.00000,335,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-09,923.73905,923.73905,0,0.00000,336,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-10,929.77218,929.77218,0,0.00000,337,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-11,938.03980,938.03980,0,0.00000,338,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-12,937.81635,937.81635,0,0.00000,337,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-13,937.81635,937.81635,0,0.00000,337,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-14,947.64811,947.64811,0,0.00000,340,3,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-15,950.10606,950.10606,0,0.00000,340,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-16,759.05698,759.05698,0,11200.00000,284,0,56,0,0,11200.00000,0.00000,0.00000,,0,0,0,0
2022-01-17,496.95105,496.95105,0,15600.00000,207,1,78,0,0,15600.00000,0.00000,0.00000,,0,0,0,0
2022-01-18,340.31315,340.31315,0,10000.00000,158,1,50,0,0,10000.00000,0.00000,0.00000,,0,0,0,0
2022-01-19,130.94124,130.94124,0,13000.00000,93,0,65,0,0,13000.00000,0.00000,0.00000,,0,0,0,0
2022-01-20,130.71779,130.71779,0,0.00000,92,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-21,130.49434,130.49434,0,0.00000,91,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-22,130.49434,130.49434,0,0.00000,91,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-23,130.94124,130.94124,0,0.00000,92,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-24,141.89025,141.89025,0,0.00000,94,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
