Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0117636,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0117636,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0117636,0.0478450285,2022-01-17,2022-12-31,1438.5660409152001
ABBT0117636,0.0478450285,2022-01-17,2022-12-31,1438.5660409152001
ABBT0117636,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0117636,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0117636,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0117636,0.051724355,2022-01-17,2022-12-31,1555.2065266560003
ABBT0117636,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0117636,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0117636,0.051724355,2022-01-17,2022-12-31,1555.2065266560003
ABBT0117636,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0117636,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0117636,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0117636,0.025862177599999998,2022-01-17,2022-12-31,777.60326633472
ABBT0117636,0.025862177599999998,2022-01-17,2022-12-31,777.60326633472
ABBT0117636,0.025862177599999998,2022-01-17,2022-12-31,777.60326633472
ABBT0117636,0.025862177599999998,2022-01-17,2022-12-31,777.60326633472
ABBT0117636,0.025862177599999998,2022-01-17,2022-12-31,777.60326633472
ABBT0117636,0.0393105098,2022-01-17,2022-12-31,1181.95696025856
ABBT0117636,0.0393105098,2022-01-17,2022-12-31,1181.95696025856
ABBT0117636,0.0393105098,2022-01-17,2022-12-31,1181.95696025856
ABBT0117636,0.0393105098,2022-01-17,2022-12-31,1181.95696025856
ABBT0117636,0.0393105098,2022-01-17,2022-12-31,1181.95696025856
ABBT0117636,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0111994,0.0349139395,2022-01-17,2022-12-31,1049.7644017344
ABBT0111994,0.0349139395,2022-01-17,2022-12-31,1049.7644017344
ABBT0111994,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0111994,0.051724355,2022-01-17,2022-12-31,1555.2065266560003
ABBT0111994,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0111994,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0111994,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0111994,0.041379484,2022-01-17,2022-12-31,1244.1652213248
ABBT0111994,0.041379484,2022-01-17,2022-12-31,1244.1652213248
ABBT0111994,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0111994,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0111994,0.095690057,2022-01-17,2022-12-31,2877.1320818304002
ABBT0111994,0.095690057,2022-01-17,2022-12-31,2877.1320818304002
ABBT0111994,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0111994,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0111994,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0111994,0.06336233499999999,2022-01-17,2022-12-31,1905.1279989119998
ABBT0111994,0.06336233499999999,2022-01-17,2022-12-31,1905.1279989119998
ABBT0111994,0.060776117,2022-01-17,2022-12-31,1827.3676650624
