Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),stationary Deployment Cost ($),stationary Sites flagged for Follow-Up,stationary Leaks tagged for repair,stationary Sites Visited,stationary Travel Time (Minutes),stationary Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,887.54028,887.54028,0,6030.00000,312,313,0,1,0.00000,0.00000,200.00000,6030,0,,10,0,0,0.00000,,0,0,0,0
2022-01-02,892.00926,892.00926,0,30.00000,313,2,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-03,908.99140,908.99140,0,30.00000,316,3,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-04,908.99140,908.99140,0,30.00000,316,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-05,908.76795,908.76795,0,30.00000,315,1,0,2,0.00000,0.00000,400.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-06,908.76795,908.76795,0,30.00000,315,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-07,911.44934,911.44934,0,30.00000,316,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-08,895.13755,895.13755,0,30.00000,311,0,0,5,0.00000,0.00000,1000.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-09,895.13755,895.13755,0,30.00000,311,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-10,895.13755,895.13755,0,1030.00000,311,0,0,0,63.00000,0.00000,0.00000,30,10,,10,0,0,1000.00000,,63,3,120,360
2022-01-11,903.85207,903.85207,0,1030.00000,313,2,0,0,63.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,63,3,120,360
2022-01-12,903.18172,903.18172,0,1030.00000,311,0,0,2,54.00000,0.00000,400.00000,30,0,,10,0,0,1000.00000,,54,3,120,360
2022-01-13,903.18172,903.18172,0,530.00000,311,0,0,0,20.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,20,1,30,120
2022-01-14,906.31001,906.31001,0,30.00000,313,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-15,908.99140,908.99140,0,30.00000,314,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-16,915.02453,915.02453,0,30.00000,315,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-17,916.58867,916.58867,0,30.00000,316,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-18,916.58867,916.58867,0,30.00000,316,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-19,917.03557,917.03557,0,1030.00000,317,1,0,0,64.00000,0.00000,0.00000,30,10,,10,0,0,1000.00000,,64,3,120,360
2022-01-20,922.39835,922.39835,0,1030.00000,319,2,0,0,65.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,65,3,120,360
2022-01-21,925.07974,925.07974,0,1030.00000,320,1,0,0,55.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,55,3,120,360
2022-01-22,931.11287,931.11287,0,530.00000,321,1,0,0,20.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,20,1,30,120
2022-01-23,937.14600,937.14600,0,30.00000,322,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
