Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($)
P_aircraft,0,7868.317171046399,7856.0,35.65837808418133,1282.0354808452262
P_aircraft,1,0.0,2500.0,inf,0.0
P_aircraft,2,0.0,2500.0,inf,0.0
P_aircraft,3,13363.3801959552,13012.0,34.775204993040944,2177.381412417134
P_aircraft,4,13818.0993672096,13012.0,33.630839767808766,2251.4717291514235
P_drone,0,7868.317171046399,6356.0,28.849879213729192,1282.0354808452262
P_drone,1,4792.091832316801,5756.0,42.898056999888986,780.8063176591183
P_drone,2,0.0,1000.0,inf,0.0
P_drone,3,9509.7750798528,9712.0,36.47374832155461,1549.4887664280122
P_drone,4,13818.0993672096,11512.0,29.753936935675874,2251.4717291514235
P_OGI,0,76323.5478585504,44448.0,20.798673750996688,12435.886130609222
P_OGI,1,52001.547858950405,40848.0,28.05410998176754,8472.946370205796
P_OGI,2,65456.7657187392,41848.0,22.832955648823894,10665.291483367717
P_OGI,3,57390.919486416,42248.0,26.290868945117317,9351.071323187654
P_OGI,4,49892.8576412448,41248.0,29.52612712095003,8129.363921959077
P_stationary,0,242195.7087802944,887630.0,130.89031010590185,39462.5032538567
P_stationary,1,185057.2868290848,883430.0,170.4935372672537,30152.572976705138
P_stationary,2,246721.8960556416,883830.0,127.93901817185454,40199.984033266315
P_stationary,3,196920.42913621443,879230.0,159.4607099238575,32085.510988917176
P_stationary,4,196646.256922032,886430.0,160.9906782932889,32040.83834814753
P_truck,0,86684.8879051488,44492.0,18.330761432588975,14124.125849481039
P_truck,1,59619.825294336,42692.0,25.573947561686946,9714.241270089453
P_truck,2,74400.3205094304,42092.0,20.205366105851247,12122.522339381185
P_truck,3,65594.63391361921,42092.0,22.917815446083186,10687.755234341897
P_truck,4,56061.1732234752,43292.0,27.579566538493726,9134.407219218301
