Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0041377,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0041377,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0041377,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0041377,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0041377,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0041377,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0041377,0.002586218,2022-01-17,2022-12-31,77.7603338496
ABBT0136621,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0136621,0.0168104155,2022-01-17,2022-12-31,505.4421249216
ABBT0136621,0.0168104155,2022-01-17,2022-12-31,505.4421249216
ABBT0136621,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0136621,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0136621,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0136621,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0136621,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0108702,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT0108702,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT0108702,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT0108702,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT0108702,0.002586218,2022-01-18,2022-12-31,77.5368846144
ABBT0108702,0.005172435,2022-01-18,2022-12-31,155.073739248
ABBT0108702,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT0108702,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT0108702,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT0108702,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT0108702,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT0149449,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT0149449,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT0149449,0.06336233499999999,2022-01-18,2022-12-31,1899.6534931679998
ABBT0149449,0.06336233499999999,2022-01-18,2022-12-31,1899.6534931679998
ABBT0149449,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT0149449,0.002586218,2022-01-18,2022-12-31,77.5368846144
ABBT0149449,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT0149449,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT0149449,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT0121116,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT0121116,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT0121116,0.002586218,2022-01-18,2022-12-31,77.5368846144
ABBT0121116,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT0121116,0.002586218,2022-01-18,2022-12-31,77.5368846144
ABBT6850257,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT6850257,0.002586218,2022-01-19,2022-12-31,77.3134353792
ABBT6850257,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT6850257,0.051724355,2022-01-19,2022-12-31,1546.268558112
ABBT6850257,0.095690057,2022-01-19,2022-12-31,2860.5968399808
ABBT6850257,0.069827879,2022-01-19,2022-12-31,2087.4625459776
ABBT6850257,0.051724355,2022-01-19,2022-12-31,1546.268558112
ABBT6850257,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT6850257,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT6850257,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT6850257,0.095690057,2022-01-19,2022-12-31,2860.5968399808
ABBT0111782,0.051724355,2022-01-19,2022-12-31,1546.268558112
ABBT0111782,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0111782,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0111782,0.002586218,2022-01-19,2022-12-31,77.3134353792
ABBT0111782,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0111782,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0111782,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0111782,0.002586218,2022-01-19,2022-12-31,77.3134353792
ABBT0111782,0.002586218,2022-01-19,2022-12-31,77.3134353792
ABBT0048596,0.069827879,2022-01-20,2022-12-31,2081.429417232
ABBT0048596,0.018103524,2022-01-20,2022-12-31,539.629843392
ABBT0048596,0.095690057,2022-01-20,2022-12-31,2852.329219056
ABBT0048596,0.002586218,2022-01-20,2022-12-31,77.08998614400001
ABBT0048596,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0083817,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0083817,0.005172435,2022-01-20,2022-12-31,154.17994248000002
ABBT0083817,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0083817,0.051724355,2022-01-20,2022-12-31,1541.7995738400002
ABBT0083817,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0083817,0.018103524,2022-01-20,2022-12-31,539.629843392
ABBT0083817,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0083817,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0087168,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0087168,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0087168,0.002586218,2022-01-20,2022-12-31,77.08998614400001
ABBT0087168,0.002586218,2022-01-20,2022-12-31,77.08998614400001
ABBT0087168,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0087168,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0087168,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0087168,0.018103524,2022-01-20,2022-12-31,539.629843392
ABBT0087168,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0087168,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0087168,0.051724355,2022-01-20,2022-12-31,1541.7995738400002
ABBT0087168,0.095690057,2022-01-20,2022-12-31,2852.329219056
ABBT0087168,0.031034613,2022-01-20,2022-12-31,925.0797443040001
