Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),stationary Deployment Cost ($),stationary Sites flagged for Follow-Up,stationary Leaks tagged for repair,stationary Sites Visited,stationary Travel Time (Minutes),stationary Survey Time (Minutes),OGI_FU_persitehigh Deployment Cost ($),OGI_FU_persitehigh Sites flagged for Follow-Up,OGI_FU_persitehigh Leaks tagged for repair,OGI_FU_persitehigh Sites Visited,OGI_FU_persitehigh Travel Time (Minutes),OGI_FU_persitehigh Survey Time (Minutes)
2022-01-01,1021.98222,818.04757,203.93465,6030.00000,384,386,0,2,0.00000,0.00000,400.00000,6030,0,,10,0,0,0.00000,,0,0,0,0
2022-01-02,1030.24984,826.31519,203.93465,30.00000,385,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-03,1026.00430,822.06966,203.93465,30.00000,383,0,0,2,0.00000,0.00000,400.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-04,1012.37390,808.43925,203.93465,30.00000,380,0,0,3,0.00000,0.00000,600.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-05,1012.59735,808.66270,203.93465,30.00000,381,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-06,998.29660,803.29992,194.99668,30.00000,378,0,0,2,0.00000,0.00000,400.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-07,998.29660,803.29992,194.99668,30.00000,378,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-08,998.29660,803.29992,194.99668,30.00000,378,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-09,998.07315,803.07647,194.99668,30.00000,377,0,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-10,995.39176,800.39508,194.99668,5542.00000,376,1,0,2,31.00000,0.00000,400.00000,30,10,,10,0,0,5512.00000,,31,3,120,360
2022-01-11,995.39176,800.39508,194.99668,5542.00000,376,0,0,0,46.00000,0.00000,0.00000,30,0,,10,0,0,5512.00000,,46,3,120,360
2022-01-12,993.41796,800.39508,193.02288,5542.00000,375,1,0,1,56.00000,0.00000,200.00000,30,0,,10,0,0,5512.00000,,56,3,120,360
2022-01-13,996.09935,803.07647,193.02288,2786.00000,376,1,0,0,18.00000,0.00000,0.00000,30,0,,10,0,0,2756.00000,,18,1,30,120
2022-01-14,994.08831,800.61853,193.46978,30.00000,377,2,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-15,1012.18769,810.45030,201.73740,30.00000,381,4,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-16,1012.18769,810.45030,201.73740,30.00000,381,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-17,1007.71871,805.98131,201.73740,30.00000,380,0,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-18,1007.71871,805.98131,201.73740,30.00000,380,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-19,1009.69251,805.98131,203.71120,5542.00000,381,1,0,0,55.00000,0.00000,0.00000,30,10,,10,0,0,5512.00000,,55,3,120,360
2022-01-20,1009.69251,805.98131,203.71120,5542.00000,381,0,0,0,29.00000,0.00000,0.00000,30,0,,10,0,0,5512.00000,,29,3,120,360
2022-01-21,1009.24561,805.98131,203.26430,5542.00000,380,0,0,0,36.00000,0.00000,0.00000,30,0,,10,0,0,5512.00000,,36,3,120,360
2022-01-22,1008.53802,803.29992,205.23810,2786.00000,380,1,0,1,17.00000,0.00000,200.00000,30,0,,10,0,0,2756.00000,,17,1,30,120
2022-01-23,1006.30353,801.06543,205.23810,30.00000,380,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-24,1012.11321,806.87511,205.23810,30.00000,380,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-25,909.10312,703.86502,205.23810,5230.00000,353,0,26,1,0.00000,5200.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-26,768.33012,563.09202,205.23810,8230.00000,311,0,41,1,0.00000,8200.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-27,582.42037,368.91465,213.50572,10430.00000,259,1,52,1,0.00000,10400.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-28,507.37868,295.84676,211.53192,9342.00000,240,1,19,0,23.00000,3800.00000,0.00000,30,10,,10,0,0,5512.00000,,23,3,120,360
