Program Name,Simulation,"Total ""True"" Mitigated Emissions (Kg Methane)","Total ""True"" Emissions (Kg Methane)","Total ""Estimated"" Emissions (Kg Methane)","Total ""True"" Mitigable Emissions (Kg Methane)","Total ""True"" Non-Mitigable Emissions (Kg Methane)","Average ""True"" Emissions Rate (g/s)","95th Percentile ""True"" Emissions Rate (g/s)","5th Percentile ""True"" Emissions Rate (g/s)","Average ""True"" Emissions Amount (Kg Methane)","95th Percentile ""True"" Emissions Amount (Kg Methane)","5th Percentile ""True"" Emissions Amount (Kg Methane)","Year 2022 ""True"" Mitigated Emissions (Kg Methane)","Year 2022 ""True"" Emissions (Kg Methane)","Year 2022 ""Estimated"" Emissions (Kg Methane)"
P_aircraft,0,67569.70144521601,300011.7024695808,0.0,209690.77521167998,90320.92725790081,0.030541919950585167,0.095690057,0.002586218,390.13225288632094,1711.4422119321566,8.848588003200003,67518.09106124382,144599.995838292,87936.42652044463
P_aircraft,1,68220.38553258241,299698.16612086084,0.0,207337.85507183042,92360.3110490304,0.03197950982814614,0.095690057,0.002586218,405.54555632051535,1593.1928929679987,6.100163758080001,68215.74703517792,255059.62390980095,79135.13445733426
P_aircraft,2,72772.9398400608,311029.2755193024,0.0,198288.3852370368,112740.89028226561,0.030220983761174967,0.095690057,0.002586218,397.2276826555586,1524.8174355935992,12.5131571712,72772.93984006079,265963.3738450318,87478.5044865022
P_aircraft,3,77955.3974582784,305094.3157009728,0.0,201809.0510822016,103285.26461877121,0.03135200718242343,0.095690057,0.002586218,406.25075326361224,1708.604406740159,8.937967680000002,77955.39745827838,260687.4629081127,93994.20930896618
P_aircraft,4,75550.86055218239,279603.7505246304,0.0,180718.79703243842,98884.953492192,0.03124536824447513,0.095690057,0.002586218,386.1930255865061,1619.727486775199,10.725561786240002,75526.34115069683,239544.56423345747,74219.32623623026
P_drone,0,67569.70144521601,300011.7024695808,0.0,209690.77521167998,90320.92725790081,0.030541919950585167,0.095690057,0.002586218,390.13225288632094,1711.4422119321566,8.848588003200003,67518.09106124382,144599.995838292,88014.07512198703
P_drone,1,68220.38553258241,299698.16612086084,0.0,207337.85507183042,92360.3110490304,0.03197950982814614,0.095690057,0.002586218,405.54555632051535,1593.1928929679987,6.100163758080001,68215.74703517792,255059.62390980095,79254.90323634227
P_drone,2,72772.9398400608,311029.2755193024,0.0,198288.3852370368,112740.89028226561,0.030220983761174967,0.095690057,0.002586218,397.2276826555586,1524.8174355935992,12.5131571712,72772.93984006079,265963.3738450318,87649.96451615982
P_drone,3,77955.3974582784,305094.3157009728,0.0,201809.0510822016,103285.26461877121,0.03135200718242343,0.095690057,0.002586218,406.25075326361224,1708.604406740159,8.937967680000002,77955.39745827838,260687.4629081127,94128.12987022055
P_drone,4,72330.5104715232,282835.71996422403,0.0,183950.766472032,98884.953492192,0.03124536824447513,0.095690057,0.002586218,390.6570717737901,1652.3287293009591,10.72556282304,72298.0393600916,241524.5004598781,73436.36017380469
P_none,0,0.0,367216.287899904,0.0,276895.36064200324,90320.92725790081,0.030541919950585167,0.095690057,0.002586218,477.524431599355,1886.8945419071993,13.779368213760002,0.0,190367.5049574612,0.0
P_none,1,0.0,367860.6783071424,0.0,275500.36725811195,92360.3110490304,0.03197950982814614,0.095690057,0.002586218,497.7817027160249,1838.718893675519,10.792597334400002,0.0,304596.1838771116,0.0
P_none,2,0.0,383759.313110352,0.0,271018.4228280864,112740.89028226561,0.030220983761174967,0.095690057,0.002586218,490.11406527503453,1829.1552615359922,18.658011139200006,0.0,318829.72323321714,0.0
P_none,3,0.0,382931.731974384,0.0,279646.4673556128,103285.26461877121,0.03135200718242343,0.095690057,0.002586218,509.8957815903915,1796.509332912952,12.71426124096,0.0,315400.830754809,0.0
P_none,4,0.0,355052.2713366816,0.0,256167.3178444896,98884.953492192,0.03124536824447513,0.095690057,0.002586218,490.4036896915492,1818.787221584635,14.870545319520001,0.0,297052.2800957928,0.0
P_OGI,0,71029.5890818176,296505.11394766084,0.0,206184.18668976,90320.92725790081,0.030541919950585167,0.095690057,0.002586218,385.57231982790745,1612.4095287072,8.401689619200003,71027.59080740038,253694.871250468,33757.44052659822
P_OGI,1,73784.941360272,294152.8269256704,0.0,201792.51587663998,92360.3110490304,0.03197950982814614,0.095690057,0.002586218,398.04171437844434,1669.5231425452798,6.4800278208,73780.30270832306,250242.01051372327,34134.47396115819
P_OGI,2,81400.9843325088,302390.5054646016,0.0,189649.615182336,112740.89028226561,0.030220983761174967,0.095690057,0.002586218,386.19477070830345,1595.427385103999,12.960054993600007,81400.98433250884,261436.31058905635,38991.961853078246
P_OGI,3,73885.94041596481,309210.92052672955,0.0,205925.6559079584,103285.26461877121,0.03135200718242343,0.095690057,0.002586218,411.7322510342604,1708.604406740159,7.1503753881600005,73885.27772937584,261630.08996602497,32582.09786143669
P_OGI,4,60498.42766692481,294637.41367577284,0.0,195752.4601835808,98884.953492192,0.03124536824447513,0.095690057,0.002586218,406.95775369581884,1635.9834141647991,11.094254527680002,60480.535723510184,252643.90313412406,32052.969861580685
P_stationary,0,231299.65480406402,135458.5622070528,0.0,45137.63494915201,90320.92725790081,0.030541919950585167,0.095690057,0.002586218,176.1489755618372,661.2234513119994,6.25657844736,194209.80352609188,99965.93850420024,8908.138024531203
P_stationary,1,230120.9602476192,137335.27498191362,0.0,44974.9639328832,92360.3110490304,0.03197950982814614,0.095690057,0.002586218,185.839343683239,705.6637847683199,5.5862308800000005,190210.29655132908,101761.09438428475,8853.653661033602
P_stationary,2,226619.06406684482,156565.3142170656,0.0,43824.423934800005,112740.89028226561,0.030220983761174967,0.095690057,0.002586218,199.9557014266483,686.8828688255992,6.4800278208,188833.63476716066,123526.57678842383,10865.329681723206
P_stationary,3,235647.0826688736,146828.5894605312,0.0,43543.32484176,103285.26461877121,0.03135200718242343,0.095690057,0.002586218,195.51077158526124,845.6658957734378,5.809680115200001,199151.46456804473,110343.02506600805,9865.804126766407
P_stationary,4,214398.6266590848,140479.3542911616,0.0,41594.4007989696,98884.953492192,0.03124536824447513,0.095690057,0.002586218,194.03225730823428,675.0400607423974,6.9269262912,176227.39031239983,107573.45638375742,9655.575639508803
P_truck,0,75764.25447563521,291824.0763651072,0.0,201503.1491072064,90320.92725790081,0.030541919950585167,0.095690057,0.002586218,379.4851448180848,1595.2039367327986,8.937967680000002,75714.71644980142,248702.81283858125,88546.03325760941
P_truck,1,73059.8486725728,294900.2645346432,0.0,202539.95348561282,92360.3110490304,0.03197950982814614,0.095690057,0.002586218,399.05313198192584,1603.0246583663998,5.563885593600003,73059.8486725728,250476.12505028816,79207.04786817575
P_truck,2,83292.7053383424,300547.2729381408,0.0,187806.3826558752,112740.89028226561,0.030220983761174967,0.095690057,0.002586218,383.8407061789793,1590.9584008319982,12.513156480000001,83280.11497644747,258555.55432463784,90980.10263548786
P_truck,3,74177.7650532,308801.33815472637,0.0,205516.07353595522,103285.26461877121,0.03135200718242343,0.095690057,0.002586218,411.18686838179275,1626.732619318072,7.977136296960006,74177.76505319998,261200.9287852035,90180.52704302387
P_truck,4,77681.0019051936,277468.91673793923,0.0,178583.9632457472,98884.953492192,0.03124536824447513,0.095690057,0.002586218,383.2443601352752,1512.080828431199,10.17811266336,77648.53079376198,238726.1198226484,81515.31530590061
