Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),aircraft Deployment Cost ($),aircraft Sites flagged for Follow-Up,aircraft Leaks tagged for repair,aircraft Sites Visited,aircraft Travel Time (Minutes),aircraft Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,1027.86638,769.11219,258.75419,250.00000,383,384,0,0,0.00000,0.00000,0.00000,250.00000,0,,10,20,10,0.00000,,0,0,0,0
2022-01-02,1024.51464,765.76045,258.75419,0.00000,384,3,0,2,0.00000,0.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-03,1029.02087,772.24048,256.78039,1000.00000,385,2,0,0,30.00000,0.00000,0.00000,0.00000,10,,0,0,0,1000.00000,,30,3,120,360
2022-01-04,1027.45672,770.67634,256.78039,1000.00000,384,0,0,1,39.00000,0.00000,200.00000,0.00000,0,,0,0,0,1000.00000,,39,3,120,360
2022-01-05,1035.98503,781.17845,254.80658,1000.00000,385,2,0,0,40.00000,0.00000,0.00000,0.00000,0,,0,0,0,1000.00000,,40,3,120,360
2022-01-06,1038.21953,783.85984,254.35969,500.00000,385,1,0,0,18.00000,0.00000,0.00000,0.00000,0,,0,0,0,500.00000,,18,1,30,120
2022-01-07,1038.92712,786.54123,252.38588,0.00000,385,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-08,1040.49126,788.10538,252.38588,0.00000,386,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-09,1042.46506,788.10538,254.35969,0.00000,387,2,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-10,1047.64164,795.25575,252.38588,0.00000,388,2,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-11,1047.86508,795.47920,252.38588,0.00000,389,3,0,2,0.00000,0.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-12,1053.45131,801.06543,252.38588,0.00000,389,1,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-13,1054.12166,802.18268,251.93899,0.00000,387,1,0,2,0.00000,0.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-14,1053.89821,802.18268,251.71554,0.00000,386,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-15,1062.38928,810.45030,251.93899,0.00000,388,3,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-16,1062.16583,810.22685,251.93899,0.00000,388,1,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-17,1067.04448,813.13169,253.91279,0.00000,391,3,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-18,976.32409,721.96441,254.35969,4800.00000,368,1,24,0,0.00000,4800.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-19,844.45182,596.38595,248.06587,7200.00000,331,1,36,1,0.00000,7200.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-20,705.24296,457.17709,248.06587,7400.00000,293,0,37,1,0.00000,7400.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-21,627.70608,379.64021,248.06587,4600.00000,270,1,23,1,0.00000,4600.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-22,627.92953,379.41676,248.51277,0.00000,270,1,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-23,629.94057,381.42781,248.51277,0.00000,272,2,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-24,621.00260,381.42781,239.57480,0.00000,271,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-25,621.22605,381.65126,239.57480,0.00000,272,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
