Emissions ID,Site ID,Equipment,Component,Status,Days Active,Days Emitting,Estimated Days Active,Date Began,Date Repaired or Expired,Theoretical End Date,Mitigated Emissions (Kg Methane),"""True"" Volume Emitted (Kg Methane)","""Estimated"" Volume Emitted (Kg Methane)","""True"" Rate (g/s)","""Measured"" Rate (g/s)",Initially Detected By,Initially Detected Date,Tagged,Tagged By,Recorded,Recorded By,Repairable
0000000002,ABBT0100422,CatalyticHeater,Connector_0,active,27,27,9,2022-12-05,,2023-12-05,0.0,72.39754520640001,,0.031034613,0.031034613,OGI_FU,2022-12-27,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,CatalyticHeater,Connector_0,repaired,25,25,9,2021-01-28,2022-01-26,2022-01-28,16.535241849600002,206.69052312000002,,0.095690057,0.095690057,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
0000000001,ABBT0100422,CatalyticHeater,Connector_0,repaired,18,18,9,2022-11-19,2022-12-07,2023-11-19,64.3533735168,48.26503013760001,,0.031034613,0.031034613,OGI_FU,2022-11-21,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,CatalyticHeater,Regulator_0,repaired,25,25,9,2021-10-03,2022-01-26,2022-10-03,670.3476408,67.03476408,,0.031034613,0.031034613,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
0000000001,ABBT0100422,CatalyticHeater,Regulator_0,repaired,36,36,9,2022-08-03,2022-09-08,2023-08-03,305.6785242048,96.53006027520001,,0.031034613,0.031034613,OGI_FU,2022-08-23,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,CatalyticHeater,CatadyneHeater_0,repaired,61,61,9,2021-04-06,2022-03-03,2022-04-06,91.1672791488,163.5648243552,,0.031034613,0.031034613,OGI_FU,2022-02-15,True,OGI_FU,N/A,N/A,True
0000000001,ABBT0100422,CatalyticHeater,CatadyneHeater_0,repaired,19,19,9,2022-02-12,2022-03-03,2023-02-12,812.4613406496,50.946420700800005,,0.031034613,0.031034613,OGI_FU,2022-02-15,True,OGI_FU,N/A,N/A,True
0000000002,ABBT0100422,CatalyticHeater,CatadyneHeater_0,repaired,32,32,9,2022-10-18,2022-11-19,2023-10-18,187.697339424,143.007496704,,0.051724355,0.051724355,OGI_FU,2022-11-03,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,FlareKnockOutDrum,Connector_34,repaired,25,25,9,2021-04-03,2022-01-26,2022-04-03,299.421946224,111.7246068,,0.051724355,0.051724355,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,FlareKnockOutDrum,Connector_35,repaired,25,25,9,2021-12-16,2022-01-26,2022-12-16,868.7705424768001,67.03476408,,0.031034613,0.031034613,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,FlareKnockOutDrum,Connector_36,repaired,25,25,9,2021-02-18,2022-01-26,2022-02-18,61.6719829536,67.03476408,,0.031034613,0.031034613,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,GasBoot,Connector_7,repaired,20,20,9,2022-01-24,2022-02-13,2023-01-24,143.454381264,8.937967680000002,,0.005172435,0.005172435,OGI_FU,2022-01-28,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,GasBoot,Valve_0,repaired,25,25,9,2021-02-13,2022-01-26,2022-02-13,108.59631742079999,150.82821864000002,,0.069827879,0.069827879,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,GasPipelineHeader,Connector_13,repaired,25,25,9,2021-12-24,2022-01-26,2022-12-24,890.2216669824,67.03476408,,0.031034613,0.031034613,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,GasPipelineHeader,Connector_20,repaired,34,34,9,2021-02-26,2022-02-04,2022-02-26,58.9905923904,91.1672791488,,0.031034613,0.031034613,OGI_FU,2022-01-19,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,GasPipelineHeader,Connector_25,repaired,25,25,9,2021-04-19,2022-01-26,2022-04-19,222.5554167456,67.03476408,,0.031034613,0.031034613,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,GasSweeteningAmine,Connector_31,repaired,52,52,9,2021-12-27,2022-02-22,2022-12-27,825.8682934656001,139.4323092864,,0.031034613,0.031034613,OGI_FU,2022-02-06,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,GasSweeteningAmine,Connector_36,repaired,72,72,9,2022-06-10,2022-08-21,2023-06-10,29.495299046400003,16.088344934400002,,0.002586218,0.002586218,OGI_FU,2022-08-05,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,GasSweeteningAmine,Connector_40,repaired,19,19,9,2022-03-11,2022-03-30,2023-03-11,431.7038747136,29.718744998400002,,0.018103524,0.018103524,OGI_FU,2022-03-14,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,LineHeater,Connector_1,repaired,25,25,9,2021-10-29,2022-01-26,2022-10-29,740.0637954432,67.03476408,,0.031034613,0.031034613,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,LineHeater,Connector_55,repaired,25,25,9,2022-02-15,2022-03-12,2023-02-15,788.3288255808,67.03476408,,0.031034613,0.031034613,OGI_FU,2022-02-24,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,LineHeater,Connector_56,repaired,61,61,9,2021-11-16,2022-03-03,2022-11-16,57.6499026816,13.6304033472,,0.002586218,0.002586218,OGI_FU,2022-02-15,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,LiquidPipelineHeader,Connector_113,repaired,124,124,9,2021-11-13,2022-05-05,2022-11-13,42.9022531584,27.7077051648,,0.002586218,0.002586218,OGI_FU,2022-04-19,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,LiquidPipelineHeader,Connector_116,repaired,25,25,9,2021-03-26,2022-01-26,2022-03-26,158.2020432288,67.03476408,,0.031034613,0.031034613,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,LiquidPipelineHeader,Valve_21,repaired,17,17,9,2022-11-29,2022-12-16,2023-11-29,3.351738528,3.7986369984,,0.002586218,0.002586218,OGI_FU,2022-11-30,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,LiquidPump,Connector_4,repaired,61,61,9,2021-11-22,2022-03-03,2022-11-22,58.990598092800006,13.6304033472,,0.002586218,0.002586218,OGI_FU,2022-02-15,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,LiquidPump,Connector_11,repaired,173,173,9,2022-06-08,2022-11-28,2023-06-08,7.373824761600001,38.6567176896,,0.002586218,0.002586218,OGI_FU,2022-11-12,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,LiquidPump,Connector_16,repaired,25,25,9,2021-02-26,2022-01-26,2022-02-26,83.1231074592,67.03476408,,0.031034613,0.031034613,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,LiquidPump,Connector_20,repaired,25,25,9,2021-11-01,2022-01-26,2022-11-01,2306.6662380192,206.69052312000002,,0.095690057,0.095690057,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,PigTrap(GasService),Connector_1,repaired,32,32,9,2022-03-07,2022-04-08,2023-03-07,417.6265744512,50.0526231552,,0.018103524,0.018103524,OGI_FU,2022-03-23,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0100422,PigTrap(GasService),Connector_7,repaired,25,25,9,2021-12-27,2022-01-26,2022-12-27,74.855493792,5.5862308800000005,,0.002586218,0.002586218,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
