Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),OGI Deployment Cost ($),OGI Sites flagged for Follow-Up,OGI Leaks tagged for repair,OGI Sites Visited,OGI Travel Time (Minutes),OGI Survey Time (Minutes)
2022-01-01,9689.13029,6753.97593,2935.15436,2876.00000,3618,3637,0,15,35,0.00000,3000.00000,2876.00000,,35,3,180,300
2022-01-02,9679.93164,6743.92072,2936.01092,2876.00000,3614,6,0,8,52,0.00000,1600.00000,2876.00000,,52,3,180,360
2022-01-03,9709.35245,6770.06427,2939.28817,2876.00000,3617,9,0,4,41,0.00000,800.00000,2876.00000,,41,3,180,300
2022-01-04,9727.93597,6789.50435,2938.43162,2876.00000,3623,15,0,6,59,0.00000,1200.00000,2876.00000,,59,3,180,360
2022-01-05,9719.63111,6787.71676,2931.91435,2876.00000,3617,7,0,9,36,0.00000,1800.00000,2876.00000,,36,3,180,300
2022-01-06,9742.60914,6792.18575,2950.42339,2876.00000,3618,12,0,8,66,0.00000,1600.00000,2876.00000,,66,3,180,360
2022-01-07,9737.69326,6787.71676,2949.97650,2876.00000,3613,8,0,10,38,0.00000,2000.00000,2876.00000,,38,3,180,300
2022-01-08,9712.48074,6772.74566,2939.73507,2876.00000,3606,4,0,8,63,0.00000,1600.00000,2876.00000,,63,3,180,360
2022-01-09,9753.59539,6797.54853,2956.04687,2876.00000,3612,12,0,3,35,0.00000,600.00000,2876.00000,,35,3,180,300
2022-01-10,9774.59962,6826.82037,2947.77925,2876.00000,3617,9,0,2,62,0.00000,400.00000,2876.00000,,62,3,180,360
2022-01-11,9765.62441,6816.54171,2949.08270,2876.00000,3610,4,0,9,40,0.00000,1800.00000,2876.00000,,40,3,180,300
2022-01-12,9760.70853,6811.40238,2949.30615,2876.00000,3610,6,0,4,53,0.00000,800.00000,2876.00000,,53,3,180,360
2022-01-13,9791.84245,6829.50176,2962.34069,2876.00000,3618,18,0,6,44,0.00000,1200.00000,2876.00000,,44,3,180,300
2022-01-14,9782.94172,6831.28936,2951.65236,2876.00000,3616,3,0,2,54,0.00000,400.00000,2876.00000,,54,3,180,360
2022-01-15,9797.24247,6829.05487,2968.18761,2876.00000,3616,13,0,11,42,0.00000,2200.00000,2876.00000,,42,3,180,300
2022-01-16,9694.53032,6728.72617,2965.80415,8476.00000,3586,13,28,9,59,5600.00000,1800.00000,2876.00000,,59,3,180,360
2022-01-17,9559.79044,6594.88009,2964.91035,11276.00000,3551,13,42,3,43,8400.00000,600.00000,2876.00000,,43,3,180,300
2022-01-18,9418.83123,6455.67123,2963.16000,10276.00000,3510,6,37,6,48,7400.00000,1200.00000,2876.00000,,48,3,180,360
2022-01-19,9248.15327,6288.08432,2960.06895,12876.00000,3463,14,50,6,33,10000.00000,1200.00000,2876.00000,,33,3,180,300
2022-01-20,9156.01771,6193.11840,2962.89931,8876.00000,3438,10,30,2,60,6000.00000,400.00000,2876.00000,,60,3,180,360
