Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),aircraft Deployment Cost ($),aircraft Sites flagged for Follow-Up,aircraft Leaks tagged for repair,aircraft Sites Visited,aircraft Travel Time (Minutes),aircraft Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,9938.68582,6814.30722,3124.37861,250.00000,3662,3680,0,12,0.00000,0.00000,2400.00000,250.00000,0,,100,200,100,0.00000,,0,0,0,0
2022-01-02,9926.17267,6817.43551,3108.73716,0.00000,3663,9,0,5,0.00000,0.00000,1000.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-03,9943.41550,6828.38452,3115.03098,1000.00000,3663,10,0,6,40.00000,0.00000,1200.00000,0.00000,100,,0,0,0,1000.00000,,40,3,120,360
2022-01-04,9968.73974,6848.71840,3120.02135,1000.00000,3668,10,0,2,40.00000,0.00000,400.00000,0.00000,0,,0,0,0,1000.00000,,40,3,120,360
2022-01-05,9978.68323,6853.41083,3125.27240,1000.00000,3671,9,0,4,47.00000,0.00000,800.00000,0.00000,0,,0,0,0,1000.00000,,47,3,120,360
2022-01-06,10013.28062,6869.72262,3143.55800,1000.00000,3674,10,0,5,65.00000,0.00000,1000.00000,0.00000,0,,0,0,0,1000.00000,,65,3,120,360
2022-01-07,10013.05717,6870.16952,3142.88765,1000.00000,3677,9,0,3,59.00000,0.00000,600.00000,0.00000,0,,0,0,0,1000.00000,,59,3,120,360
2022-01-08,10013.16890,6866.81778,3146.35111,1000.00000,3677,9,0,6,51.00000,0.00000,1200.00000,0.00000,0,,0,0,0,1000.00000,,51,3,120,360
2022-01-09,10013.31786,6853.63428,3159.68358,1000.00000,3680,14,0,10,66.00000,0.00000,2000.00000,0.00000,0,,0,0,0,1000.00000,,66,3,120,360
2022-01-10,10015.55235,6854.75153,3160.80083,1000.00000,3680,8,0,6,59.00000,0.00000,1200.00000,0.00000,0,,0,0,0,1000.00000,,59,3,120,360
2022-01-11,9996.37296,6854.97497,3141.39799,1000.00000,3680,9,0,4,53.00000,0.00000,800.00000,0.00000,0,,0,0,0,1000.00000,,53,3,120,360
2022-01-12,10018.45719,6865.92399,3152.53321,1000.00000,3689,11,0,2,68.00000,0.00000,400.00000,0.00000,0,,0,0,0,1000.00000,,68,3,120,360
2022-01-13,10018.64340,6865.03019,3153.61321,1000.00000,3686,6,0,6,66.00000,0.00000,1200.00000,0.00000,0,,0,0,0,1000.00000,,66,3,120,360
2022-01-14,10013.05717,6852.29358,3160.76359,1000.00000,3683,8,0,8,68.00000,0.00000,1600.00000,0.00000,0,,0,0,0,1000.00000,,68,3,120,360
2022-01-15,9986.46671,6854.08118,3132.38554,1000.00000,3678,8,0,3,63.00000,0.00000,600.00000,0.00000,0,,0,0,0,1000.00000,,63,3,120,360
2022-01-16,9973.87908,6845.81356,3128.06552,1000.00000,3679,9,0,5,60.00000,0.00000,1000.00000,0.00000,0,,0,0,0,1000.00000,,60,3,120,360
2022-01-17,9963.15351,6851.17634,3111.97718,1000.00000,3677,7,0,6,64.00000,0.00000,1200.00000,0.00000,0,,0,0,0,1000.00000,,64,3,120,360
2022-01-18,9825.80673,6722.46959,3103.33714,7200.00000,3643,6,31,6,61.00000,6200.00000,1200.00000,0.00000,0,,0,0,0,1000.00000,,61,3,120,360
2022-01-19,9735.57049,6625.71608,3109.85441,8400.00000,3611,9,37,2,53.00000,7400.00000,400.00000,0.00000,0,,0,0,0,1000.00000,,53,3,120,360
2022-01-20,9592.74920,6481.36789,3111.38131,9800.00000,3567,9,44,7,66.00000,8800.00000,1400.00000,0.00000,0,,0,0,0,1000.00000,,66,3,120,360
2022-01-21,9437.89890,6326.51758,3111.38131,11800.00000,3517,8,54,4,68.00000,10800.00000,800.00000,0.00000,0,,0,0,0,1000.00000,,68,3,120,360
2022-01-22,9305.17006,6167.64519,3137.52487,11000.00000,3478,14,50,1,73.00000,10000.00000,200.00000,0.00000,0,,0,0,0,1000.00000,,73,3,120,360
2022-01-23,9168.82880,6038.71500,3130.11380,9400.00000,3441,12,42,4,65.00000,8400.00000,800.00000,0.00000,0,,0,0,0,1000.00000,,65,3,120,360
2022-01-24,8995.32049,5851.01766,3144.30283,12600.00000,3391,10,58,1,79.00000,11600.00000,200.00000,0.00000,0,,0,0,0,1000.00000,,79,3,120,360
2022-01-25,8851.00954,5700.85979,3150.14975,10000.00000,3346,6,45,2,73.00000,9000.00000,400.00000,0.00000,0,,0,0,0,1000.00000,,73,3,120,360
2022-01-26,8701.48477,5549.36122,3152.12355,10000.00000,3302,4,45,2,56.00000,9000.00000,400.00000,0.00000,0,,0,0,0,1000.00000,,56,3,120,360
2022-01-27,8512.26053,5362.11078,3150.14975,12200.00000,3247,7,56,2,73.00000,11200.00000,400.00000,0.00000,0,,0,0,0,1000.00000,,73,3,120,360
2022-01-28,8341.58257,5178.21208,3163.37049,12400.00000,3192,12,57,4,67.00000,11400.00000,800.00000,0.00000,0,,0,0,0,1000.00000,,67,3,120,360
2022-01-29,8140.92518,4977.55468,3163.37049,12800.00000,3133,4,59,3,81.00000,11800.00000,600.00000,0.00000,0,,0,0,0,1000.00000,,81,3,120,360
2022-01-30,7972.66792,4817.78850,3154.87942,12000.00000,3080,9,55,3,70.00000,11000.00000,600.00000,0.00000,0,,0,0,0,1000.00000,,70,3,120,360
2022-01-31,7776.70296,4630.31461,3146.38835,11800.00000,3023,4,54,4,77.00000,10800.00000,800.00000,0.00000,0,,0,0,0,1000.00000,,77,3,120,360
