Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),OGI Deployment Cost ($),OGI Sites flagged for Follow-Up,OGI Leaks tagged for repair,OGI Sites Visited,OGI Travel Time (Minutes),OGI Survey Time (Minutes)
2022-01-01,9933.99339,6886.25787,3047.73553,2876.00000,3700,3722,0,14,38,0.00000,2800.00000,2876.00000,,38,3,180,300
2022-01-02,9929.63613,6877.99024,3051.64589,2876.00000,3699,10,0,7,45,0.00000,1400.00000,2876.00000,,45,3,180,360
2022-01-03,9941.73963,6883.79992,3057.93971,2876.00000,3697,7,0,7,36,0.00000,1400.00000,2876.00000,,36,3,180,300
2022-01-04,9937.45685,6878.88404,3058.57281,2876.00000,3699,12,0,6,77,0.00000,1200.00000,2876.00000,,77,3,180,360
2022-01-05,9930.30648,6872.40401,3057.90246,2876.00000,3702,11,0,6,51,0.00000,1200.00000,2876.00000,,51,3,180,300
2022-01-06,9937.12168,6880.44819,3056.67349,2876.00000,3711,15,0,5,52,0.00000,1000.00000,2876.00000,,52,3,180,360
2022-01-07,9965.27628,6908.15589,3057.12039,2876.00000,3719,13,0,4,47,0.00000,800.00000,2876.00000,,47,3,180,300
2022-01-08,9963.48869,6906.59174,3056.89694,2876.00000,3720,9,0,6,57,0.00000,1200.00000,2876.00000,,57,3,180,360
2022-01-09,9982.74256,6927.59597,3055.14659,2876.00000,3722,7,0,3,37,0.00000,600.00000,2876.00000,,37,3,180,300
2022-01-10,10033.65174,6967.14648,3066.50526,2876.00000,3732,15,0,4,53,0.00000,800.00000,2876.00000,,53,3,180,360
2022-01-11,10025.19791,6969.38097,3055.81694,2876.00000,3732,8,0,5,37,0.00000,1000.00000,2876.00000,,37,3,180,300
2022-01-12,10033.98691,6963.79474,3070.19217,2876.00000,3734,12,0,6,57,0.00000,1200.00000,2876.00000,,57,3,180,360
2022-01-13,10009.48198,6951.05814,3058.42385,2876.00000,3728,7,0,6,33,0.00000,1200.00000,2876.00000,,33,3,180,300
2022-01-14,10025.83102,6977.20170,3048.62932,2876.00000,3733,11,0,3,60,0.00000,600.00000,2876.00000,,60,3,180,360
2022-01-15,10018.30823,6975.41410,3042.89413,2876.00000,3730,9,0,7,46,0.00000,1400.00000,2876.00000,,46,3,180,300
2022-01-16,9871.91175,6836.42869,3035.48306,9676.00000,3697,9,34,5,53,6800.00000,1000.00000,2876.00000,,53,3,180,360
2022-01-17,9705.70278,6688.28186,3017.42092,11076.00000,3654,7,41,4,39,8200.00000,800.00000,2876.00000,,39,3,180,300
2022-01-18,9591.63195,6570.74758,3020.88438,8876.00000,3619,5,30,6,49,6000.00000,1200.00000,2876.00000,,49,3,180,360
2022-01-19,9395.36906,6361.37566,3033.99340,16676.00000,3563,14,69,0,49,13800.00000,0.00000,2876.00000,,49,3,180,300
2022-01-20,9266.47611,6207.86605,3058.61005,11876.00000,3525,13,45,5,67,9000.00000,1000.00000,2876.00000,,67,3,180,360
2022-01-21,9096.61746,6045.19503,3051.42244,11476.00000,3484,9,43,3,48,8600.00000,600.00000,2876.00000,,48,3,180,300
2022-01-22,8968.24589,5910.00825,3058.23764,11876.00000,3446,14,45,4,61,9000.00000,800.00000,2876.00000,,61,3,180,360
2022-01-23,8790.00790,5735.27097,3054.73693,12476.00000,3395,7,48,7,39,9600.00000,1400.00000,2876.00000,,39,3,180,300
2022-01-24,8689.90265,5643.65679,3046.24586,9076.00000,3365,7,31,3,64,6200.00000,600.00000,2876.00000,,64,3,180,360
2022-01-25,8533.00406,5476.74023,3056.26384,11676.00000,3323,10,44,6,40,8800.00000,1200.00000,2876.00000,,40,3,180,300
2022-01-26,8444.70438,5394.73437,3049.97002,8876.00000,3293,7,30,4,55,6000.00000,800.00000,2876.00000,,55,3,180,360
2022-01-27,8267.50916,5227.37090,3040.13825,11676.00000,3246,7,44,2,46,8800.00000,400.00000,2876.00000,,46,3,180,300
2022-01-28,8183.97639,5146.92919,3037.04720,7876.00000,3221,7,25,4,57,5000.00000,800.00000,2876.00000,,57,3,180,360
2022-01-29,8033.18541,5007.04998,3026.13543,13676.00000,3174,12,54,2,28,10800.00000,400.00000,2876.00000,,28,3,180,300
2022-01-30,7914.98078,4870.96941,3044.01137,11476.00000,3138,12,43,4,58,8600.00000,800.00000,2876.00000,,58,3,180,360
2022-01-31,7725.97999,4692.65694,3033.32305,12876.00000,3090,13,50,5,48,10000.00000,1000.00000,2876.00000,,48,3,180,300
2022-02-01,7623.37956,4586.74201,3036.63755,9876.00000,3063,12,35,3,48,7000.00000,600.00000,2876.00000,,48,3,180,360
2022-02-02,7507.89356,4464.73874,3043.15482,11076.00000,3032,14,41,2,47,8200.00000,400.00000,2876.00000,,47,3,180,300
2022-02-03,7361.12466,4300.95047,3060.17420,11276.00000,2996,10,42,2,51,8400.00000,400.00000,2876.00000,,51,3,180,360
2022-02-04,7185.45634,4114.81727,3070.63907,14476.00000,2945,12,58,3,38,11600.00000,600.00000,2876.00000,,38,3,180,300
2022-02-05,7016.56598,3947.45381,3069.11217,12276.00000,2901,11,47,3,60,9400.00000,600.00000,2876.00000,,60,3,180,360
2022-02-06,6842.90870,3780.76070,3062.14800,13076.00000,2858,12,51,2,35,10200.00000,400.00000,2876.00000,,35,3,180,300
2022-02-07,6731.81720,3650.71325,3081.10394,10076.00000,2825,11,36,4,50,7200.00000,800.00000,2876.00000,,50,3,180,360
2022-02-08,6582.51588,3502.56643,3079.94945,13476.00000,2779,15,53,1,33,10600.00000,200.00000,2876.00000,,33,3,180,300
2022-02-09,6446.58427,3370.28449,3076.29978,11476.00000,2746,15,43,1,60,8600.00000,200.00000,2876.00000,,60,3,180,360
2022-02-10,6271.40009,3178.56507,3092.83502,10000.00000,2700,6,50,1,0,10000.00000,200.00000,0.00000,,0,0,0,0
2022-02-11,6127.08914,3034.66377,3092.42537,8400.00000,2663,12,42,0,0,8400.00000,0.00000,0.00000,,0,0,0,0
2022-02-12,5932.50212,2858.80924,3073.69288,10000.00000,2616,7,50,1,0,10000.00000,200.00000,0.00000,,0,0,0,0
2022-02-13,5877.98051,2804.73453,3073.24598,4200.00000,2598,7,21,1,0,4200.00000,200.00000,0.00000,,0,0,0,0
2022-02-14,5712.21843,2650.77802,3061.44041,10000.00000,2555,13,50,0,0,10000.00000,0.00000,0.00000,,0,0,0,0
2022-02-15,5566.67851,2502.40775,3064.27077,9000.00000,2514,10,45,4,0,9000.00000,800.00000,0.00000,,0,0,0,0
2022-02-16,5420.91514,2353.14367,3067.77147,8000.00000,2477,9,40,3,0,8000.00000,600.00000,0.00000,,0,0,0,0
2022-02-17,5264.87311,2216.61620,3048.25691,8600.00000,2440,10,43,1,0,8600.00000,200.00000,0.00000,,0,0,0,0
2022-02-18,5125.29183,2080.53563,3044.75620,8600.00000,2404,13,43,3,0,8600.00000,600.00000,0.00000,,0,0,0,0
2022-02-19,5059.56052,2004.33945,3055.22107,6200.00000,2382,15,31,2,0,6200.00000,400.00000,0.00000,,0,0,0,0
2022-02-20,4883.89220,1826.25043,3057.64177,11000.00000,2332,9,55,3,0,11000.00000,600.00000,0.00000,,0,0,0,0
2022-02-21,4830.97198,1767.25983,3063.71214,5200.00000,2311,11,26,3,0,5200.00000,600.00000,0.00000,,0,0,0,0
