Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),aircraft Deployment Cost ($),aircraft Sites flagged for Follow-Up,aircraft Leaks tagged for repair,aircraft Sites Visited,aircraft Travel Time (Minutes),aircraft Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,9925.72577,6877.99024,3047.73553,250.00000,3699,3722,0,15,0.00000,0.00000,3000.00000,250.00000,0,,100,200,100,0.00000,,0,0,0,0
2022-01-02,9918.68712,6867.04123,3051.64589,0.00000,3697,10,0,8,0.00000,0.00000,1600.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-03,9930.79062,6872.85091,3057.93971,1000.00000,3695,7,0,7,39.00000,0.00000,1400.00000,0.00000,100,,0,0,0,1000.00000,,39,3,120,360
2022-01-04,9926.06094,6867.48813,3058.57281,1000.00000,3696,12,0,7,48.00000,0.00000,1400.00000,0.00000,0,,0,0,0,1000.00000,,48,3,120,360
2022-01-05,9910.64295,6852.74048,3057.90246,1000.00000,3698,11,0,7,56.00000,0.00000,1400.00000,0.00000,0,,0,0,0,1000.00000,,56,3,120,360
2022-01-06,9917.45815,6860.78465,3056.67349,1000.00000,3707,15,0,5,55.00000,0.00000,1000.00000,0.00000,0,,0,0,0,1000.00000,,55,3,120,360
2022-01-07,9938.46237,6881.34198,3057.12039,1000.00000,3713,13,0,6,59.00000,0.00000,1200.00000,0.00000,0,,0,0,0,1000.00000,,59,3,120,360
2022-01-08,9933.99339,6877.09645,3056.89694,1000.00000,3713,9,0,7,48.00000,0.00000,1400.00000,0.00000,0,,0,0,0,1000.00000,,48,3,120,360
2022-01-09,9944.97964,6889.83305,3055.14659,1000.00000,3714,7,0,4,57.00000,0.00000,800.00000,0.00000,0,,0,0,0,1000.00000,,57,3,120,360
2022-01-10,9989.85569,6923.35043,3066.50526,1000.00000,3723,15,0,5,61.00000,0.00000,1000.00000,0.00000,0,,0,0,0,1000.00000,,61,3,120,360
2022-01-11,9982.51911,6926.70217,3055.81694,1000.00000,3723,8,0,5,62.00000,0.00000,1000.00000,0.00000,0,,0,0,0,1000.00000,,62,3,120,360
2022-01-12,9991.30811,6921.11594,3070.19217,1000.00000,3725,12,0,6,62.00000,0.00000,1200.00000,0.00000,0,,0,0,0,1000.00000,,62,3,120,360
2022-01-13,9977.75219,6919.32835,3058.42385,1000.00000,3721,7,0,4,58.00000,0.00000,800.00000,0.00000,0,,0,0,0,1000.00000,,58,3,120,360
2022-01-14,9994.10123,6945.47191,3048.62932,1000.00000,3726,11,0,3,57.00000,0.00000,600.00000,0.00000,0,,0,0,0,1000.00000,,57,3,120,360
2022-01-15,10000.20884,6957.31472,3042.89413,1000.00000,3726,9,0,4,56.00000,0.00000,800.00000,0.00000,0,,0,0,0,1000.00000,,56,3,120,360
2022-01-16,9999.27780,6963.79474,3035.48306,1000.00000,3727,9,0,5,60.00000,0.00000,1000.00000,0.00000,0,,0,0,0,1000.00000,,60,3,120,360
2022-01-17,9976.74667,6959.32576,3017.42092,1000.00000,3725,7,0,4,59.00000,0.00000,800.00000,0.00000,0,,0,0,0,1000.00000,,59,3,120,360
2022-01-18,9865.13379,6844.24941,3020.88438,6800.00000,3691,5,29,6,68.00000,5800.00000,1200.00000,0.00000,0,,0,0,0,1000.00000,,68,3,120,360
2022-01-19,9795.11970,6761.12631,3033.99340,8600.00000,3666,14,38,0,62.00000,7600.00000,0.00000,0.00000,0,,0,0,0,1000.00000,,62,3,120,360
2022-01-20,9673.15368,6614.54362,3058.61005,11200.00000,3622,13,51,5,62.00000,10200.00000,1000.00000,0.00000,0,,0,0,0,1000.00000,,62,3,120,360
2022-01-21,9531.44963,6480.02720,3051.42244,10400.00000,3578,9,47,2,61.00000,9400.00000,400.00000,0.00000,0,,0,0,0,1000.00000,,61,3,120,360
2022-01-22,9361.51651,6303.27887,3058.23764,13200.00000,3524,14,61,4,68.00000,12200.00000,800.00000,0.00000,0,,0,0,0,1000.00000,,68,3,120,360
2022-01-23,9252.54777,6197.81084,3054.73693,8400.00000,3483,7,37,8,60.00000,7400.00000,1600.00000,0.00000,0,,0,0,0,1000.00000,,60,3,120,360
2022-01-24,9082.50292,6036.25706,3046.24586,10400.00000,3437,7,47,3,62.00000,9400.00000,600.00000,0.00000,0,,0,0,0,1000.00000,,62,3,120,360
