Emissions ID,Site ID,Equipment,Component,Status,Days Active,Days Emitting,Estimated Days Active,Date Began,Date Repaired or Expired,Theoretical End Date,Mitigated Emissions (Kg Methane),"""True"" Volume Emitted (Kg Methane)","""Estimated"" Volume Emitted (Kg Methane)","""True"" Rate (g/s)","""Measured"" Rate (g/s)",Initially Detected By,Initially Detected Date,Tagged,Tagged By,Recorded,Recorded By,Repairable
0000000000,ABBT0057730,CatalyticHeater,Connector_0,repaired,2,2,0,2021-01-03,2022-01-03,2022-01-03,0.0,3.1282889472,,0.018103524,,,,True,natural,N/A,N/A,True
0000000001,ABBT0057730,CatalyticHeater,Connector_0,repaired,239,239,0,2021-08-28,2022-08-28,2022-08-28,0.0,106.80871377600002,,0.005172435,,,,True,natural,N/A,N/A,True
0000000000,ABBT0057730,CatalyticHeater,Regulator_0,repaired,13,13,0,2021-01-14,2022-01-14,2022-01-14,0.0,2.9048400576000004,,0.002586218,,,,True,natural,N/A,N/A,True
0000000001,ABBT0057730,CatalyticHeater,Regulator_0,repaired,47,47,31,2021-07-07,2022-02-17,2022-07-07,375.394678848,126.02535647040001,,0.031034613,0.031034613,OGI_FU,2022-02-01,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0057730,FlareKnockOutDrum,Connector_7,repaired,47,47,31,2021-05-12,2022-02-17,2022-05-12,375.394678848,210.042260784,,0.051724355,0.051724355,OGI_FU,2022-02-01,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0057730,FlareKnockOutDrum,Connector_11,active,14,14,0,2022-12-18,,2023-12-18,0.0,37.539467884800004,,0.031034613,,,,False,,N/A,N/A,True
0000000000,ABBT0057730,FlareKnockOutDrum,Connector_19,active,205,205,0,2022-06-10,,2023-06-10,0.0,549.6850654560001,,0.031034613,,,,False,,N/A,N/A,True
0000000000,ABBT0057730,FlareKnockOutDrum,Connector_21,repaired,47,47,31,2021-08-07,2022-02-17,2022-08-07,458.5177863072,126.02535647040001,,0.031034613,0.031034613,OGI_FU,2022-02-01,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0057730,FlareKnockOutDrum,Valve_1,repaired,47,47,31,2021-04-20,2022-02-17,2022-04-20,166.2462149184,126.02535647040001,,0.031034613,0.031034613,OGI_FU,2022-02-01,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0057730,GasBoot,Connector_9,repaired,28,28,31,2022-01-20,2022-02-17,2023-01-20,850.0008085344001,75.07893576960001,,0.031034613,0.031034613,OGI_FU,2022-02-01,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0057730,GasBoot,Connector_14,active,209,209,0,2022-06-06,,2023-06-06,0.0,1260.9239078304001,,0.069827879,,,,False,,N/A,N/A,True
0000000000,ABBT0057730,GasBoot,Valve_0,repaired,47,47,31,2021-09-28,2022-02-17,2022-09-28,1843.6794662304,388.57818346560003,,0.095690057,0.095690057,OGI_FU,2022-02-01,True,OGI_FU,N/A,N/A,True
0000000001,ABBT0057730,GasBoot,Valve_3,active,249,249,0,2022-04-27,,2023-04-27,0.0,389.47197392640004,,0.018103524,,,,False,,N/A,N/A,True
0000000000,ABBT0057730,GasBoot,Valve_3,repaired,47,47,31,2021-02-05,2022-02-17,2022-02-05,0.0,126.02535647040001,,0.031034613,0.031034613,OGI_FU,2022-02-01,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0057730,GasPipelineHeader,Connector_9,repaired,287,287,0,2021-10-15,2022-10-15,2022-10-15,0.0,64.1299305024,,0.002586218,,,,True,natural,N/A,N/A,True
0000000000,ABBT0057730,GasPipelineHeader,Connector_18,active,187,187,0,2022-06-28,,2023-06-28,0.0,41.7850069824,,0.002586218,,,,False,,N/A,N/A,True
0000000000,ABBT0057730,GasPipelineHeader,Connector_55,active,4,4,0,2022-12-28,,2023-12-28,0.0,10.7255622528,,0.031034613,,,,False,,N/A,N/A,True
0000000000,ABBT0057730,GasPipelineHeader,Valve_11,active,187,187,0,2022-06-28,,2023-06-28,0.0,835.7000588640001,,0.051724355,,,,False,,N/A,N/A,True
0000000000,ABBT0057730,Incinerator,Connector_4,repaired,47,47,31,2021-06-15,2022-02-17,2022-06-15,527.340144096,210.042260784,,0.051724355,0.051724355,OGI_FU,2022-02-01,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0057730,Incinerator,Connector_16,active,266,266,0,2022-04-10,,2023-04-10,0.0,1604.8122463296,,0.069827879,,,,False,,N/A,N/A,True
0000000000,ABBT0057730,Incinerator,Connector_27,repaired,47,47,31,2021-05-21,2022-02-17,2022-05-21,249.3693223776,126.02535647040001,,0.031034613,0.031034613,OGI_FU,2022-02-01,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0057730,Incinerator,Connector_37,repaired,47,47,31,2021-04-07,2022-02-17,2022-04-07,131.38813759680002,126.02535647040001,,0.031034613,0.041379484,OGI_FU,2022-02-01,True,OGI_FU,N/A,N/A,True
0000000001,ABBT0057730,Incinerator,Connector_37,repaired,47,47,31,2021-08-07,2022-02-17,2022-08-07,764.196310512,210.042260784,,0.051724355,0.041379484,OGI_FU,2022-02-01,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0057730,Incinerator,Connector_52,active,151,151,0,2022-08-03,,2023-08-03,0.0,674.8166250720001,,0.051724355,,,,False,,N/A,N/A,True
0000000000,ABBT0057730,Incinerator,Valve_6,repaired,67,67,0,2021-03-09,2022-03-09,2022-03-09,0.0,14.9710987584,,0.002586218,,,,True,natural,N/A,N/A,True
0000000000,ABBT0057730,LineHeater,Connector_22,active,150,150,0,2022-08-04,,2023-08-04,0.0,904.9693118399999,,0.069827879,,,,False,,N/A,N/A,True
0000000000,ABBT0057730,LineHeater,Connector_24,repaired,47,47,31,2021-11-08,2022-02-17,2022-11-08,707.8871086848001,126.02535647040001,,0.031034613,0.031034613,OGI_FU,2022-02-01,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0057730,LineHeater,Connector_27,repaired,319,319,0,2021-11-16,2022-11-16,2022-11-16,0.0,142.56058449600002,,0.005172435,,,,True,natural,N/A,N/A,True
0000000000,ABBT0057730,LineHeater,Connector_55,repaired,47,47,31,2021-08-22,2022-02-17,2022-08-22,498.7386447552,126.02535647040001,,0.031034613,0.031034613,OGI_FU,2022-02-01,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0057730,LineHeater,Regulator_3,repaired,47,47,31,2021-06-20,2022-02-17,2022-06-20,192.38977025280002,73.5147902592,,0.018103524,0.018103524,OGI_FU,2022-02-01,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0057730,LineHeater,Valve_0,active,216,216,0,2022-05-30,,2023-05-30,0.0,579.1803616512001,,0.031034613,,,,False,,N/A,N/A,True
0000000000,ABBT0057730,LiquidPipelineHeader,Connector_32,repaired,47,47,31,2021-06-05,2022-02-17,2022-06-05,289.59018082560004,126.02535647040001,,0.031034613,0.031034613,OGI_FU,2022-02-01,True,OGI_FU,N/A,N/A,True
