Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($)
P_aircraft,0,2013276.0730145185,747500.0,13.260192642857705,328036.0084922835
P_aircraft,1,2000083.18419864,752900.0,13.444083689478777,325886.40633605106
P_aircraft,2,1986310.221473088,753100.0,13.540900248442378,323642.2890099865
P_aircraft,3,1923555.180302237,738100.0,13.70416328871438,313417.20686929865
P_aircraft,4,1939165.5658864032,735100.0,13.53859200597489,315960.7073095477
P_drone,0,2014429.5178784928,755200.0,13.389115048231458,328223.9466763536
P_drone,1,1995405.498359712,764200.0,13.677850023613123,325124.240922102
P_drone,2,1992685.0041286848,765800.0,13.725199890265133,324680.97331432864
P_drone,3,1936812.4221445636,750000.0,13.829792694150223,315577.2944776822
P_drone,4,1940754.289753584,745800.0,13.724413454263807,316219.5682988437
P_OGI,0,1865680.4936051425,838672.0,16.054502113967363,303987.3122456419
P_OGI,1,1833157.460283005,847672.0,16.514675174344415,298688.12542369706
P_OGI,2,1850344.2800002368,842472.0,16.260912112140485,301488.4844078852
P_OGI,3,1797360.672922445,833872.0,16.5693749205716,292855.52481814637
P_OGI,4,1786065.5386338336,818472.0,16.366220737623006,291015.13600258145
P_stationary,0,647772.3429914016,777900.0,42.88874503169647,105545.71062299683
P_stationary,1,633093.293750688,781700.0,44.09754047063274,103153.95879823322
P_stationary,2,659862.5096123712,779900.0,42.21117433226157,107515.63916558916
P_stationary,3,641448.2832090337,783100.0,43.60110998027731,104515.29092235024
P_stationary,4,628017.4212955777,782700.0,44.510821643934975,102326.91428004295
P_truck,0,2012723.930019744,753000.0,13.361423661611324,327946.04428590834
P_truck,1,2006451.039837485,761400.0,13.55271402239631,326923.9619770387
P_truck,2,1988908.0421069956,758400.0,13.618384416114287,324065.5686202438
P_truck,3,1936339.15669344,750000.0,13.833172868049884,315500.1822963848
P_truck,4,1940940.199491869,744600.0,13.701018274452277,316249.8597672142
