Site ID,Survey Level,Method,Start Date,End Date,"""Measured"" Rate (g/s)","""Estimated"" Volume Emitted (Kg Methane)",Site Type,Site Measured
ABBT0040620,,,2022-01-01,2022-01-01,0.0,0.0,361,True
ABBT0040620,,,2022-01-01,2022-01-11,0.993969684,858.789806976,361,True
ABBT0040620,,,2022-01-11,2022-12-31,1.2732812009999999,38944.069501305596,361,True
ABBT0040620,,,2022-12-31,2022-12-31,0.0,0.0,361,True
ABBT0044824,,,2022-01-01,2022-01-01,0.0,0.0,361,True
ABBT0044824,,,2022-01-01,2022-01-03,1.129315079,195.1456456512,361,True
ABBT0044824,,,2022-01-03,2022-12-31,1.152591037,36049.35934604161,361,True
ABBT0044824,,,2022-12-31,2022-12-31,0.0,0.0,361,True
ABBT0053404,,,2022-01-01,2022-01-01,0.0,0.0,322,True
ABBT0053404,,,2022-01-01,2022-01-05,1.033193989,357.0718425984,322,True
ABBT0053404,,,2022-01-05,2022-12-31,1.2862122909999998,40006.347099264,322,True
ABBT0053404,,,2022-12-31,2022-12-31,0.0,0.0,322,True
ABBT0062949,,,2022-01-01,2022-01-01,0.0,0.0,311,True
ABBT0062949,,,2022-01-01,2022-01-04,0.9995731579999999,259.0893625536,311,True
ABBT0062949,,,2022-01-04,2022-12-31,1.084918343,33839.0370855072,311,True
ABBT0062949,,,2022-12-31,2022-12-31,0.0,0.0,311,True
ABBT0063776,,,2022-01-01,2022-01-01,0.0,0.0,311,True
ABBT0063776,,,2022-01-01,2022-01-14,0.898279629,1008.9476792928001,311,True
ABBT0063776,,,2022-01-14,2022-12-31,1.02715948,31150.049254272,311,True
ABBT0063776,,,2022-12-31,2022-12-31,0.0,0.0,311,True
ABBT0067404,,,2022-01-01,2022-01-01,0.0,0.0,322,True
ABBT0067404,,,2022-01-01,2022-01-02,1.1758670009999999,101.59490888639999,322,True
ABBT0067404,,,2022-01-02,2022-12-31,1.289229546,40434.3640971072,322,True
ABBT0067404,,,2022-12-31,2022-12-31,0.0,0.0,322,True
ABBT0067564,,,2022-01-01,2022-01-01,0.0,0.0,311,True
