Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($)
2022-01-01,17515.92312,12495.50347,5020.41965,0.00000,6644,6672,0,22,0,0,4400.00000
2022-01-02,17559.30951,12533.04294,5026.26657,0.00000,6649,22,0,13,0,0,2600.00000
2022-01-03,17571.89715,12551.14233,5020.75482,0.00000,6653,14,0,5,0,0,1000.00000
2022-01-04,17568.84335,12551.36578,5017.47757,0.00000,6653,13,0,8,0,0,1600.00000
2022-01-05,17599.56761,12566.78377,5032.78384,0.00000,6664,23,0,9,0,0,1800.00000
2022-01-06,17589.28895,12574.38105,5014.90790,0.00000,6667,22,0,14,0,0,2800.00000
2022-01-07,17593.94414,12578.17968,5015.76446,0.00000,6661,18,0,16,0,0,3200.00000
2022-01-08,17600.87107,12567.67757,5033.19350,0.00000,6668,23,0,13,0,0,2600.00000
2022-01-09,17589.95930,12568.57137,5021.38793,0.00000,6661,10,0,12,0,0,2400.00000
2022-01-10,17610.10697,12573.71070,5036.39627,0.00000,6660,15,0,12,0,0,2400.00000
2022-01-11,17592.86414,12555.16442,5037.69972,0.00000,6656,22,0,20,0,0,4000.00000
2022-01-12,17560.01710,12522.09393,5037.92317,0.00000,6653,17,0,16,0,0,3200.00000
2022-01-13,17546.94533,12528.12706,5018.81826,0.00000,6657,21,0,10,0,0,2000.00000
2022-01-14,17540.72599,12506.45249,5034.27350,0.00000,6656,16,0,12,0,0,2400.00000
2022-01-15,17537.11356,12509.80423,5027.30933,0.00000,6653,15,0,14,0,0,2800.00000
2022-01-16,17535.32597,12484.33101,5050.99495,0.00000,6644,11,0,15,0,0,3000.00000
2022-01-17,17533.50113,12483.21377,5050.28736,0.00000,6637,16,0,18,0,0,3600.00000
2022-01-18,17504.89963,12463.77369,5041.12594,0.00000,6630,12,0,14,0,0,2800.00000
2022-01-19,17508.02792,12466.67853,5041.34939,0.00000,6633,17,0,10,0,0,2000.00000
2022-01-20,17460.91738,12401.87825,5059.03912,0.00000,6629,16,0,18,0,0,3600.00000
2022-01-21,17461.77393,12405.67689,5056.09704,0.00000,6626,16,0,8,0,0,1600.00000
2022-01-22,17439.39177,12391.15269,5048.23908,0.00000,6623,14,0,12,0,0,2400.00000
2022-01-23,17425.50068,12394.28098,5031.21970,0.00000,6617,15,0,14,0,0,2800.00000
2022-01-24,17436.22624,12421.31834,5014.90790,0.00000,6623,25,0,11,0,0,2200.00000
2022-01-25,17465.23740,12430.47975,5034.75764,0.00000,6627,18,0,11,0,0,2200.00000
2022-01-26,17468.62638,12427.35147,5041.27491,0.00000,6629,15,0,9,0,0,1800.00000
2022-01-27,17470.71190,12431.37355,5039.33835,0.00000,6624,14,0,15,0,0,3000.00000
2022-01-28,17482.10781,12433.38459,5048.72322,0.00000,6629,21,0,10,0,0,2000.00000
2022-01-29,17464.60429,12438.74738,5025.85692,0.00000,6629,17,0,12,0,0,2400.00000
2022-01-30,17480.72988,12448.57914,5032.15073,0.00000,6631,18,0,8,0,0,1600.00000
2022-01-31,17476.33537,12455.95296,5020.38241,0.00000,6633,21,0,12,0,0,2400.00000
2022-02-01,17480.43194,12454.38882,5026.04312,0.00000,6633,18,0,12,0,0,2400.00000
2022-02-02,17501.54789,12464.22059,5037.32731,0.00000,6637,17,0,7,0,0,1400.00000
2022-02-03,17515.55071,12473.82890,5041.72181,0.00000,6645,17,0,8,0,0,1600.00000
2022-02-04,17516.92865,12459.08125,5057.84739,0.00000,6639,17,0,18,0,0,3600.00000
2022-02-05,17478.97952,12449.91984,5029.05969,0.00000,6633,15,0,14,0,0,2800.00000
2022-02-06,17527.65421,12469.58337,5058.07084,0.00000,6645,28,0,12,0,0,2400.00000
2022-02-07,17504.48997,12451.03708,5053.45289,0.00000,6636,12,0,16,0,0,3200.00000
2022-02-08,17512.98104,12459.08125,5053.89979,0.00000,6638,20,0,13,0,0,2600.00000
2022-02-09,17511.82656,12428.24526,5083.58130,0.00000,6638,19,0,16,0,0,3200.00000
2022-02-10,17500.91479,12420.20109,5080.71370,0.00000,6631,9,0,13,0,0,2600.00000
2022-02-11,17489.77957,12408.80518,5080.97439,0.00000,6631,12,0,9,0,0,1800.00000
2022-02-12,17472.27605,12386.68371,5085.59234,0.00000,6625,14,0,14,0,0,2800.00000
2022-02-13,17426.69241,12359.64635,5067.04605,0.00000,6613,10,0,17,0,0,3400.00000
2022-02-14,17421.29238,12361.65740,5059.63499,0.00000,6610,15,0,14,0,0,2800.00000
2022-02-15,17407.43853,12355.84772,5051.59082,0.00000,6612,16,0,11,0,0,2200.00000
2022-02-16,17403.90059,12347.35665,5056.54394,0.00000,6612,22,0,16,0,0,3200.00000
2022-02-17,17382.30050,12339.08903,5043.21147,0.00000,6606,12,0,9,0,0,1800.00000
2022-02-18,17379.69359,12330.59796,5049.09563,0.00000,6601,16,0,13,0,0,2600.00000
2022-02-19,17402.78334,12329.25726,5073.52608,0.00000,6602,18,0,14,0,0,2800.00000
2022-02-20,17417.27030,12340.87662,5076.39368,0.00000,6604,23,0,16,0,0,3200.00000
2022-02-21,17426.65517,12340.87662,5085.77855,0.00000,6609,23,0,14,0,0,2800.00000
2022-02-22,17461.88566,12343.33456,5118.55110,0.00000,6624,27,0,11,0,0,2200.00000
2022-02-23,17476.59606,12346.68630,5129.90977,0.00000,6631,28,0,14,0,0,2800.00000
2022-02-24,17467.43465,12337.52488,5129.90977,0.00000,6628,17,0,13,0,0,2600.00000
2022-02-25,17446.24421,12310.04063,5136.20358,0.00000,6619,12,0,18,0,0,3600.00000
2022-02-26,17433.32140,12317.41445,5115.90695,0.00000,6618,17,0,11,0,0,2200.00000
2022-02-27,17440.91867,12324.78828,5116.13040,0.00000,6615,14,0,13,0,0,2600.00000
2022-02-28,17454.51183,12337.07798,5117.43385,0.00000,6624,18,0,5,0,0,1000.00000
2022-03-01,17458.19875,12327.69312,5130.50563,0.00000,6624,18,0,11,0,0,2200.00000
2022-03-02,17457.41667,12312.05167,5145.36500,0.00000,6624,21,0,16,0,0,3200.00000
2022-03-03,17458.53392,12304.23095,5154.30297,0.00000,6622,15,0,12,0,0,2400.00000
2022-03-04,17438.27453,12270.71357,5167.56096,0.00000,6612,14,0,19,0,0,3800.00000
2022-03-05,17461.36428,12279.65154,5181.71274,0.00000,6614,16,0,10,0,0,2000.00000
2022-03-06,17480.80436,12281.21568,5199.58868,0.00000,6618,21,0,14,0,0,2800.00000
2022-03-07,17477.41538,12276.97015,5200.44523,0.00000,6613,16,0,18,0,0,3600.00000
2022-03-08,17496.59477,12286.35501,5210.23976,0.00000,6609,14,0,14,0,0,2800.00000
2022-03-09,17428.85242,12251.94383,5176.90858,0.00000,6596,12,0,18,0,0,3600.00000
2022-03-10,17418.35030,12250.15624,5168.19406,0.00000,6595,16,0,13,0,0,2600.00000
2022-03-11,17442.37109,12267.58528,5174.78582,0.00000,6604,20,0,9,0,0,1800.00000
2022-03-12,17424.97930,12261.10525,5163.87405,0.00000,6601,19,0,11,0,0,2200.00000
2022-03-13,17444.49386,12258.64731,5185.84655,0.00000,6601,13,0,8,0,0,1600.00000
2022-03-14,17467.36016,12277.64049,5189.71967,0.00000,6607,25,0,9,0,0,1800.00000
2022-03-15,17468.92431,12279.20464,5189.71967,0.00000,6607,21,0,17,0,0,3400.00000
2022-03-16,17464.45532,12282.77982,5181.67550,0.00000,6609,21,0,14,0,0,2800.00000
2022-03-17,17470.74914,12290.60055,5180.14860,0.00000,6610,16,0,10,0,0,2000.00000
2022-03-18,17489.07198,12297.52747,5191.54451,0.00000,6618,23,0,11,0,0,2200.00000
