Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0060675,0.095690057,2022-02-12,2022-12-31,2662.1739377856
ABBT0060675,0.031034613,2022-02-12,2022-12-31,863.4077613504
ABBT0060675,0.069827879,2022-02-12,2022-12-31,1942.6674560832
ABBT0060675,0.031034613,2022-02-12,2022-12-31,863.4077613504
ABBT0060675,0.031034613,2022-02-12,2022-12-31,863.4077613504
ABBT0060675,0.031034613,2022-02-12,2022-12-31,863.4077613504
ABBT0060675,0.031034613,2022-02-12,2022-12-31,863.4077613504
ABBT0060675,0.04719847399999999,2022-02-12,2022-12-31,1313.0993054591997
ABBT0060675,0.04719847399999999,2022-02-12,2022-12-31,1313.0993054591997
ABBT0060675,0.04719847399999999,2022-02-12,2022-12-31,1313.0993054591997
ABBT0060675,0.04719847399999999,2022-02-12,2022-12-31,1313.0993054591997
ABBT0060675,0.095690057,2022-02-12,2022-12-31,2662.1739377856
ABBT0060675,0.031034613,2022-02-12,2022-12-31,863.4077613504
ABBT0060675,0.031034613,2022-02-12,2022-12-31,863.4077613504
ABBT0060675,0.031034613,2022-02-12,2022-12-31,863.4077613504
ABBT0060675,0.069827879,2022-02-12,2022-12-31,1942.6674560832
ABBT0145239,0.00969831675,2022-01-20,2022-12-31,289.087425684
ABBT0145239,0.00969831675,2022-01-20,2022-12-31,289.087425684
ABBT0145239,0.00969831675,2022-01-20,2022-12-31,289.087425684
ABBT0145239,0.00969831675,2022-01-20,2022-12-31,289.087425684
ABBT0145239,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0145239,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0145239,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0145239,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0145239,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0145239,0.095690057,2022-01-20,2022-12-31,2852.329219056
ABBT0145239,0.018103524,2022-01-20,2022-12-31,539.629843392
ABBT0145239,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0145239,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0145239,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0145239,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0145239,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0145239,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0145239,0.069827879,2022-01-20,2022-12-31,2081.429417232
ABBT0145239,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0145239,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0145239,0.051724355,2022-01-20,2022-12-31,1541.7995738400002
ABBT0145239,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0145239,0.018103524,2022-01-20,2022-12-31,539.629843392
ABBT0145239,0.041379484,2022-01-20,2022-12-31,1233.439659072
ABBT0145239,0.041379484,2022-01-20,2022-12-31,1233.439659072
ABBT0143433,0.0245690685,2022-03-01,2022-12-31,647.444093112
ABBT0143433,0.0245690685,2022-03-01,2022-12-31,647.444093112
ABBT0143433,0.0245690685,2022-03-01,2022-12-31,647.444093112
ABBT0143433,0.0245690685,2022-03-01,2022-12-31,647.444093112
ABBT0143433,0.031034613,2022-03-01,2022-12-31,817.824121776
ABBT0143433,0.051724355,2022-03-01,2022-12-31,1363.04020296
ABBT0143433,0.031034613,2022-03-01,2022-12-31,817.824121776
ABBT0143433,0.031034613,2022-03-01,2022-12-31,817.824121776
ABBT0143433,0.018103524,2022-03-01,2022-12-31,477.064064448
ABBT0143433,0.095690057,2022-03-01,2022-12-31,2521.624382064
ABBT0143433,0.031034613,2022-03-01,2022-12-31,817.824121776
ABBT0143433,0.031034613,2022-03-01,2022-12-31,817.824121776
ABBT0143433,0.031034613,2022-03-01,2022-12-31,817.824121776
ABBT0143433,0.031034613,2022-03-01,2022-12-31,817.824121776
ABBT0143433,0.018103524,2022-03-01,2022-12-31,477.064064448
ABBT0143433,0.031034613,2022-03-01,2022-12-31,817.824121776
ABBT0143433,0.031034613,2022-03-01,2022-12-31,817.824121776
ABBT0143433,0.031034613,2022-03-01,2022-12-31,817.824121776
ABBT0143433,0.031034613,2022-03-01,2022-12-31,817.824121776
ABBT0097868,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0097868,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0097868,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0097868,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0097868,0.095690057,2022-01-19,2022-12-31,2860.5968399808
ABBT0097868,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0097868,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0097868,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0097868,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0097868,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0097868,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0097868,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0097868,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0097868,0.069827879,2022-01-19,2022-12-31,2087.4625459776
ABBT0097868,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0097868,0.069827879,2022-01-19,2022-12-31,2087.4625459776
ABBT0097868,0.095690057,2022-01-19,2022-12-31,2860.5968399808
ABBT0097868,0.095690057,2022-01-19,2022-12-31,2860.5968399808
ABBT0097868,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0097868,0.095690057,2022-01-19,2022-12-31,2860.5968399808
ABBT0097868,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0097868,0.069827879,2022-01-19,2022-12-31,2087.4625459776
ABBT0097868,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0097868,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT9730011,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT9730011,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT9730011,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT9730011,0.031034613,2022-01-19,2022-12-31,927.7611348672
