Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),OGI Deployment Cost ($),OGI Sites flagged for Follow-Up,OGI Leaks tagged for repair,OGI Sites Visited,OGI Travel Time (Minutes),OGI Survey Time (Minutes)
2022-01-01,1004.55318,648.22617,356.32701,2876.00000,356,359,0,3,34,0.00000,600.00000,2876.00000,,34,3,180,300
2022-01-02,1001.87179,645.54478,356.32701,2876.00000,355,0,0,1,53,0.00000,200.00000,2876.00000,,53,3,180,360
2022-01-03,1013.00701,645.99168,367.01533,2876.00000,358,4,0,0,37,0.00000,0.00000,2876.00000,,37,3,180,300
2022-01-04,1017.92289,642.63994,375.28295,2876.00000,359,2,0,1,49,0.00000,200.00000,2876.00000,,49,3,180,360
2022-01-05,1031.55329,656.27034,375.28295,0.00000,362,3,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-06,1044.51335,669.23039,375.28295,0.00000,364,3,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-07,1047.19474,671.91179,375.28295,0.00000,365,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-08,1049.16854,671.91179,377.25675,0.00000,366,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-09,1047.60439,670.34764,377.25675,0.00000,365,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-10,1047.60439,670.34764,377.25675,0.00000,365,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-11,1055.87201,678.61526,377.25675,0.00000,366,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-12,1053.19062,675.93387,377.25675,0.00000,365,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-13,1053.41407,676.15732,377.25675,0.00000,366,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-14,1064.36308,687.10633,377.25675,0.00000,368,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-15,1067.71482,690.01117,377.70365,0.00000,370,3,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-16,952.19158,574.48793,377.70365,6400.00000,338,0,32,0,0,6400.00000,0.00000,0.00000,,0,0,0,0
2022-01-17,800.24611,422.54246,377.70365,10200.00000,290,3,51,0,0,10200.00000,0.00000,0.00000,,0,0,0,0
2022-01-18,681.37113,312.60545,368.76568,6400.00000,258,1,32,0,0,6400.00000,0.00000,0.00000,,0,0,0,0
2022-01-19,539.48088,170.49175,368.98913,8000.00000,221,3,40,0,0,8000.00000,0.00000,0.00000,,0,0,0,0
2022-01-20,541.93882,172.94969,368.98913,0.00000,221,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-21,546.40781,177.41868,368.98913,0.00000,222,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
