Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),stationary_mdl_high Deployment Cost ($),stationary_mdl_high Sites flagged for Follow-Up,stationary_mdl_high Leaks tagged for repair,stationary_mdl_high Sites Visited,stationary_mdl_high Travel Time (Minutes),stationary_mdl_high Survey Time (Minutes),OGI_FU_mdl_high Deployment Cost ($),OGI_FU_mdl_high Sites flagged for Follow-Up,OGI_FU_mdl_high Leaks tagged for repair,OGI_FU_mdl_high Sites Visited,OGI_FU_mdl_high Travel Time (Minutes),OGI_FU_mdl_high Survey Time (Minutes)
2022-01-01,1002.54214,692.91601,309.62612,6030.00000,370,373,0,1,0.00000,0.00000,200.00000,6030,0,,10,0,0,0.00000,,0,0,0,0
2022-01-02,1000.30764,690.23462,310.07302,30.00000,370,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-03,1013.90080,692.91601,320.98479,30.00000,373,3,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-04,1019.26359,698.27879,320.98479,30.00000,375,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-05,1019.26359,698.27879,320.98479,30.00000,375,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-06,1019.04014,698.05534,320.98479,30.00000,374,1,0,2,0.00000,0.00000,400.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-07,1019.04014,698.05534,320.98479,30.00000,374,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-08,1015.01805,694.03326,320.98479,30.00000,375,2,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-09,1016.99185,694.03326,322.95859,30.00000,376,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-10,1021.64704,687.77668,333.87036,1030.00000,376,2,0,2,42.00000,0.00000,400.00000,30,10,,10,0,0,1000.00000,,42,3,120,360
2022-01-11,1019.89669,688.00013,331.89656,1030.00000,376,1,0,0,36.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,36,3,120,360
2022-01-12,1020.56704,688.67048,331.89656,1030.00000,378,2,0,0,47.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,47,3,120,360
2022-01-13,1019.18910,685.98909,333.20002,530.00000,377,1,0,1,15.00000,0.00000,200.00000,30,0,,10,0,0,500.00000,,15,1,30,120
2022-01-14,1021.42359,688.22358,333.20002,30.00000,377,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-15,1021.20015,688.44703,332.75312,30.00000,377,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-16,1009.58079,685.76564,323.81515,30.00000,375,0,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-17,1012.93252,688.44703,324.48550,30.00000,377,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-18,1012.70908,688.22358,324.48550,30.00000,376,0,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-19,1018.74220,694.25671,324.48550,1030.00000,377,1,0,0,39.00000,0.00000,0.00000,30,10,,10,0,0,1000.00000,,39,3,120,360
2022-01-20,1029.46777,704.98227,324.48550,1030.00000,378,2,0,1,43.00000,0.00000,200.00000,30,0,,10,0,0,1000.00000,,43,3,120,360
2022-01-21,1029.46777,704.98227,324.48550,1030.00000,378,0,0,0,49.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,49,3,120,360
2022-01-22,1029.46777,704.98227,324.48550,530.00000,378,0,0,0,17.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,17,1,30,120
2022-01-23,1031.25536,706.76986,324.48550,30.00000,380,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-24,1041.23609,712.80299,328.43310,30.00000,383,3,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-25,910.29485,582.08520,328.20965,7230.00000,346,0,36,0,0.00000,7200.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-26,801.47509,473.26543,328.20965,5830.00000,317,0,29,0,0.00000,5800.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-27,655.56275,327.35310,328.20965,8230.00000,276,0,41,0,0.00000,8200.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-28,604.43012,278.19427,326.23585,3830.00000,262,1,14,0,23.00000,2800.00000,0.00000,30,10,,10,0,0,1000.00000,,23,3,120,360
2022-01-29,602.45632,278.19427,324.26205,1030.00000,261,0,0,0,27.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,27,3,120,360
2022-01-30,620.96536,294.72951,326.23585,1030.00000,264,3,0,0,18.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,18,3,120,360
2022-01-31,620.96536,294.72951,326.23585,530.00000,264,0,0,0,11.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,11,1,30,120
2022-02-01,622.30606,297.41090,324.89515,30.00000,263,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-02,622.30606,297.41090,324.89515,30.00000,263,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-03,581.63830,256.74315,324.89515,2830.00000,250,1,14,0,0.00000,2800.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-04,519.96632,195.07116,324.89515,3230.00000,234,0,16,0,0.00000,3200.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-05,488.23653,163.34138,324.89515,3230.00000,218,0,16,0,0.00000,3200.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-06,464.10401,139.20886,324.89515,2630.00000,211,1,8,0,19.00000,1600.00000,0.00000,30,10,,10,0,0,1000.00000,,19,3,120,360
2022-02-07,466.56196,141.89025,324.67170,1030.00000,211,1,0,0,15.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,15,3,120,360
2022-02-08,477.51097,144.57164,332.93933,1030.00000,213,3,0,0,15.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,15,3,120,360
2022-02-09,477.51097,144.57164,332.93933,530.00000,213,0,0,0,5.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,5,1,30,120
2022-02-10,468.34955,144.34819,324.00136,30.00000,211,0,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-11,477.28752,152.61581,324.67170,30.00000,213,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-12,457.62399,132.95228,324.67170,1630.00000,206,1,8,0,0.00000,1600.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
