Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0128628,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0128628,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0128628,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0128628,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0128628,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0128628,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0128628,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0128628,0.051724355,2022-01-21,2022-12-31,1537.330589568
ABBT0128628,0.069827879,2022-01-21,2022-12-31,2075.3962884864
ABBT0128628,0.051724355,2022-01-21,2022-12-31,1537.330589568
ABBT0128628,0.095690057,2022-01-21,2022-12-31,2844.0615981312
ABBT0128628,0.095690057,2022-01-21,2022-12-31,2844.0615981312
ABBT0128628,0.095690057,2022-01-21,2022-12-31,2844.0615981312
ABBT0128628,0.051724355,2022-01-21,2022-12-31,1537.330589568
ABBT0128628,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0140721,0.095690057,2022-01-22,2022-12-31,2835.7939772064
ABBT0140721,0.095690057,2022-01-22,2022-12-31,2835.7939772064
ABBT0140721,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0140721,0.0491381375,2022-01-22,2022-12-31,1456.2185324400002
ABBT0140721,0.0491381375,2022-01-22,2022-12-31,1456.2185324400002
ABBT0140721,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0140721,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0140721,0.069827879,2022-01-22,2022-12-31,2069.3631597408003
ABBT0140721,0.051724355,2022-01-22,2022-12-31,1532.861605296
ABBT0140721,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0140721,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0140721,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0140721,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0140721,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0140721,0.095690057,2022-01-22,2022-12-31,2835.7939772064
ABBT0140721,0.051724355,2022-01-22,2022-12-31,1532.861605296
ABBT0140721,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0140721,0.018103524,2022-01-22,2022-12-31,536.5015544448
ABBT0140721,0.069827879,2022-01-22,2022-12-31,2069.3631597408003
ABBT0140721,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0140721,0.051724355,2022-01-22,2022-12-31,1532.861605296
ABBT0140721,0.018103524,2022-01-22,2022-12-31,536.5015544448
ABBT0140721,0.018103524,2022-01-22,2022-12-31,536.5015544448
ABBT0140721,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0140721,0.051724355,2022-01-22,2022-12-31,1532.861605296
ABBT0140721,0.018103524,2022-01-22,2022-12-31,536.5015544448
ABBT0140721,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0140721,0.069827879,2022-01-22,2022-12-31,2069.3631597408003
ABBT0140721,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0140721,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0140721,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0146873,0.0168104155,2022-01-19,2022-12-31,502.5372851232
ABBT0146873,0.0168104155,2022-01-19,2022-12-31,502.5372851232
ABBT0146873,0.051724355,2022-01-19,2022-12-31,1546.268558112
ABBT0146873,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0146873,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0146873,0.06336233499999999,2022-01-19,2022-12-31,1894.1789874239998
ABBT0146873,0.06336233499999999,2022-01-19,2022-12-31,1894.1789874239998
ABBT0146873,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0146873,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0146873,0.069827879,2022-01-19,2022-12-31,2087.4625459776
ABBT0146873,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0146873,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0146873,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0146873,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0146873,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0146873,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0146873,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0143276,0.018103524,2022-01-19,2022-12-31,541.1939878656001
ABBT0143276,0.0362070485,2022-01-19,2022-12-31,1082.3879906784
ABBT0143276,0.0362070485,2022-01-19,2022-12-31,1082.3879906784
ABBT0143276,0.069827879,2022-01-19,2022-12-31,2087.4625459776
ABBT0143276,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0143276,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0143276,0.069827879,2022-01-19,2022-12-31,2087.4625459776
ABBT0143276,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0143276,0.018103524,2022-01-19,2022-12-31,541.1939878656001
ABBT0143276,0.069827879,2022-01-19,2022-12-31,2087.4625459776
ABBT0143276,0.051724355,2022-01-19,2022-12-31,1546.268558112
ABBT0143276,0.051724355,2022-01-19,2022-12-31,1546.268558112
ABBT0143276,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0143276,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0143276,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0143276,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0143276,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0143276,0.018103524,2022-01-19,2022-12-31,541.1939878656001
ABBT0143276,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0143276,0.018103524,2022-01-19,2022-12-31,541.1939878656001
ABBT0136410,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0136410,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0136410,0.018103524,2022-01-20,2022-12-31,539.629843392
ABBT0136410,0.051724355,2022-01-20,2022-12-31,1541.7995738400002
ABBT0136410,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0136410,0.069827879,2022-01-20,2022-12-31,2081.429417232
ABBT0136410,0.069827879,2022-01-20,2022-12-31,2081.429417232
ABBT0136410,0.051724355,2022-01-20,2022-12-31,1541.7995738400002
ABBT0136410,0.018103524,2022-01-20,2022-12-31,539.629843392
ABBT0136410,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0136410,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0136410,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0136410,0.051724355,2022-01-20,2022-12-31,1541.7995738400002
ABBT0136410,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0136410,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0136410,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0136410,0.095690057,2022-01-20,2022-12-31,2852.329219056
ABBT0136410,0.018103524,2022-01-20,2022-12-31,539.629843392
ABBT0136410,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0136410,0.069827879,2022-01-20,2022-12-31,2081.429417232
ABBT0136410,0.069827879,2022-01-20,2022-12-31,2081.429417232
ABBT0136410,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0136410,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0103713,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0103713,0.069827879,2022-01-21,2022-12-31,2075.3962884864
ABBT0103713,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0103713,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0103713,0.018103524,2022-01-21,2022-12-31,538.0656989184
ABBT0103713,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0103713,0.018103524,2022-01-21,2022-12-31,538.0656989184
ABBT0103713,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0103713,0.051724355,2022-01-21,2022-12-31,1537.330589568
ABBT0103713,0.031034613,2022-01-21,2022-12-31,922.3983537408001
