Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($)
P_aircraft,0,13436.8950040128,5150.0,13.688323930018274,2189.35965252217
P_aircraft,1,9436.7071617984,4550.0,17.21998968642697,1537.5833409830473
P_aircraft,2,30818.338963027203,10650.0,12.34190925453373,5021.430015137701
P_aircraft,3,5858.1680314176,3150.0,19.203955809505256,954.5089637040899
P_aircraft,4,6832.1831497632,4350.0,22.73901905901446,1113.2115062494936
P_drone,0,13436.8950040128,5900.0,15.681769162545208,2189.35965252217
P_drone,1,9436.7071617984,5300.0,20.058449524849,1537.5833409830473
P_drone,2,30818.338963027203,11400.0,13.2110577935854,5021.430015137701
P_drone,3,5858.1680314176,3900.0,23.77632624033984,954.5089637040899
P_drone,4,6832.1831497632,5100.0,26.659539586430746,1113.2115062494936
P_OGI,0,120714.6388951008,54704.0,16.18456803248224,19668.811863662704
P_OGI,1,122275.2082142016,51904.0,15.160180978526332,19923.085451510415
P_OGI,2,129711.3746270112,52904.0,14.566406198852475,21134.7078321857
P_OGI,3,137829.2845543776,54904.0,14.226709143828781,22457.411064776075
P_OGI,4,113831.9562903264,50504.0,15.845412347249345,18547.372156683592
P_stationary,0,235841.2598920896,236950.0,35.88218619537591,38427.13206090661
P_stationary,1,233879.37581793603,238150.0,36.366426552626685,38107.46968104914
P_stationary,2,228905.1728486496,238150.0,37.15668386612138,37296.99082554276
P_stationary,3,238027.7105210592,232750.0,34.92240454610667,38783.384512672295
P_stationary,4,217751.25856127043,232150.0,38.07588292877078,35479.61189230069
P_truck,0,122974.6042352736,47500.0,13.794950445077129,20037.042539752325
P_truck,1,120925.5749644896,44700.0,13.201744725194573,19703.181032986686
P_truck,2,129402.3443652288,45900.0,12.668129950249963,21084.355545712322
P_truck,3,137890.5096396384,47700.0,12.354522679069968,22467.38686136838
P_truck,4,116520.4972361376,43500.0,13.333031229887377,18985.43341035529
