Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($)
P_aircraft,0,3958.4028213216,2350.0,21.202635309498394,644.968009561979
P_aircraft,1,0.0,250.0,inf,0.0
P_aircraft,2,15603.235156368,5650.0,12.93229976114033,2542.3353750971237
P_aircraft,3,5904.1985713632,3750.0,22.6836157032654,962.0090153834853
P_aircraft,4,4021.192045872001,2750.0,24.424171885823924,655.1986614203695
P_drone,0,3958.4028213216,3100.0,27.969433812529797,644.968009561979
P_drone,1,0.0,1000.0,inf,0.0
P_drone,2,15603.235156368,6400.0,14.648976720583736,2542.3353750971237
P_drone,3,5904.1985713632,4500.0,27.22033884391848,962.0090153834853
P_drone,4,4021.192045872001,3500.0,31.08530967286681,655.1986614203695
P_OGI,0,50867.3196236736,27904.0,19.59158524459829,8288.139274941237
P_OGI,1,48272.8508524512,29504.0,21.828300320091415,7865.405805211307
P_OGI,2,63007.538900544,33304.0,18.87755960927244,10266.22321841287
P_OGI,3,62140.33249822081,29904.0,17.186905139758927,10124.92370635385
P_OGI,4,42135.1478698752,28704.0,24.329874439002257,6865.350415539523
P_stationary,0,199895.2084902816,240950.0,43.04934174185328,32570.2109058999
P_stationary,1,191630.7158943456,242150.0,45.129582934305915,31223.624017135284
P_stationary,2,200810.6799673248,248550.0,44.20474904885594,32719.37455674891
P_stationary,3,200755.9347934176,247350.0,44.00332463654877,32710.45457375529
P_stationary,4,176904.74233730882,245350.0,49.53230695925786,28824.22651196341
P_truck,0,64141.99054617599,24500.0,13.641609693576397,10451.066715362302
P_truck,1,58446.04665277441,25100.0,15.33771097905419,9522.98997296614
P_truck,2,61154.921467152,26300.0,15.35911896788602,9964.364354514899
P_truck,3,54720.7013271744,25700.0,16.773490116094937,8915.995518879463
P_truck,4,42185.2004532864,22900.0,19.387300144817218,6873.5058046076265
