Program Name,Simulation,"Total ""True"" Mitigated Emissions (Kg Methane)","Total ""True"" Emissions (Kg Methane)","Total ""Estimated"" Emissions (Kg Methane)","Total ""True"" Mitigable Emissions (Kg Methane)","Total ""True"" Non-Mitigable Emissions (Kg Methane)","Average ""True"" Emissions Rate (g/s)","95th Percentile ""True"" Emissions Rate (g/s)","5th Percentile ""True"" Emissions Rate (g/s)","Average ""True"" Emissions Amount (Kg Methane)","95th Percentile ""True"" Emissions Amount (Kg Methane)","5th Percentile ""True"" Emissions Amount (Kg Methane)","Year 2022 ""True"" Mitigated Emissions (Kg Methane)","Year 2022 ""True"" Emissions (Kg Methane)","Year 2022 ""Estimated"" Emissions (Kg Methane)"
P_aircraft,0,105654.8322587808,224812.327445568,0.0,132840.11064764162,91972.2167979264,0.032563243112275445,0.095690057,0.002586218,336.54540036761676,1590.5115055152,14.189023692,105654.83225878084,196689.98319686373,106975.49082154498
P_aircraft,1,103639.09693829759,222056.9750668896,0.0,125250.2111977344,96806.7638691552,0.029913161247437772,0.095690057,0.002586218,325.12002205986767,1457.0005991471999,13.630400712000002,103618.91429635545,197476.7939908666,103458.99586492748
P_aircraft,2,106739.67829317121,254895.59292845763,0.0,134508.6059012064,120386.98702725119,0.0317586374,0.095690057,0.002586218,344.4535039573752,1594.6341411095998,10.9490125248,106718.48773466477,224156.5057385905,128471.45410246984
P_aircraft,3,106958.21156363521,264327.38413908484,0.0,132058.9320804288,132268.452058656,0.031035185329349263,0.095690057,0.002586218,351.03238265482713,1912.5018123552,12.513154752,106958.21156363518,231401.86354925725,133700.6126780633
P_aircraft,4,80420.4891323424,263183.9204035584,0.0,131752.1364329952,131431.7839705632,0.03051280051882845,0.095690057,0.002586218,367.062650493108,1916.7920396063996,10.725562460159999,80418.93397720484,235097.87126554735,127357.56011393236
P_drone,0,105663.99367656,224806.9646644416,0.0,132834.74786651522,91972.2167979264,0.032563243112275445,0.095690057,0.002586218,336.5373722521581,1590.5115055152,14.189023692,105663.99367656001,196683.28718874755,106958.54592282185
P_drone,1,103640.8845320064,222046.91985225602,0.0,125240.1559831008,96806.7638691552,0.029913161247437772,0.095690057,0.002586218,325.10529993009663,1457.0005991471999,13.630400712000002,103620.7018900643,197475.64854375666,103432.03299316744
P_drone,2,105810.35301391681,255827.5995982752,0.0,135440.61257102402,120386.98702725119,0.0317586374,0.095690057,0.002586218,345.7129724301016,1594.6341411095998,10.9490125248,105799.73479534528,225089.6835566229,128397.26896346826
P_drone,3,106935.1962945696,264350.3994081504,0.0,132081.9473494944,132268.452058656,0.031035185329349263,0.095690057,0.002586218,351.06294742118246,1912.5018123552,12.513154752,106935.1962945696,231402.9530846832,134420.71499602502
P_drone,4,80430.7677962112,263164.92722038087,0.0,131733.1432498176,131431.7839705632,0.03051280051882845,0.095690057,0.002586218,367.03616069788126,1916.7920396063996,10.725562460159999,80429.21264107364,235097.79201567677,127328.5117161212
P_none,0,0.0,330378.6738160224,0.0,238406.45701809603,91972.2167979264,0.032563243112275445,0.095690057,0.002586218,494.57885301799763,1754.8025412888,15.7904107776,0.0,271793.3203101328,0.0
P_none,1,0.0,325534.0713253056,0.0,228727.30745615042,96806.7638691552,0.029913161247437772,0.095690057,0.002586218,476.6238233166993,1918.3114978272001,13.630400712000002,0.0,175205.45996975456,0.0
P_none,2,0.0,361491.59337782394,0.0,241104.60635057278,120386.98702725119,0.0317586374,0.095690057,0.002586218,488.5021532132756,2006.1382174027199,13.853850841440002,0.0,187852.12871138004,0.0
P_none,3,0.0,370817.46959973115,0.0,238549.0175410752,132268.452058656,0.031035185329349263,0.095690057,0.002586218,492.4534788841051,2075.3962884864,14.3007510528,0.0,308399.28521975206,0.0
P_none,4,0.0,343457.60340306244,0.0,212025.8194324992,131431.7839705632,0.03051280051882845,0.095690057,0.002586218,479.0203673682879,1960.0964960831998,11.038392218880002,0.0,178897.6437436989,0.0
P_OGI,0,96259.0162744512,234211.94206655043,0.0,142239.72526862402,91972.2167979264,0.032563243112275445,0.095690057,0.002586218,350.616679740345,1604.1419029872002,14.189023692,96259.01627445122,204093.16274212283,35537.0645525181
P_OGI,1,91936.6147350432,233766.6076449792,0.0,136959.843775824,96806.7638691552,0.029913161247437772,0.095690057,0.002586218,342.26443286234144,1606.9350217536,13.630400712000002,91928.39435766655,207447.358713867,35794.99907893405
P_OGI,2,99140.8408942464,262441.2494145888,0.0,142054.2623873376,120386.98702725119,0.0317586374,0.095690057,0.002586218,354.6503370467416,1594.6341411095998,10.9490125248,99130.222720085,229710.67280520606,37054.582480915094
P_OGI,3,101846.587368096,269525.483180352,0.0,137257.031121696,132268.452058656,0.031035185329349263,0.095690057,0.002586218,357.9355686326056,1912.5018123552,13.406954112,101846.58736809604,235493.10290909675,53975.42319479014
P_OGI,4,76380.5273562432,267216.0614572896,0.0,135784.2774867264,131431.7839705632,0.03051280051882845,0.095690057,0.002586218,372.68627818310966,1916.7920396063996,10.770253136640001,76378.9722270115,237749.02423856416,51075.20173187493
P_stationary,0,203247.616972608,126612.65466786241,0.0,34640.437869936,91972.2167979264,0.03256324311227544,0.095690057,0.002586218,189.53990219739882,708.101233308,12.9600556416,167031.5135924507,95441.13936638624,11298.672147772802
P_stationary,1,194797.4380954848,130280.5733851008,0.0,33473.8095159456,96806.7638691552,0.029913161247437772,0.095690057,0.002586218,190.74754521976692,678.0007627632001,12.177982713599999,160929.46352546464,103208.42914878567,11759.01475932
P_stationary,2,204496.0277643936,156570.78865835522,0.0,36183.801631104,120386.98702725119,0.0317586374,0.095690057,0.002586218,211.58214683561516,736.8461274326397,11.02721900112,168704.1826084766,122490.83525436744,14462.7874896672
P_stationary,3,203177.90081537282,167400.4781256768,0.0,35132.0260670208,132268.452058656,0.031035185329349263,0.095690057,0.002586218,222.31139193316972,950.776406352,11.619360230400002,173474.35012816766,131623.62897428902,15663.938734886398
P_stationary,4,179833.71451176002,163199.55883495678,0.0,31767.774864393603,131431.7839705632,0.03051280051882845,0.095690057,0.002586218,227.61444746855898,1267.2251808076776,9.831766141440003,146182.5308866572,132738.19542605587,15548.7134513088
P_truck,0,105663.99367656,224806.9646644416,0.0,132834.74786651522,91972.2167979264,0.032563243112275445,0.095690057,0.002586218,336.5373722521581,1590.5115055152,14.189023692,105663.99367656001,196683.28718874755,106932.02994961862
P_truck,1,103640.8845320064,222046.91985225602,0.0,125240.1559831008,96806.7638691552,0.029913161247437772,0.095690057,0.002586218,325.10529993009663,1457.0005991471999,13.630400712000002,103620.7018900643,197475.64854375666,103419.51983737867
P_truck,2,105810.35301391681,255827.5995982752,0.0,135440.61257102402,120386.98702725119,0.0317586374,0.095690057,0.002586218,345.7129724301016,1594.6341411095998,10.9490125248,105799.73479534528,225089.6835566229,128378.2757803771
P_truck,3,106935.1962945696,264350.3994081504,0.0,132081.9473494944,132268.452058656,0.031035185329349263,0.095690057,0.002586218,351.06294742118246,1912.5018123552,12.513154752,106935.1962945696,231402.9530846832,134397.5135194938
P_truck,4,80430.7677962112,263164.92722038087,0.0,131733.1432498176,131431.7839705632,0.03051280051882845,0.095690057,0.002586218,367.03616069788126,1916.7920396063996,10.725562460159999,80429.21264107364,235097.79201567677,127288.10465003477
