Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0057730,0.0168104155,2022-01-26,2022-01-27,1.4524198992
ABBT0057730,0.0168104155,2022-01-26,2022-01-27,1.4524198992
ABBT0057730,0.051724355,2022-01-26,2022-01-27,4.468984272
ABBT0057730,0.031034613,2022-06-28,2022-06-29,2.6813905632
ABBT0057730,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0057730,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0057730,0.031034613,2022-02-13,2022-02-14,2.6813905632
ABBT0057730,0.069827879,2022-06-28,2022-06-29,6.0331287456
ABBT0057730,0.095690057,2022-01-26,2022-01-27,8.267620924800001
ABBT0057730,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0057730,0.018103524,2022-05-14,2022-05-15,1.5641444736
ABBT0057730,0.051724355,2022-07-16,2022-07-17,4.468984272
ABBT0057730,0.051724355,2022-01-26,2022-01-27,4.468984272
ABBT0057730,0.069827879,2022-04-26,2022-04-26,0.0
ABBT0057730,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0057730,0.041379484,2022-01-26,2022-01-27,3.5751874176000005
ABBT0057730,0.041379484,2022-01-26,2022-01-27,3.5751874176000005
ABBT0057730,0.051724355,2022-08-21,2022-08-22,4.468984272
ABBT0057730,0.069827879,2022-08-21,2022-08-22,6.0331287456
ABBT0057730,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0057730,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0057730,0.018103524,2022-01-26,2022-01-27,1.5641444736
ABBT0057730,0.031034613,2022-06-19,2022-06-20,2.6813905632
ABBT0057730,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0057730,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0057730,0.018103524,2022-10-05,2022-10-06,1.5641444736
ABBT0057730,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0057730,0.069827879,2022-01-26,2022-01-27,6.0331287456
ABBT0057730,0.051724355,2022-01-26,2022-01-27,4.468984272
ABBT0057730,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0057730,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0057730,0.018103524,2022-10-14,2022-10-15,1.5641444736
ABBT0057730,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0057730,0.069827879,2022-01-26,2022-01-27,6.0331287456
ABBT0057730,0.095690057,2022-01-26,2022-01-27,8.267620924800001
ABBT0057730,0.0271552865,2022-01-26,2022-01-27,2.3462167536000003
ABBT0057730,0.0271552865,2022-01-26,2022-01-27,2.3462167536000003
ABBT0057730,0.018103524,2022-01-26,2022-01-27,1.5641444736
ABBT0057730,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0057730,0.031034613,2022-02-13,2022-02-14,2.6813905632
ABBT0057730,0.031034613,2022-07-16,2022-07-17,2.6813905632
ABBT0057730,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0057730,0.069827879,2022-02-22,2022-02-23,6.0331287456
ABBT0057730,0.031034613,2022-10-05,2022-10-06,2.6813905632
ABBT0057730,0.051724355,2022-06-19,2022-06-20,4.468984272
ABBT0057730,0.031034613,2022-06-01,2022-06-02,2.6813905632
ABBT0057730,0.031034613,2022-02-22,2022-02-23,2.6813905632
ABBT0092199,0.04310362933333333,2022-01-26,2022-01-27,3.7241535744
ABBT0092199,0.04310362933333333,2022-01-26,2022-01-27,3.7241535744
ABBT0092199,0.04310362933333333,2022-01-26,2022-01-27,3.7241535744
ABBT0092199,0.031034613,2022-11-20,2022-11-21,2.6813905632
ABBT0092199,0.069827879,2022-01-26,2022-01-27,6.0331287456
ABBT0092199,0.095690057,2022-01-26,2022-01-27,8.267620924800001
ABBT0092199,0.06336233499999999,2022-01-26,2022-01-27,5.474505744
ABBT0092199,0.06336233499999999,2022-01-26,2022-01-27,5.474505744
ABBT0092199,0.018103524,2022-02-13,2022-02-13,0.0
ABBT0092199,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0092199,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0092199,0.031034613,2022-12-25,2022-12-26,2.6813905632
ABBT0092199,0.073707206,2022-01-26,2022-01-27,6.368302598400001
ABBT0092199,0.073707206,2022-01-26,2022-01-27,6.368302598400001
ABBT0092199,0.031034613,2022-11-20,2022-11-21,2.6813905632
ABBT0092199,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0092199,0.031034613,2022-12-25,2022-12-26,2.6813905632
ABBT0092199,0.095690057,2022-01-26,2022-01-27,8.267620924800001
ABBT0092199,0.095690057,2022-03-30,2022-03-31,8.267620924800001
ABBT0092199,0.095690057,2022-01-26,2022-01-27,8.267620924800001
ABBT0092199,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0092199,0.031034613,2022-05-14,2022-05-15,2.6813905632
ABBT0092199,0.095690057,2022-01-26,2022-01-27,8.267620924800001
ABBT0092199,0.018103524,2022-01-26,2022-01-27,1.5641444736
ABBT0092199,0.069827879,2022-12-25,2022-12-26,6.0331287456
ABBT0092199,0.031034613,2022-08-30,2022-08-30,0.0
ABBT0092199,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0092199,0.031034613,2022-12-16,2022-12-17,2.6813905632
ABBT0092199,0.069827879,2022-10-24,2022-10-25,6.0331287456
ABBT0092199,0.069827879,2022-01-26,2022-01-27,6.0331287456
ABBT0092199,0.031034613,2022-12-08,2022-12-09,2.6813905632
ABBT0092199,0.041379484,2022-01-26,2022-01-27,3.5751874176000005
ABBT0092199,0.041379484,2022-01-26,2022-01-27,3.5751874176000005
ABBT0092199,0.031034613,2022-11-11,2022-11-12,2.6813905632
ABBT0092199,0.031034613,2022-02-22,2022-02-23,2.6813905632
ABBT0092199,0.069827879,2022-01-26,2022-01-27,6.0331287456
ABBT0092199,0.031034613,2022-09-08,2022-09-09,2.6813905632
ABBT0118135,0.031034613,2022-06-01,2022-06-02,2.6813905632
ABBT0118135,0.069827879,2022-06-19,2022-06-20,6.0331287456
ABBT0118135,0.031034613,2022-10-05,2022-10-06,2.6813905632
ABBT0118135,0.095690057,2022-12-16,2022-12-17,8.267620924800001
ABBT0118135,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0118135,0.031034613,2022-02-13,2022-02-14,2.6813905632
ABBT0118135,0.031034613,2022-10-05,2022-10-06,2.6813905632
ABBT0118135,0.08275896799999999,2022-01-26,2022-01-27,7.150374835199999
ABBT0118135,0.08275896799999999,2022-01-26,2022-01-27,7.150374835199999
ABBT0118135,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0118135,0.031034613,2022-02-04,2022-02-05,2.6813905632
ABBT0118135,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0118135,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0118135,0.069827879,2022-09-08,2022-09-09,6.0331287456
ABBT0118135,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0118135,0.031034613,2022-03-21,2022-03-22,2.6813905632
ABBT0118135,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0118135,0.018103524,2022-05-23,2022-05-24,1.5641444736
ABBT0118135,0.031034613,2022-11-01,2022-11-02,2.6813905632
ABBT0118135,0.018103524,2022-01-26,2022-01-27,1.5641444736
ABBT0118135,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0118135,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0118135,0.0038793265000000004,2022-12-07,2022-12-08,0.33517380960000004
ABBT0118135,0.0038793265000000004,2022-12-07,2022-12-08,0.33517380960000004
ABBT0118135,0.069827879,2022-03-21,2022-03-22,6.0331287456
ABBT0118135,0.031034613,2022-09-26,2022-09-27,2.6813905632
ABBT0118135,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0118135,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0118135,0.069827879,2022-01-26,2022-01-27,6.0331287456
ABBT0118135,0.069827879,2022-01-26,2022-01-27,6.0331287456
ABBT0118135,0.031034613,2022-07-16,2022-07-17,2.6813905632
ABBT0118135,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0118135,0.095690057,2022-01-26,2022-01-27,8.267620924800001
ABBT0118135,0.069827879,2022-01-26,2022-01-27,6.0331287456
ABBT0118135,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0118135,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0118135,0.095690057,2022-01-26,2022-01-27,8.267620924800001
ABBT0118135,0.018103524,2022-01-26,2022-01-27,1.5641444736
ABBT0118135,0.031034613,2022-11-01,2022-11-02,2.6813905632
ABBT0118135,0.031034613,2022-11-01,2022-11-02,2.6813905632
ABBT0058776,0.069827879,2022-01-26,2022-01-27,6.0331287456
ABBT0058776,0.069827879,2022-01-26,2022-01-27,6.0331287456
ABBT0058776,0.069827879,2022-11-19,2022-11-20,6.0331287456
ABBT0058776,0.018103524,2022-06-10,2022-06-11,1.5641444736
ABBT0058776,0.0362070485,2022-12-25,2022-12-26,3.1282889904
ABBT0058776,0.0362070485,2022-12-25,2022-12-26,3.1282889904
ABBT0058776,0.095690057,2022-05-14,2022-05-15,8.267620924800001
ABBT0058776,0.069827879,2022-01-26,2022-01-27,6.0331287456
ABBT0058776,0.031034613,2022-12-07,2022-12-07,0.0
ABBT0058776,0.031034613,2022-08-03,2022-08-04,2.6813905632
ABBT0058776,0.095690057,2022-08-03,2022-08-04,8.267620924800001
ABBT0058776,0.031034613,2022-11-10,2022-11-11,2.6813905632
ABBT0058776,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0058776,0.018103524,2022-09-08,2022-09-09,1.5641444736
ABBT0058776,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0058776,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0058776,0.031034613,2022-01-26,2022-01-27,2.6813905632
