Program Name,Simulation,"Total ""True"" Mitigated Emissions (Kg Methane)","Total ""True"" Emissions (Kg Methane)","Total ""Estimated"" Emissions (Kg Methane)","Total ""True"" Mitigable Emissions (Kg Methane)","Total ""True"" Non-Mitigable Emissions (Kg Methane)","Average ""True"" Emissions Rate (g/s)","95th Percentile ""True"" Emissions Rate (g/s)","5th Percentile ""True"" Emissions Rate (g/s)","Average ""True"" Emissions Amount (Kg Methane)","95th Percentile ""True"" Emissions Amount (Kg Methane)","5th Percentile ""True"" Emissions Amount (Kg Methane)","Year 2022 ""True"" Mitigated Emissions (Kg Methane)","Year 2022 ""True"" Emissions (Kg Methane)","Year 2022 ""Estimated"" Emissions (Kg Methane)"
P_aircraft,0,7614.478848153602,359709.2881237728,0.0,269388.360865872,90320.92725790081,0.030541919950585167,0.095690057,0.002586218,467.76240328188925,1885.0175708544,13.779368213760002,7614.478848153602,184141.60044006136,16562.3535787968
P_aircraft,1,0.0,367860.6783071424,0.0,275500.36725811195,92360.3110490304,0.03197950982814614,0.095690057,0.002586218,497.7817027160249,1838.718893675519,10.792597334400002,0.0,304596.1838771116,0.0
P_aircraft,2,6722.693044128,377044.6642379136,0.0,264303.773955648,112740.89028226561,0.030220983761174967,0.095690057,0.002586218,481.53852393092416,1829.1552615359922,16.982141875200004,6722.693044128,314623.58049709356,22442.1961186368
P_aircraft,3,3977.1725366016,378954.5594377824,0.0,275669.2948190112,103285.26461877121,0.03135200718242343,0.095690057,0.002586218,504.5999459890578,1796.509332912952,12.490810070400002,3977.1725366016003,312506.64622913365,15432.147478828807
P_aircraft,4,2820.1525217568,352240.1629866144,0.0,253355.20949442242,98884.953492192,0.03124536824447513,0.095690057,0.002586218,486.5195621362077,1818.787221584635,14.647095799200002,2820.1525217568,295379.1021146096,11858.002839417595
P_drone,0,7614.478848153602,359709.2881237728,0.0,269388.360865872,90320.92725790081,0.030541919950585167,0.095690057,0.002586218,467.76240328188925,1885.0175708544,13.779368213760002,7614.478848153602,184141.60044006136,16562.3535787968
P_drone,1,0.0,367860.6783071424,0.0,275500.36725811195,92360.3110490304,0.03197950982814614,0.095690057,0.002586218,497.7817027160249,1838.718893675519,10.792597334400002,0.0,304596.1838771116,0.0
P_drone,2,6722.693044128,377044.6642379136,0.0,264303.773955648,112740.89028226561,0.030220983761174967,0.095690057,0.002586218,481.53852393092416,1829.1552615359922,16.982141875200004,6722.693044128,314623.58049709356,22442.1961186368
P_drone,3,3977.1725366016,378954.5594377824,0.0,275669.2948190112,103285.26461877121,0.03135200718242343,0.095690057,0.002586218,504.5999459890578,1796.509332912952,12.490810070400002,3977.1725366016003,312506.64622913365,15432.147478828807
P_drone,4,2820.1525217568,352240.1629866144,0.0,253355.20949442242,98884.953492192,0.03124536824447513,0.095690057,0.002586218,486.5195621362077,1818.787221584635,14.647095799200002,2820.1525217568,295379.1021146096,11858.002839417595
P_none,0,0.0,367216.287899904,0.0,276895.36064200324,90320.92725790081,0.030541919950585167,0.095690057,0.002586218,477.524431599355,1886.8945419071993,13.779368213760002,0.0,190367.5049574612,0.0
P_none,1,0.0,367860.6783071424,0.0,275500.36725811195,92360.3110490304,0.03197950982814614,0.095690057,0.002586218,497.7817027160249,1838.718893675519,10.792597334400002,0.0,304596.1838771116,0.0
P_none,2,0.0,383759.313110352,0.0,271018.4228280864,112740.89028226561,0.030220983761174967,0.095690057,0.002586218,490.11406527503453,1829.1552615359922,18.658011139200006,0.0,318829.72323321714,0.0
P_none,3,0.0,382931.731974384,0.0,279646.4673556128,103285.26461877121,0.03135200718242343,0.095690057,0.002586218,509.8957815903915,1796.509332912952,12.71426124096,0.0,315400.830754809,0.0
P_none,4,0.0,355052.2713366816,0.0,256167.3178444896,98884.953492192,0.03124536824447513,0.095690057,0.002586218,490.4036896915492,1818.787221584635,14.870545319520001,0.0,297052.2800957928,0.0
P_OGI,0,71029.5890818176,296505.11394766084,0.0,206184.18668976,90320.92725790081,0.030541919950585167,0.095690057,0.002586218,385.57231982790745,1612.4095287072,8.401689619200003,71027.59080740038,253694.871250468,33757.44052659822
P_OGI,1,73784.941360272,294152.8269256704,0.0,201792.51587663998,92360.3110490304,0.03197950982814614,0.095690057,0.002586218,398.04171437844434,1669.5231425452798,6.4800278208,73780.30270832306,250242.01051372327,34134.47396115819
P_OGI,2,81400.9843325088,302390.5054646016,0.0,189649.615182336,112740.89028226561,0.030220983761174967,0.095690057,0.002586218,386.19477070830345,1595.427385103999,12.960054993600007,81400.98433250884,261436.31058905635,38991.961853078246
P_OGI,3,73885.94041596481,309210.92052672955,0.0,205925.6559079584,103285.26461877121,0.03135200718242343,0.095690057,0.002586218,411.7322510342604,1708.604406740159,7.1503753881600005,73885.27772937584,261630.08996602497,32582.09786143669
P_OGI,4,60498.42766692481,294637.41367577284,0.0,195752.4601835808,98884.953492192,0.03124536824447513,0.095690057,0.002586218,406.95775369581884,1635.9834141647991,11.094254527680002,60480.535723510184,252643.90313412406,32052.969861580685
P_stationary,0,232661.13086825283,134018.4320195904,0.0,43697.504761689604,90320.92725790081,0.030541919950585167,0.095690057,0.002586218,174.27624449881716,661.2234513119994,5.5862308800000005,195597.03479508092,99065.97962461201,91063.4120488656
P_stationary,1,231724.8786682368,135657.6183219744,0.0,43297.307272944,92360.3110490304,0.03197950982814614,0.095690057,0.002586218,183.5691722895459,705.6637847683199,5.5862308800000005,192240.61952598265,101074.98582845146,90729.46722047025
P_stationary,2,226335.507002064,156839.26296594238,0.0,44098.3726836768,112740.89028226561,0.030220983761174967,0.095690057,0.002586218,200.30557211486894,686.8828688255992,5.809680115200001,188347.34326503603,123319.27880395456,110998.65703726084
P_stationary,3,236456.4157334496,145991.7721417536,0.0,42706.5075229824,103285.26461877121,0.03135200718242343,0.095690057,0.002586218,194.3965008545321,845.6658957734378,5.5862308800000005,200038.69881617802,110401.1263948534,111776.59562797446
P_stationary,4,214826.9787797184,139998.04470783361,0.0,41113.0912156416,98884.953492192,0.03124536824447513,0.095690057,0.002586218,193.36746506606852,675.0400607423974,7.373824333920001,176490.4361023531,107127.24723837335,101659.33647349922
P_truck,0,76299.4153342368,291208.9206878208,0.0,200887.99342992,90320.92725790081,0.030541919950585167,0.095690057,0.002586218,378.68520245490356,1618.0404463756786,6.01078428864,76280.19362749094,137345.81305350992,92722.4852083773
P_truck,1,74459.0876597568,293470.8599036448,0.0,201110.54885461443,92360.3110490304,0.03197950982814614,0.095690057,0.002586218,397.1188902620363,1654.2839020435176,5.362780763520001,74454.44900780788,250984.4497501864,81136.1221348606
P_truck,2,73902.2521833504,309941.52472952637,0.0,197200.63444726082,112740.89028226561,0.030220983761174967,0.095690057,0.002586218,395.83847347321375,1616.3198907983972,10.9490125248,73902.25218335043,265662.7305124797,82345.80161508464
P_truck,3,79973.5907657088,302959.48190382717,0.0,199674.21728505602,103285.26461877121,0.03135200718242343,0.095690057,0.002586218,403.4080984072266,1708.604406740159,7.351479838080002,79973.59076570878,258047.66948618751,87644.75095448623
P_truck,4,75856.3155995904,279244.2207673152,0.0,180359.26727512322,98884.953492192,0.03124536824447513,0.095690057,0.002586218,385.696437523916,1512.080828431199,8.289965723040003,75805.95168711703,238461.54974927707,72548.74540071341
