Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),stationary Deployment Cost ($),stationary Sites flagged for Follow-Up,stationary Leaks tagged for repair,stationary Sites Visited,stationary Travel Time (Minutes),stationary Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,934.94875,625.88125,309.06750,6030.00000,335,337,0,2,0.00000,0.00000,400.00000,6030,0,,10,0,0,0.00000,,0,0,0,0
2022-01-02,933.42185,625.88125,307.54060,30.00000,335,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-03,920.27558,614.26189,306.01370,30.00000,334,2,0,2,0.00000,0.00000,400.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-04,917.55695,609.56945,307.98750,30.00000,333,1,0,2,0.00000,0.00000,400.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-05,931.41080,614.48534,316.92547,30.00000,337,4,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-06,931.63425,614.48534,317.14891,30.00000,338,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-07,931.63425,614.48534,317.14891,30.00000,338,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-08,933.19840,616.04948,317.14891,30.00000,339,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-09,943.70051,626.55160,317.14891,30.00000,340,2,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-10,943.03016,625.88125,317.14891,3030.00000,341,2,0,1,174.00000,0.00000,200.00000,30,10,,10,0,0,3000.00000,,174,9,360,1080
2022-01-11,947.94605,630.79713,317.14891,530.00000,343,2,0,0,22.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,22,1,30,120
2022-01-12,954.57504,633.47852,321.09652,30.00000,346,3,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-13,955.02194,633.92542,321.09652,30.00000,347,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-14,963.28956,642.19304,321.09652,30.00000,348,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-15,963.28956,642.19304,321.09652,30.00000,348,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-16,968.87579,647.77927,321.09652,30.00000,348,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-17,968.87579,647.77927,321.09652,30.00000,348,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-18,981.16549,650.46066,330.70483,30.00000,351,3,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-19,981.16549,650.46066,330.70483,3030.00000,351,0,0,0,180.00000,0.00000,0.00000,30,10,,10,0,0,3000.00000,,180,9,360,1080
2022-01-20,985.41103,654.70620,330.70483,530.00000,353,2,0,0,24.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,24,1,30,120
2022-01-21,985.63448,654.92965,330.70483,30.00000,354,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-22,985.41103,654.70620,330.70483,30.00000,353,0,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-23,990.06622,657.38759,332.67864,30.00000,355,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-24,990.06622,657.38759,332.67864,30.00000,355,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-25,456.91640,124.68466,332.23174,29630.00000,206,0,148,0,0.00000,29600.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-26,382.50781,50.27607,332.23174,4430.00000,185,1,22,0,0.00000,4400.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-27,380.53401,50.27607,330.25794,30.00000,184,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-28,391.48302,52.95746,338.52556,3030.00000,186,2,0,0,48.00000,0.00000,0.00000,30,10,,10,0,0,3000.00000,,48,9,360,1080
2022-01-29,389.50922,52.95746,336.55175,530.00000,185,0,0,0,6.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,6,1,30,120
2022-01-30,387.53542,52.95746,334.57795,30.00000,184,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-31,387.53542,52.95746,334.57795,30.00000,184,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-01,387.53542,52.95746,334.57795,30.00000,184,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-02,388.20577,52.95746,335.24830,30.00000,184,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-03,374.79881,39.55051,335.24830,830.00000,183,3,4,0,0.00000,800.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-04,368.76568,34.18773,334.57795,430.00000,180,0,2,0,0.00000,400.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-05,371.44707,36.86912,334.57795,30.00000,181,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-06,382.39609,47.81813,334.57795,3030.00000,183,2,0,0,49.00000,0.00000,0.00000,30,10,,10,0,0,3000.00000,,49,9,360,1080
2022-02-07,385.07748,50.49952,334.57795,530.00000,184,1,0,0,5.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,5,1,30,120
2022-02-08,391.52026,54.96851,336.55175,30.00000,186,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-09,391.52026,54.96851,336.55175,30.00000,186,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-10,389.32301,54.74506,334.57795,30.00000,184,0,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-11,387.34921,54.74506,332.60415,30.00000,183,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-12,381.27884,46.70089,334.57795,830.00000,181,3,4,1,0.00000,800.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-13,379.30504,46.70089,332.60415,30.00000,180,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-14,381.98643,49.82917,332.15725,30.00000,181,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-15,381.98643,49.82917,332.15725,3030.00000,181,0,0,0,49.00000,0.00000,0.00000,30,10,,10,0,0,3000.00000,,49,9,360,1080
2022-02-16,374.38916,49.82917,324.55998,530.00000,181,1,0,0,5.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,5,1,30,120
2022-02-17,373.94226,49.82917,324.11308,30.00000,180,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
