Emissions ID,Site ID,Equipment,Component,Status,Days Active,Days Emitting,Estimated Days Active,Date Began,Date Repaired or Expired,Theoretical End Date,Mitigated Emissions (Kg Methane),"""True"" Volume Emitted (Kg Methane)","""Estimated"" Volume Emitted (Kg Methane)","""True"" Rate (g/s)","""Measured"" Rate (g/s)",Initially Detected By,Initially Detected Date,Tagged,Tagged By,Recorded,Recorded By,Repairable
0000000000,ABBT0121923,CatalyticHeater,Connector_0,repaired,32,32,9,2022-07-11,2022-08-12,2023-07-11,378.0760694112,85.8044980224,,0.031034613,0.031034613,OGI_FU,2022-07-27,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0121923,CatalyticHeater,Regulator_0,active,1,1,0,2022-12-31,,2023-12-31,0.0,8.267620924800001,,0.095690057,,stationary,2022-12-31,False,,N/A,N/A,True
0000000000,ABBT0121923,FlareKnockOutDrum,Connector_1,repaired,25,25,9,2021-12-26,2022-01-26,2022-12-26,895.5844481088001,67.03476408,,0.031034613,0.031034613,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
0000000001,ABBT0121923,FlareKnockOutDrum,Connector_1,repaired,48,48,9,2022-04-05,2022-05-23,2023-04-05,595.2687050304,128.7067470336,,0.031034613,0.031034613,stationary,2022-04-05,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0121923,GasBoot,Connector_8,repaired,25,25,9,2021-11-28,2022-01-26,2022-11-28,136.75090550400003,11.172459600000002,,0.005172435,0.005172435,stationary,2022-01-01,True,OGI_FU,N/A,N/A,True
0000000001,ABBT0121923,GasBoot,Connector_8,repaired,25,25,9,2021-12-03,2022-01-26,2022-12-03,138.985397424,11.172459600000002,,0.005172435,0.005172435,stationary,2022-01-01,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0121923,GasBoot,Connector_13,repaired,25,25,9,2021-05-30,2022-01-26,2022-05-30,554.154049728,111.7246068,,0.051724355,0.051724355,stationary,2022-01-01,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0121923,GasPipelineHeader,Valve_4,repaired,61,61,9,2021-06-12,2022-03-03,2022-06-12,22.5683727552,13.6304033472,,0.002586218,0.002586218,stationary,2022-01-01,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0121923,LineHeater,Connector_46,repaired,25,25,9,2021-07-28,2022-01-26,2022-07-28,40.8912100416,5.5862308800000005,,0.002586218,0.002586218,stationary,2022-01-01,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0121923,LiquidPipelineHeader,Connector_5,repaired,26,26,9,2022-10-15,2022-11-10,2023-10-15,136.75091872320002,69.7161546432,,0.031034613,0.031034613,OGI_FU,2022-10-25,True,OGI_FU,N/A,N/A,True
