Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($)
P_aircraft,0,119965.41377190722,46350.0,13.79861987559605,19546.735799595364
P_aircraft,1,97462.0669004352,35950.0,13.173623464605985,15880.12088056843
P_aircraft,2,114003.118358352,45150.0,14.14434993726526,18575.2606923658
P_aircraft,3,100362.8846043072,41350.0,14.714460630621772,16352.769750585103
P_aircraft,4,122773.2765132384,46750.0,13.5993996785027,20004.238920208787
P_drone,0,119965.41377190722,47100.0,14.021898514359739,19546.735799595364
P_drone,1,97438.3812837504,36700.0,13.451724756154903,15876.261630831095
P_drone,2,114050.2661424,45900.0,14.373361586363576,18582.942783806546
P_drone,3,100418.9703568992,42100.0,14.972981929884199,16361.90816267879
P_drone,4,122801.654563344,47500.0,13.81437878390729,20008.86273827836
P_OGI,0,104205.9876524064,48704.0,16.692213284621204,16978.951227145026
P_OGI,1,81683.87103040321,39504.0,17.272163097314692,13309.278032043998
P_OGI,2,103544.1310226688,49504.0,17.074845117131108,16871.110673172618
P_OGI,3,87837.8858413632,44704.0,18.176341714950485,14311.991212739089
P_OGI,4,110036.0010070944,49704.0,16.132382501145308,17928.872768439163
P_stationary,0,213721.12851894723,235150.0,39.295199047059825,34822.95690568027
P_stationary,1,188856.8172474624,223550.0,42.275035065147215,30771.65488469373
P_stationary,2,239615.540645904,239550.0,35.70451699332795,39042.099878785986
P_stationary,3,212380.656773328,227550.0,38.26518778948575,34604.54522989295
P_stationary,4,204008.0145856416,232750.0,40.74594822602154,33240.33683314272
P_truck,0,119965.41377190722,46900.0,13.962357544022755,19546.735799595364
P_truck,1,97438.3812837504,36500.0,13.378418354214004,15876.261630831095
P_truck,2,114050.2661424,45700.0,14.310732559843473,18582.942783806546
P_truck,3,100418.9703568992,41900.0,14.901851374397813,16361.90816267879
P_truck,4,122801.654563344,47300.0,13.756212978501365,20008.86273827836
