Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0128628,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0128628,0.056896790499999995,2022-01-20,2022-12-31,1695.9795312239999
ABBT0128628,0.056896790499999995,2022-01-20,2022-12-31,1695.9795312239999
ABBT0128628,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0128628,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0128628,0.005172435,2022-01-20,2022-12-31,154.17994248000002
ABBT0128628,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0128628,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0128628,0.051724355,2022-01-20,2022-12-31,1541.7995738400002
ABBT0128628,0.021551814666666665,2022-01-20,2022-12-31,642.416491584
ABBT0128628,0.021551814666666665,2022-01-20,2022-12-31,642.416491584
ABBT0128628,0.021551814666666665,2022-01-20,2022-12-31,642.416491584
ABBT0128628,0.0491381375,2022-01-20,2022-12-31,1464.7096026000002
ABBT0128628,0.0491381375,2022-01-20,2022-12-31,1464.7096026000002
ABBT0128628,0.005172435,2022-01-20,2022-12-31,154.17994248000002
ABBT0140721,0.095690057,2022-01-19,2022-12-31,2860.5968399808
ABBT0140721,0.095690057,2022-01-19,2022-12-31,2860.5968399808
ABBT0140721,0.018103524,2022-01-19,2022-12-31,541.1939878656001
ABBT0140721,0.095690057,2022-01-19,2022-12-31,2860.5968399808
ABBT0140721,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0140721,0.069827879,2022-01-19,2022-12-31,2087.4625459776
ABBT0140721,0.095690057,2022-01-19,2022-12-31,2860.5968399808
ABBT0146873,0.095690057,2022-01-21,2022-12-31,2844.0615981312
ABBT0146873,0.0491381375,2022-01-21,2022-12-31,1460.46406752
ABBT0146873,0.0491381375,2022-01-21,2022-12-31,1460.46406752
ABBT0146873,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0146873,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0146873,0.095690057,2022-01-21,2022-12-31,2844.0615981312
ABBT0146873,0.018103524,2022-01-21,2022-12-31,538.0656989184
ABBT0146873,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0146873,0.095690057,2022-01-21,2022-12-31,2844.0615981312
ABBT0146873,0.051724355,2022-01-21,2022-12-31,1537.330589568
ABBT0146873,0.095690057,2022-01-21,2022-12-31,2844.0615981312
ABBT0146873,0.051724355,2022-01-21,2022-12-31,1537.330589568
ABBT0146873,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0146873,0.095690057,2022-01-21,2022-12-31,2844.0615981312
ABBT0143276,0.002586218,2022-01-21,2022-12-31,76.8665369088
ABBT0143276,0.095690057,2022-01-21,2022-12-31,2844.0615981312
ABBT0143276,0.051724355,2022-01-21,2022-12-31,1537.330589568
ABBT0143276,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0143276,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0143276,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0143276,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0143276,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0143276,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0143276,0.095690057,2022-01-21,2022-12-31,2844.0615981312
ABBT0143276,0.031034613,2022-01-21,2022-12-31,922.3983537408001
ABBT0136410,0.095690057,2022-01-22,2022-12-31,2835.7939772064
ABBT0136410,0.069827879,2022-01-22,2022-12-31,2069.3631597408003
ABBT0136410,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0136410,0.002586218,2022-01-22,2022-12-31,76.64308767360001
ABBT0136410,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0136410,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0136410,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0136410,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0136410,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0136410,0.069827879,2022-01-22,2022-12-31,2069.3631597408003
ABBT0136410,0.095690057,2022-01-22,2022-12-31,2835.7939772064
ABBT0136410,0.051724355,2022-01-22,2022-12-31,1532.861605296
ABBT0136410,0.031034613,2022-01-22,2022-12-31,919.7169631776001
ABBT0136410,0.095690057,2022-01-22,2022-12-31,2835.7939772064
ABBT0103713,0.095690057,2022-01-19,2022-12-31,2860.5968399808
ABBT0103713,0.002586218,2022-01-19,2022-12-31,77.3134353792
ABBT0103713,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0103713,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0103713,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0103713,0.069827879,2022-01-19,2022-12-31,2087.4625459776
ABBT0103713,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0103713,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0123053,0.0168104155,2022-01-20,2022-12-31,501.08486522399994
ABBT0123053,0.0168104155,2022-01-20,2022-12-31,501.08486522399994
ABBT0123053,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0123053,0.031034613,2022-01-20,2022-12-31,925.0797443040001
