Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0041377,0.0245690685,2022-06-01,2022-06-02,2.1227675184
ABBT0041377,0.0245690685,2022-06-01,2022-06-02,2.1227675184
ABBT0041377,0.031034613,2022-07-16,2022-07-17,2.6813905632
ABBT0041377,0.031034613,2022-07-16,2022-07-17,2.6813905632
ABBT0041377,0.073707206,2022-01-26,2022-01-27,6.368302598400001
ABBT0041377,0.073707206,2022-01-26,2022-01-27,6.368302598400001
ABBT0041377,0.051724355,2022-04-08,2022-04-09,4.468984272
ABBT0041377,0.095690057,2022-09-08,2022-09-09,8.267620924800001
ABBT0041377,0.095690057,2022-02-22,2022-02-23,8.267620924800001
ABBT0041377,0.069827879,2022-01-26,2022-01-27,6.0331287456
ABBT0041377,0.095690057,2022-12-25,2022-12-26,8.267620924800001
ABBT0041377,0.051724355,2022-09-26,2022-09-27,4.468984272
ABBT0041377,0.095690057,2022-04-17,2022-04-18,8.267620924800001
ABBT0041377,0.069827879,2022-07-25,2022-07-26,6.0331287456
ABBT0136621,0.0362070485,2022-01-26,2022-01-27,3.1282889904
ABBT0136621,0.0362070485,2022-01-26,2022-01-27,3.1282889904
ABBT0136621,0.095690057,2022-03-21,2022-03-22,8.267620924800001
ABBT0136621,0.051724355,2022-03-21,2022-03-22,4.468984272
ABBT0136621,0.051724355,2022-01-26,2022-01-27,4.468984272
ABBT0136621,0.051724355,2022-01-26,2022-01-27,4.468984272
ABBT0136621,0.051724355,2022-02-04,2022-02-05,4.468984272
ABBT0136621,0.095690057,2022-01-26,2022-01-27,8.267620924800001
ABBT0136621,0.051724355,2022-01-26,2022-01-27,4.468984272
ABBT0108702,0.069827879,2022-01-26,2022-01-27,6.0331287456
ABBT0108702,0.069827879,2022-12-07,2022-12-08,6.0331287456
ABBT0108702,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0108702,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0108702,0.051724355,2022-12-25,2022-12-26,4.468984272
ABBT0108702,0.069827879,2022-01-26,2022-01-27,6.0331287456
ABBT0108702,0.051724355,2022-01-26,2022-01-27,4.468984272
ABBT0149449,0.095690057,2022-01-27,2022-01-28,8.267620924800001
ABBT0149449,0.051724355,2022-07-17,2022-07-18,4.468984272
ABBT0149449,0.095690057,2022-01-27,2022-01-28,8.267620924800001
ABBT0149449,0.069827879,2022-01-27,2022-01-28,6.0331287456
