Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),stationary_mdl_high Deployment Cost ($),stationary_mdl_high Sites flagged for Follow-Up,stationary_mdl_high Leaks tagged for repair,stationary_mdl_high Sites Visited,stationary_mdl_high Travel Time (Minutes),stationary_mdl_high Survey Time (Minutes),OGI_FU_mdl_high Deployment Cost ($),OGI_FU_mdl_high Sites flagged for Follow-Up,OGI_FU_mdl_high Leaks tagged for repair,OGI_FU_mdl_high Sites Visited,OGI_FU_mdl_high Travel Time (Minutes),OGI_FU_mdl_high Survey Time (Minutes)
2022-01-01,48928.21894,7214.29894,41713.92000,6030.00000,360,363,0,3,0.00000,0.00000,600.00000,6030,0,,10,0,0,0.00000,,0,0,0,0
2022-01-02,48920.03895,7206.11895,41713.92000,30.00000,360,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-03,48871.33226,7243.81226,41627.52000,30.00000,362,3,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-04,48840.67047,7213.15047,41627.52000,30.00000,362,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-05,47104.44706,7204.92706,39899.52000,30.00000,359,0,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-06,47109.56289,7210.04289,39899.52000,30.00000,360,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-07,47973.56289,7210.04289,40763.52000,30.00000,361,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-08,47973.56289,7210.04289,40763.52000,30.00000,361,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-09,47751.83066,7195.67066,40556.16000,30.00000,357,0,0,2,0.00000,0.00000,400.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-10,47743.45856,7187.29856,40556.16000,1030.00000,357,2,0,1,61.00000,0.00000,200.00000,30,10,,10,0,0,1000.00000,,61,3,120,360
2022-01-11,47743.45856,7187.29856,40556.16000,1030.00000,357,0,0,0,62.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,62,3,120,360
2022-01-12,47560.56210,7194.48210,40366.08000,1030.00000,356,1,0,0,48.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,48,3,120,360
2022-01-13,48430.05610,7199.97610,41230.08000,530.00000,357,2,0,1,13.00000,0.00000,200.00000,30,0,,10,0,0,500.00000,,13,1,30,120
2022-01-14,49303.53993,7209.45993,42094.08000,30.00000,359,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-15,49303.53993,7209.45993,42094.08000,30.00000,359,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-16,50167.53993,7209.45993,42958.08000,30.00000,360,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-17,50167.53993,7209.45993,42958.08000,30.00000,360,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-18,50461.20468,7209.36468,43251.84000,30.00000,361,2,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-19,50658.02020,7216.10020,43441.92000,1030.00000,363,4,0,1,49.00000,0.00000,200.00000,30,10,,10,0,0,1000.00000,,49,3,120,360
2022-01-20,51524.32778,7218.40778,44305.92000,1030.00000,366,3,0,0,60.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,60,3,120,360
2022-01-21,52389.90496,7219.98496,45169.92000,1030.00000,368,2,0,0,58.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,58,3,120,360
2022-01-22,52403.00138,7233.08138,45169.92000,530.00000,369,2,0,1,24.00000,0.00000,200.00000,30,0,,10,0,0,500.00000,,24,1,30,120
2022-01-23,52485.50927,7315.58927,45169.92000,30.00000,371,3,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-24,52559.45990,7389.53990,45169.92000,30.00000,373,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-25,50853.88306,5580.28306,45273.60000,10630.00000,321,1,53,0,0.00000,10600.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-26,49509.87870,3372.27870,46137.60000,10630.00000,269,1,53,0,0.00000,10600.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-27,48031.94347,1116.74347,46915.20000,6430.00000,239,3,32,0,0.00000,6400.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-28,47604.69398,395.73398,47208.96000,3230.00000,227,1,11,2,27.00000,2200.00000,400.00000,30,10,,10,0,0,1000.00000,,27,3,120,360
2022-01-29,47605.00143,396.04143,47208.96000,1030.00000,228,2,0,0,25.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,25,3,120,360
2022-01-30,46741.00143,396.04143,46344.96000,1030.00000,227,0,0,0,26.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,26,3,120,360
2022-01-31,47230.93170,782.29170,46448.64000,530.00000,229,2,0,0,8.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,8,1,30,120
2022-02-01,47230.93170,782.29170,46448.64000,30.00000,229,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-02,48094.93170,782.29170,47312.64000,30.00000,230,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-03,47963.51915,754.55915,47208.96000,1830.00000,221,1,9,0,0.00000,1800.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-04,47956.70137,747.74137,47208.96000,3430.00000,206,2,17,0,0.00000,3400.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-05,47927.61633,718.65633,47208.96000,2430.00000,195,1,12,0,0.00000,2400.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-06,47911.01260,702.05260,47208.96000,2030.00000,190,0,5,0,26.00000,1000.00000,0.00000,30,10,,10,0,0,1000.00000,,26,3,120,360
2022-02-07,48204.77260,702.05260,47502.72000,1030.00000,193,3,0,0,18.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,18,3,120,360
2022-02-08,48204.77260,702.05260,47502.72000,1030.00000,193,0,0,0,26.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,26,3,120,360
2022-02-09,48101.09260,702.05260,47399.04000,530.00000,192,0,0,0,5.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,5,1,30,120
2022-02-10,48102.67457,703.63457,47399.04000,30.00000,193,2,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-11,47238.67457,703.63457,46535.04000,30.00000,192,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-12,47322.44753,683.72753,46638.72000,1630.00000,187,3,8,0,0.00000,1600.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-13,47197.26508,644.94508,46552.32000,1430.00000,179,0,7,0,0.00000,1400.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
