Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),OGI_mdl_high Deployment Cost ($),OGI_mdl_high Sites flagged for Follow-Up,OGI_mdl_high Leaks tagged for repair,OGI_mdl_high Sites Visited,OGI_mdl_high Travel Time (Minutes),OGI_mdl_high Survey Time (Minutes)
2022-01-01,949.39847,685.54219,263.85628,2876.00000,345,347,0,2,17,0.00000,400.00000,2876.00000,,17,3,180,300
2022-01-02,946.71708,682.86080,263.85628,2876.00000,344,0,0,1,16,0.00000,200.00000,2876.00000,,16,3,180,360
2022-01-03,958.52264,692.69256,265.83008,2876.00000,347,3,0,0,23,0.00000,0.00000,2876.00000,,23,3,180,300
2022-01-04,964.55577,698.72569,265.83008,2876.00000,348,1,0,0,20,0.00000,0.00000,2876.00000,,20,3,180,360
2022-01-05,962.99163,697.16155,265.83008,0.00000,347,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-06,971.03580,705.20572,265.83008,0.00000,348,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-07,967.90751,702.52433,265.38318,0.00000,346,1,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-01-08,970.58890,705.20572,265.38318,0.00000,347,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-09,968.83855,705.42917,263.40938,0.00000,347,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-10,966.41785,705.42917,260.98868,0.00000,345,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-11,958.37368,705.65262,252.72106,0.00000,345,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-12,964.18336,711.46230,252.72106,0.00000,345,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-13,966.86475,714.14369,252.72106,0.00000,346,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
