Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0114911,0.0258621775,2022-01-17,2022-12-31,777.6032633280001
ABBT0114911,0.0258621775,2022-01-17,2022-12-31,777.6032633280001
ABBT0114911,0.095690057,2022-01-17,2022-12-31,2877.1320818304002
ABBT0114911,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0160520,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0160520,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0160520,0.095690057,2022-01-17,2022-12-31,2877.1320818304002
ABBT0160520,0.095690057,2022-01-17,2022-12-31,2877.1320818304002
ABBT0160520,0.051724355,2022-01-17,2022-12-31,1555.2065266560003
ABBT0160520,0.022413886999999997,2022-01-17,2022-12-31,673.9228232063999
ABBT0160520,0.022413886999999997,2022-01-17,2022-12-31,673.9228232063999
ABBT0160520,0.022413886999999997,2022-01-17,2022-12-31,673.9228232063999
ABBT8480001,0.050431246,2022-01-18,2022-12-31,1511.9691000768
ABBT8480001,0.050431246,2022-01-18,2022-12-31,1511.9691000768
ABBT8480001,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT8480001,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT8480001,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT8480001,0.095690057,2022-01-18,2022-12-31,2868.8644609056005
ABBT8480001,0.095690057,2022-01-18,2022-12-31,2868.8644609056005
ABBT8480001,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT8480001,0.095690057,2022-01-18,2022-12-31,2868.8644609056005
ABBT8480001,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT8480001,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT0153854,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT0153854,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT0153854,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT0153854,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT0155000,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT0155000,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT0088850,0.043965701499999996,2022-01-19,2022-12-31,1314.3282669215998
ABBT0088850,0.043965701499999996,2022-01-19,2022-12-31,1314.3282669215998
ABBT0155561,0.095690057,2022-01-19,2022-12-31,2860.5968399808
ABBT0155561,0.051724355,2022-01-19,2022-12-31,1546.268558112
ABBT0155561,0.095690057,2022-01-19,2022-12-31,2860.5968399808
ABBT0155561,0.051724355,2022-01-19,2022-12-31,1546.268558112
ABBT0041497,0.095690057,2022-01-20,2022-12-31,2852.329219056
ABBT0041497,0.069827879,2022-01-20,2022-12-31,2081.429417232
ABBT0041497,0.051724355,2022-01-20,2022-12-31,1541.7995738400002
ABBT0041497,0.051724355,2022-01-20,2022-12-31,1541.7995738400002
ABBT0160261,0.051724355,2022-01-20,2022-12-31,1541.7995738400002
ABBT0160261,0.051724355,2022-01-20,2022-12-31,1541.7995738400002
ABBT0160261,0.051724355,2022-01-20,2022-12-31,1541.7995738400002
ABBT0160261,0.095690057,2022-01-20,2022-12-31,2852.329219056
ABBT0160261,0.069827879,2022-01-20,2022-12-31,2081.429417232
ABBT0160261,0.069827879,2022-01-20,2022-12-31,2081.429417232
ABBT0160261,0.095690057,2022-01-20,2022-12-31,2852.329219056
ABBT0098754,0.069827879,2022-01-20,2022-12-31,2081.429417232
ABBT0098754,0.02672425,2022-01-20,2022-12-31,796.5964440000001
ABBT0098754,0.02672425,2022-01-20,2022-12-31,796.5964440000001
ABBT0098754,0.02672425,2022-01-20,2022-12-31,796.5964440000001
ABBT0098754,0.069827879,2022-01-20,2022-12-31,2081.429417232
ABBT0098754,0.095690057,2022-01-20,2022-12-31,2852.329219056
