Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),OGI_mdl_high Deployment Cost ($),OGI_mdl_high Sites flagged for Follow-Up,OGI_mdl_high Leaks tagged for repair,OGI_mdl_high Sites Visited,OGI_mdl_high Travel Time (Minutes),OGI_mdl_high Survey Time (Minutes)
2022-01-01,944.25913,600.18459,344.07454,2876.00000,355,357,0,2,23,0.00000,400.00000,2876.00000,,23,3,180,300
2022-01-02,944.25913,600.18459,344.07454,2876.00000,355,0,0,0,25,0.00000,0.00000,2876.00000,,25,3,180,360
2022-01-03,944.48258,600.40804,344.07454,2876.00000,356,1,0,0,19,0.00000,0.00000,2876.00000,,19,3,180,300
2022-01-04,947.16397,603.08943,344.07454,2876.00000,357,1,0,0,31,0.00000,0.00000,2876.00000,,31,3,180,360
2022-01-05,955.87849,611.80395,344.07454,0.00000,360,3,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-06,946.75432,604.65357,342.10074,0.00000,357,0,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-01-07,946.30742,604.65357,341.65384,0.00000,356,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-08,947.42466,606.21772,341.20695,0.00000,356,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-09,946.97776,605.77082,341.20695,0.00000,355,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-10,942.50878,601.30183,341.20695,0.00000,354,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-11,942.50878,601.30183,341.20695,0.00000,354,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-12,944.48258,601.30183,343.18075,0.00000,355,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-13,941.80119,598.62044,343.18075,0.00000,354,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-14,930.85218,595.93905,334.91313,0.00000,352,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-15,930.85218,595.93905,334.91313,0.00000,352,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-16,850.41046,515.49734,334.91313,4200.00000,331,0,21,0,0,4200.00000,0.00000,0.00000,,0,0,0,0
2022-01-17,786.76468,453.82535,332.93933,3800.00000,311,1,19,1,0,3800.00000,200.00000,0.00000,,0,0,0,0
2022-01-18,739.39345,406.45412,332.93933,2800.00000,298,2,14,1,0,2800.00000,200.00000,0.00000,,0,0,0,0
2022-01-19,661.59588,326.68275,334.91313,5000.00000,275,2,25,0,0,5000.00000,0.00000,0.00000,,0,0,0,0
