Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($)
2022-01-01,40653.93763,7217.13763,33436.80000,0.00000,344,346,0,0,0,0,0.00000
2022-01-02,40670.63804,7233.83804,33436.80000,0.00000,346,2,0,0,0,0,0.00000
2022-01-03,40584.00272,7233.60272,33350.40000,0.00000,344,0,0,1,0,0,200.00000
2022-01-04,40607.36944,7256.96944,33350.40000,0.00000,344,1,0,1,0,0,200.00000
2022-01-05,40730.21589,7276.13589,33454.08000,0.00000,346,3,0,1,0,0,200.00000
2022-01-06,40722.09542,7268.01542,33454.08000,0.00000,346,1,0,1,0,0,200.00000
2022-01-07,40722.09542,7268.01542,33454.08000,0.00000,346,0,0,0,0,0,0.00000
2022-01-08,39774.87415,7271.19415,32503.68000,0.00000,345,1,0,0,0,0,0.00000
2022-01-09,39742.09927,7238.41927,32503.68000,0.00000,344,1,0,2,0,0,400.00000
2022-01-10,39655.69927,7238.41927,32417.28000,0.00000,343,0,0,0,0,0,0.00000
2022-01-11,39654.98993,7237.70993,32417.28000,0.00000,342,0,0,1,0,0,200.00000
2022-01-12,38836.11852,7196.43852,31639.68000,0.00000,341,1,0,1,0,0,200.00000
2022-01-13,38815.04273,7175.36273,31639.68000,0.00000,341,1,0,1,0,0,200.00000
2022-01-14,38705.28214,7065.60214,31639.68000,0.00000,340,0,0,1,0,0,200.00000
2022-01-15,38705.28214,7065.60214,31639.68000,0.00000,340,0,0,0,0,0,0.00000
2022-01-16,38753.50443,7113.82443,31639.68000,0.00000,341,1,0,0,0,0,0.00000
2022-01-17,37825.59340,7049.91340,30775.68000,0.00000,340,2,0,2,0,0,400.00000
2022-01-18,37879.90558,7104.22558,30775.68000,0.00000,341,1,0,0,0,0,0.00000
2022-01-19,37879.90558,7104.22558,30775.68000,0.00000,341,0,0,0,0,0,0.00000
2022-01-20,37879.90558,7104.22558,30775.68000,0.00000,341,0,0,0,0,0,0.00000
2022-01-21,37694.74577,6919.06577,30775.68000,0.00000,339,1,0,3,0,0,600.00000
2022-01-22,37694.43376,6918.75376,30775.68000,0.00000,338,0,0,1,0,0,200.00000
2022-01-23,37589.07285,6899.79285,30689.28000,0.00000,336,0,0,1,0,0,200.00000
2022-01-24,37416.27285,6899.79285,30516.48000,0.00000,334,0,0,0,0,0,0.00000
2022-01-25,37404.13002,6887.65002,30516.48000,0.00000,333,0,0,1,0,0,200.00000
2022-01-26,37404.13002,6887.65002,30516.48000,0.00000,333,0,0,0,0,0,0.00000
2022-01-27,37251.76462,6735.28462,30516.48000,0.00000,332,1,0,2,0,0,400.00000
2022-01-28,37289.60558,6773.12558,30516.48000,0.00000,336,4,0,0,0,0,0.00000
2022-01-29,37296.47931,6779.99931,30516.48000,0.00000,337,1,0,0,0,0,0.00000
2022-01-30,37188.54802,6672.06802,30516.48000,0.00000,337,1,0,1,0,0,200.00000
2022-01-31,37296.50430,6780.02430,30516.48000,0.00000,338,1,0,0,0,0,0.00000
2022-02-01,37365.18177,6745.02177,30620.16000,0.00000,337,2,0,3,0,0,600.00000
2022-02-02,37365.97060,6745.81060,30620.16000,0.00000,338,1,0,0,0,0,0.00000
