Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($)
P_aircraft,0,1657993.614972679,39550.0,0.8519333170190018,270147.5544518665
P_aircraft,1,2178905.18825536,34750.0,0.5695848700810837,355023.0246208571
P_aircraft,2,1528595.2525103432,34350.0,0.8025575849925082,249063.84770318144
P_aircraft,3,1964009.965407204,35950.0,0.6537281348072848,320008.7649810365
P_aircraft,4,3118715.7405828666,34350.0,0.3933624659413289,508152.3974161302
P_drone,0,1655350.6205238197,38900.0,0.8392697577544558,269716.91438163863
P_drone,1,2067332.321671825,34800.0,0.60118885088202,336843.74046768923
P_drone,2,1524981.8198395467,34100.0,0.7986043682706208,248475.08789712616
P_drone,3,1966732.63896359,37900.0,0.688233571638248,320452.3876802955
P_drone,4,3129690.578666333,37100.0,0.4233645361084313,509940.5983126713
P_OGI,0,1628934.3718875365,44104.0,0.9669774819212955,265412.74523259036
P_OGI,1,2075670.32406152,42904.0,0.7382124687736779,338202.304779547
P_OGI,2,1374287.5911208848,40104.0,1.0422023188883818,223921.50880567258
P_OGI,3,1970571.3962482463,42704.0,0.7739597053152011,321077.8610736905
P_OGI,4,3129875.451727554,40104.0,0.4576174791540524,509970.72086858586
P_stationary,0,3756059.250987959,262550.0,2.4964424381269628,611998.8713270328
P_stationary,1,3686264.073375404,252550.0,2.4468249364684924,600626.6945138692
P_stationary,2,3739413.656417403,258350.0,2.4674418403674454,609286.6976340677
P_stationary,3,3633866.362674162,257150.0,2.5273159920691524,592089.1987859076
P_stationary,4,4943432.4334644,250750.0,1.8115666115377957,805465.2143642018
P_truck,0,1649355.922196878,38900.0,0.8423201418134418,268740.1596595001
P_truck,1,2190660.8164415294,37700.0,0.6146221091477257,356938.44466642314
P_truck,2,1529175.1488853334,37100.0,0.8664802072972716,249158.33394614668
P_truck,3,2009304.448049783,35700.0,0.6345479408247496,327388.88611392566
P_truck,4,3132626.144498966,38300.0,0.43664870296098435,510418.908918609
