Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),OGI_mdl_high Deployment Cost ($),OGI_mdl_high Sites flagged for Follow-Up,OGI_mdl_high Leaks tagged for repair,OGI_mdl_high Sites Visited,OGI_mdl_high Travel Time (Minutes),OGI_mdl_high Survey Time (Minutes)
2022-01-01,1024.03050,705.42917,318.60133,2876.00000,384,387,0,2,14,0.00000,400.00000,2876.00000,,14,3,180,300
2022-01-02,1023.36015,705.42917,317.93099,2876.00000,383,0,0,0,21,0.00000,0.00000,2876.00000,,21,3,180,360
2022-01-03,1029.43052,705.20572,324.22481,2876.00000,382,1,0,1,23,0.00000,200.00000,2876.00000,,23,3,180,300
2022-01-04,1026.97258,702.74778,324.22481,2876.00000,382,1,0,1,14,0.00000,200.00000,2876.00000,,14,3,180,360
2022-01-05,1027.19603,702.97123,324.22481,0.00000,383,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-06,1027.00983,704.08847,322.92135,0.00000,383,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-07,1036.87883,706.76986,330.10897,0.00000,385,3,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-08,1041.79471,711.68575,330.10897,0.00000,386,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-09,1041.79471,711.68575,330.10897,0.00000,386,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-10,1044.47611,714.36714,330.10897,0.00000,387,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-11,1041.79471,711.68575,330.10897,0.00000,386,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-12,1041.79471,711.68575,330.10897,0.00000,386,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-13,1041.34782,711.23885,330.10897,0.00000,385,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-14,1033.08020,711.23885,321.84135,0.00000,384,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-15,1032.85675,711.23885,321.61790,0.00000,383,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-16,960.90610,638.84130,322.06480,3200.00000,368,1,16,0,0,3200.00000,0.00000,0.00000,,0,0,0,0
2022-01-17,867.28088,545.21608,322.06480,3400.00000,351,0,17,0,0,3400.00000,0.00000,0.00000,,0,0,0,0
2022-01-18,747.95900,434.16182,313.79718,3800.00000,331,0,19,0,0,3800.00000,0.00000,0.00000,,0,0,0,0
2022-01-19,708.18504,394.38786,313.79718,1200.00000,325,0,6,0,0,1200.00000,0.00000,0.00000,,0,0,0,0
2022-01-20,707.51469,394.38786,313.12683,0.00000,324,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-21,702.15191,389.02508,313.12683,0.00000,322,0,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-01-22,700.58777,387.23749,313.35028,0.00000,321,1,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-01-23,695.70912,384.33265,311.37648,0.00000,318,0,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-01-24,700.81121,387.46094,313.35028,0.00000,321,3,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-25,700.81121,387.46094,313.35028,0.00000,321,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-26,706.39745,393.04717,313.35028,0.00000,321,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-27,709.07884,395.72856,313.35028,0.00000,322,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-28,709.07884,395.72856,313.35028,0.00000,322,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-29,720.47475,407.12447,313.35028,0.00000,324,3,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-30,722.44855,406.90102,315.54753,0.00000,324,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-31,724.01269,408.46516,315.54753,0.00000,325,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-01,732.98790,419.41417,313.57373,0.00000,326,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-02,733.43480,419.41417,314.02063,0.00000,327,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-03,738.79758,424.77696,314.02063,0.00000,329,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-04,738.79758,424.77696,314.02063,0.00000,329,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-05,738.79758,424.77696,314.02063,0.00000,329,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-06,726.32167,423.21281,303.10886,0.00000,326,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-02-07,740.17552,428.79904,311.37648,0.00000,327,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-02-08,746.43210,434.60872,311.82338,0.00000,328,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-02-09,744.86795,433.71492,311.15303,0.00000,326,1,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-02-10,736.60033,433.71492,302.88541,0.00000,325,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-11,739.28172,436.39631,302.88541,0.00000,326,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-12,739.28172,436.39631,302.88541,0.00000,326,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-13,739.28172,436.39631,302.88541,0.00000,326,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-14,738.61137,436.39631,302.21506,0.00000,324,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-15,735.92998,433.71492,302.21506,0.00000,323,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-02-16,734.40308,434.83217,299.57091,0.00000,321,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-02-17,739.09551,439.52460,299.57091,0.00000,323,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-18,736.41412,436.84321,299.57091,0.00000,322,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-02-19,727.25271,428.35214,298.90056,0.00000,320,1,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-02-20,727.25271,428.35214,298.90056,0.00000,320,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-02-21,727.47615,428.35214,299.12401,0.00000,321,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-22,727.69960,428.57559,299.12401,0.00000,322,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-23,731.94514,432.82113,299.12401,0.00000,324,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-24,734.62653,435.50252,299.12401,0.00000,325,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-25,723.93821,435.72597,288.21224,0.00000,324,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-26,735.33412,447.12188,288.21224,0.00000,327,3,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-27,746.46934,447.56877,298.90056,0.00000,331,4,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-28,748.92728,450.25017,298.67711,0.00000,331,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-03-01,749.59763,441.98254,307.61508,0.00000,331,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-03-02,749.59763,441.98254,307.61508,0.00000,331,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-03-03,752.72592,444.66394,308.06198,0.00000,333,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-03-04,758.75904,450.69706,308.06198,0.00000,334,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-03-05,756.30110,448.23912,308.06198,0.00000,334,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-03-06,762.78113,454.94260,307.83853,0.00000,333,2,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-03-07,761.62664,452.26121,309.36543,0.00000,332,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-03-08,763.41424,454.04880,309.36543,0.00000,332,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-03-09,771.90531,462.53987,309.36543,0.00000,334,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-03-10,770.15495,462.76332,307.39163,0.00000,334,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-03-11,773.50669,466.56196,306.94473,0.00000,333,2,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-03-12,773.50669,466.56196,306.94473,0.00000,333,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-03-13,775.48049,466.56196,308.91854,0.00000,334,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-03-14,775.92739,467.00886,308.91854,0.00000,335,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-03-15,773.95359,467.00886,306.94473,0.00000,334,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-03-16,773.95359,467.00886,306.94473,0.00000,334,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-03-17,773.95359,467.00886,306.94473,0.00000,334,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-03-18,773.95359,467.00886,306.94473,0.00000,334,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-03-19,775.29429,468.34955,306.94473,0.00000,334,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-03-20,775.51774,468.57300,306.94473,0.00000,335,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-03-21,779.98672,473.04199,306.94473,0.00000,335,2,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-03-22,777.75223,470.80749,306.94473,0.00000,336,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-03-23,782.22121,475.27648,306.94473,0.00000,337,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-03-24,786.69020,479.74546,306.94473,0.00000,338,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-03-25,786.69020,479.74546,306.94473,0.00000,338,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-03-26,801.69853,496.72760,304.97093,0.00000,340,3,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-03-27,804.37993,499.40899,304.97093,0.00000,341,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-03-28,795.21851,499.18554,296.03296,0.00000,339,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-03-29,795.21851,499.18554,296.03296,0.00000,339,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-03-30,792.53712,496.50415,296.03296,0.00000,338,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-03-31,792.76057,496.72760,296.03296,0.00000,339,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-04-01,802.77854,504.77177,298.00677,0.00000,340,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-04-02,801.88474,504.54832,297.33642,0.00000,339,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-04-03,801.66129,504.32488,297.33642,0.00000,338,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-04-04,801.66129,504.32488,297.33642,0.00000,338,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-04-05,801.66129,504.32488,297.33642,0.00000,338,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-04-06,798.30956,501.64348,296.66607,0.00000,336,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-04-07,794.02678,504.32488,289.70190,0.00000,337,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-04-08,789.59504,501.86693,287.72810,0.00000,336,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-04-09,794.25023,504.54832,289.70190,0.00000,338,3,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-04-10,800.05991,510.58145,289.47845,0.00000,338,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-04-11,808.77443,519.29597,289.47845,0.00000,340,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-04-12,811.67927,513.26284,298.41642,0.00000,340,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-04-13,814.36066,515.94423,298.41642,0.00000,341,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-04-14,814.36066,515.94423,298.41642,0.00000,341,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-04-15,814.80756,515.94423,298.86332,0.00000,342,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-04-16,814.80756,515.94423,298.86332,0.00000,342,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-04-17,823.29863,524.65875,298.63987,0.00000,343,3,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-04-18,831.56625,532.92637,298.63987,0.00000,344,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-04-19,835.14143,527.56359,307.57784,0.00000,343,1,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-04-20,837.82282,530.24498,307.57784,0.00000,344,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-04-21,836.25868,528.68084,307.57784,0.00000,343,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-04-22,835.14143,527.56359,307.57784,0.00000,343,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-04-23,842.73871,526.89325,315.84546,0.00000,341,1,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-04-24,842.73871,526.89325,315.84546,0.00000,341,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-04-25,851.00633,535.16087,315.84546,0.00000,342,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-04-26,861.06154,536.94846,324.11308,0.00000,343,3,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
