Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0060675,0.095690057,2022-01-17,2022-12-31,2877.1320818304002
ABBT0060675,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0060675,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0060675,0.095690057,2022-01-17,2022-12-31,2877.1320818304002
ABBT0060675,0.051724355,2022-01-17,2022-12-31,1555.2065266560003
ABBT0145239,0.095690057,2022-01-17,2022-12-31,2877.1320818304002
ABBT0145239,0.022629405249999998,2022-01-17,2022-12-31,680.4028535328
ABBT0145239,0.022629405249999998,2022-01-17,2022-12-31,680.4028535328
ABBT0145239,0.022629405249999998,2022-01-17,2022-12-31,680.4028535328
ABBT0145239,0.022629405249999998,2022-01-17,2022-12-31,680.4028535328
ABBT0145239,0.051724355,2022-01-17,2022-12-31,1555.2065266560003
ABBT0145239,0.06336233499999999,2022-01-17,2022-12-31,1905.1279989119998
ABBT0145239,0.06336233499999999,2022-01-17,2022-12-31,1905.1279989119998
ABBT0145239,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0145239,0.051724355,2022-01-17,2022-12-31,1555.2065266560003
ABBT0143433,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT0143433,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT0143433,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT0143433,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT0143433,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT0097868,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT0097868,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT0097868,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT0097868,0.095690057,2022-01-18,2022-12-31,2868.8644609056005
ABBT0097868,0.095690057,2022-01-18,2022-12-31,2868.8644609056005
ABBT0097868,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT9730011,0.095690057,2022-01-18,2022-12-31,2868.8644609056005
ABBT9730011,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT9730011,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT9730011,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT9730011,0.06336233499999999,2022-01-18,2022-12-31,1899.6534931679998
ABBT9730011,0.06336233499999999,2022-01-18,2022-12-31,1899.6534931679998
ABBT0076668,0.095690057,2022-01-19,2022-12-31,2860.5968399808
ABBT0076668,0.069827879,2022-01-19,2022-12-31,2087.4625459776
ABBT0076668,0.095690057,2022-01-19,2022-12-31,2860.5968399808
ABBT0076668,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0076668,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0076668,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0076668,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0076668,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0076668,0.051724355,2022-01-19,2022-12-31,1546.268558112
ABBT0121716,0.069827879,2022-01-19,2022-12-31,2087.4625459776
ABBT0121716,0.06336233499999999,2022-01-19,2022-12-31,1894.1789874239998
ABBT0121716,0.06336233499999999,2022-01-19,2022-12-31,1894.1789874239998
ABBT0121716,0.051724355,2022-01-19,2022-12-31,1546.268558112
ABBT0121716,0.095690057,2022-01-19,2022-12-31,2860.5968399808
ABBT0121716,0.069827879,2022-01-19,2022-12-31,2087.4625459776
ABBT0121716,0.051724355,2022-01-19,2022-12-31,1546.268558112
ABBT0117688,0.069827879,2022-01-20,2022-12-31,2081.429417232
ABBT0117688,0.050431246,2022-01-20,2022-12-31,1503.2545807679999
ABBT0117688,0.050431246,2022-01-20,2022-12-31,1503.2545807679999
ABBT0117688,0.028448395333333334,2022-01-20,2022-12-31,847.989768096
ABBT0117688,0.028448395333333334,2022-01-20,2022-12-31,847.989768096
ABBT0117688,0.028448395333333334,2022-01-20,2022-12-31,847.989768096
ABBT0117688,0.04051741133333333,2022-01-20,2022-12-31,1207.742997024
ABBT0117688,0.04051741133333333,2022-01-20,2022-12-31,1207.742997024
ABBT0117688,0.04051741133333333,2022-01-20,2022-12-31,1207.742997024
ABBT0117688,0.069827879,2022-01-20,2022-12-31,2081.429417232
ABBT0117688,0.095690057,2022-01-20,2022-12-31,2852.329219056
ABBT0117688,0.051724355,2022-01-20,2022-12-31,1541.7995738400002
ABBT0117688,0.095690057,2022-01-20,2022-12-31,2852.329219056
ABBT0117688,0.069827879,2022-01-20,2022-12-31,2081.429417232
ABBT0127223,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0127223,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0127223,0.041379484,2022-01-20,2022-12-31,1233.439659072
ABBT0127223,0.041379484,2022-01-20,2022-12-31,1233.439659072
ABBT0127223,0.069827879,2022-01-20,2022-12-31,2081.429417232
ABBT0127223,0.069827879,2022-01-20,2022-12-31,2081.429417232
ABBT0127223,0.095690057,2022-01-20,2022-12-31,2852.329219056
