Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($)
2022-01-01,1022.24291,736.93551,285.30740,0.00000,367,367,0,0,0,0,0.00000
2022-01-02,1022.01946,736.71206,285.30740,0.00000,366,0,0,1,0,0,200.00000
2022-01-03,1022.01946,736.71206,285.30740,0.00000,366,0,0,0,0,0,0.00000
2022-01-04,1021.57256,736.71206,284.86050,0.00000,365,0,0,0,0,0,0.00000
2022-01-05,1019.59876,736.71206,282.88670,0.00000,364,0,0,0,0,0,0.00000
2022-01-06,1015.35322,732.46652,282.88670,0.00000,362,0,0,2,0,0,400.00000
2022-01-07,1013.11873,730.23203,282.88670,0.00000,362,1,0,1,0,0,200.00000
2022-01-08,1020.04566,737.15896,282.88670,0.00000,363,2,0,1,0,0,200.00000
2022-01-09,1017.14082,743.19208,273.94873,0.00000,363,1,0,0,0,0,0.00000
2022-01-10,1017.14082,743.19208,273.94873,0.00000,363,0,0,0,0,0,0.00000
2022-01-11,1015.16702,743.19208,271.97493,0.00000,362,0,0,0,0,0,0.00000
2022-01-12,1014.94357,743.19208,271.75148,0.00000,361,0,0,0,0,0,0.00000
2022-01-13,1014.72012,742.96864,271.75148,0.00000,360,0,0,1,0,0,200.00000
2022-01-14,1001.08972,729.33823,271.75148,0.00000,357,0,0,3,0,0,600.00000
2022-01-15,1001.08972,729.33823,271.75148,0.00000,357,1,0,1,0,0,200.00000
2022-01-16,1001.08972,729.56168,271.52803,0.00000,357,2,0,1,0,0,200.00000
2022-01-17,1001.53661,729.56168,271.97493,0.00000,358,1,0,0,0,0,0.00000
2022-01-18,1004.21800,732.24307,271.97493,0.00000,359,1,0,0,0,0,0.00000
2022-01-19,1019.22634,740.95759,278.26875,0.00000,361,3,0,0,0,0,0.00000
2022-01-20,1025.03602,746.76727,278.26875,0.00000,363,3,0,1,0,0,200.00000
2022-01-21,1024.14223,746.54382,277.59840,0.00000,362,1,0,1,0,0,200.00000
2022-01-22,1021.68429,743.86243,277.82185,0.00000,362,1,0,1,0,0,200.00000
2022-01-23,1029.95191,752.13005,277.82185,0.00000,363,1,0,0,0,0,0.00000
2022-01-24,1035.76159,757.71628,278.04530,0.00000,364,2,0,1,0,0,200.00000
2022-01-25,1030.39880,752.35350,278.04530,0.00000,362,1,0,3,0,0,600.00000
2022-01-26,1033.11744,765.98390,267.13353,0.00000,363,3,0,0,0,0,0.00000
2022-01-27,1024.84982,757.26939,267.58043,0.00000,362,1,0,2,0,0,400.00000
2022-01-28,1024.84982,757.71628,267.13353,0.00000,363,2,0,0,0,0,0.00000
2022-01-29,1022.83877,755.70524,267.13353,0.00000,364,2,0,1,0,0,200.00000
2022-01-30,1031.77674,755.92869,275.84805,0.00000,367,3,0,0,0,0,0.00000
2022-01-31,1021.05118,745.20313,275.84805,0.00000,366,1,0,2,0,0,400.00000
2022-02-01,1023.09946,748.10797,274.99150,0.00000,369,4,0,0,0,0,0.00000
2022-02-02,1022.87601,747.88452,274.99150,0.00000,368,0,0,1,0,0,200.00000
2022-02-03,1022.87601,747.88452,274.99150,0.00000,368,0,0,0,0,0,0.00000
2022-02-04,1014.60839,747.88452,266.72388,0.00000,367,0,0,0,0,0,0.00000
2022-02-05,1006.56422,748.33142,258.23281,0.00000,368,2,0,0,0,0,0.00000
2022-02-06,1018.40703,751.23626,267.17077,0.00000,371,3,0,0,0,0,0.00000
2022-02-07,1020.23187,755.70524,264.52662,0.00000,370,1,0,0,0,0,0.00000
2022-02-08,1020.00842,755.48179,264.52662,0.00000,369,0,0,1,0,0,200.00000
2022-02-09,1017.32703,752.80040,264.52662,0.00000,368,0,0,1,0,0,200.00000
2022-02-10,1019.56152,755.03489,264.52662,0.00000,368,1,0,1,0,0,200.00000
2022-02-11,1020.00842,755.48179,264.52662,0.00000,369,2,0,1,0,0,200.00000
2022-02-12,1025.63189,762.85562,262.77627,0.00000,372,4,0,0,0,0,0.00000
2022-02-13,1030.32432,767.99495,262.32937,0.00000,370,1,0,2,0,0,400.00000
2022-02-14,1035.68710,773.35773,262.32937,0.00000,372,2,0,0,0,0,0.00000
2022-02-15,1033.71330,773.35773,260.35557,0.00000,371,0,0,0,0,0,0.00000
2022-02-16,1036.39469,776.03912,260.35557,0.00000,372,1,0,0,0,0,0.00000
2022-02-17,1046.22646,785.87088,260.35557,0.00000,375,3,0,0,0,0,0.00000
2022-02-18,1047.97681,785.87088,262.10593,0.00000,375,1,0,0,0,0,0.00000
2022-02-19,1045.77956,785.64744,260.13212,0.00000,373,0,0,1,0,0,200.00000
2022-02-20,1045.77956,785.64744,260.13212,0.00000,373,0,0,0,0,0,0.00000
2022-02-21,1053.78649,791.68056,262.10593,0.00000,376,3,0,0,0,0,0.00000
2022-02-22,1055.76029,791.68056,264.07973,0.00000,377,1,0,0,0,0,0.00000
2022-02-23,1053.52580,789.44607,264.07973,0.00000,377,1,0,1,0,0,200.00000
2022-02-24,1048.90785,789.44607,259.46178,0.00000,374,0,0,0,0,0,0.00000
2022-02-25,1053.56304,792.12746,261.43558,0.00000,376,2,0,0,0,0,0.00000
2022-02-26,1058.47892,797.04335,261.43558,0.00000,378,2,0,0,0,0,0.00000
2022-02-27,1061.16031,799.72474,261.43558,0.00000,379,2,0,1,0,0,200.00000
2022-02-28,1063.80446,799.94818,263.85628,0.00000,382,3,0,0,0,0,0.00000
2022-03-01,1057.77133,793.91506,263.85628,0.00000,381,0,0,1,0,0,200.00000
2022-03-02,1054.19615,790.33987,263.85628,0.00000,381,2,0,2,0,0,400.00000
2022-03-03,1055.31339,791.45711,263.85628,0.00000,381,1,0,1,0,0,200.00000
2022-03-04,1055.31339,791.90401,263.40938,0.00000,381,1,0,0,0,0,0.00000
2022-03-05,1060.45272,797.04335,263.40938,0.00000,382,2,0,1,0,0,200.00000
2022-03-06,1054.86649,791.01022,263.85628,0.00000,382,1,0,1,0,0,200.00000
2022-03-07,1052.18510,788.32883,263.85628,0.00000,381,0,0,1,0,0,200.00000
2022-03-08,1052.18510,788.32883,263.85628,0.00000,381,0,0,0,0,0,0.00000
2022-03-09,1051.96165,788.10538,263.85628,0.00000,381,1,0,1,0,0,200.00000
2022-03-10,1056.20719,792.57436,263.63283,0.00000,381,1,0,0,0,0,0.00000
2022-03-11,1044.81128,789.89297,254.91831,0.00000,378,0,0,1,0,0,200.00000
2022-03-12,1033.86227,778.94396,254.91831,0.00000,376,0,0,2,0,0,400.00000
2022-03-13,1042.80024,778.94396,263.85628,0.00000,377,1,0,0,0,0,0.00000
2022-03-14,1046.15197,782.29570,263.85628,0.00000,377,1,0,1,0,0,200.00000
2022-03-15,1046.15197,782.29570,263.85628,0.00000,377,0,0,0,0,0,0.00000
2022-03-16,1044.36438,780.50810,263.85628,0.00000,377,1,0,1,0,0,200.00000
2022-03-17,1045.25818,781.40190,263.85628,0.00000,379,2,0,0,0,0,0.00000
2022-03-18,1045.25818,781.40190,263.85628,0.00000,379,0,0,0,0,0,0.00000
2022-03-19,1049.05681,784.75364,264.30318,0.00000,380,2,0,1,0,0,200.00000
2022-03-20,1049.05681,784.75364,264.30318,0.00000,380,0,0,0,0,0,0.00000
2022-03-21,1046.15197,781.84880,264.30318,0.00000,380,1,0,1,0,0,200.00000
2022-03-22,1039.89540,784.53019,255.36521,0.00000,380,1,0,0,0,0,0.00000
2022-03-23,1039.89540,784.53019,255.36521,0.00000,380,0,0,0,0,0,0.00000
2022-03-24,1047.04577,791.68056,255.36521,0.00000,382,2,0,0,0,0,0.00000
2022-03-25,1052.63200,797.93714,254.69486,0.00000,381,2,0,2,0,0,400.00000
2022-03-26,1055.31339,800.61853,254.69486,0.00000,382,1,0,0,0,0,0.00000
2022-03-27,1062.64997,806.42821,256.22176,0.00000,382,3,0,2,0,0,400.00000
2022-03-28,1062.42653,806.20476,256.22176,0.00000,381,0,0,1,0,0,200.00000
2022-03-29,1063.99067,807.76891,256.22176,0.00000,382,1,0,0,0,0,0.00000
2022-03-30,1057.95754,801.73578,256.22176,0.00000,381,0,0,1,0,0,200.00000
2022-03-31,1065.33136,799.50129,265.83008,0.00000,383,3,0,1,0,0,200.00000
2022-04-01,1064.21412,797.93714,266.27698,0.00000,383,1,0,1,0,0,200.00000
2022-04-02,1059.96858,793.69161,266.27698,0.00000,383,1,0,1,0,0,200.00000
2022-04-03,1059.96858,793.69161,266.27698,0.00000,383,0,0,0,0,0,0.00000
2022-04-04,1059.96858,793.69161,266.27698,0.00000,383,1,0,1,0,0,200.00000
2022-04-05,1059.96858,793.69161,266.27698,0.00000,383,0,0,0,0,0,0.00000
2022-04-06,1059.96858,793.69161,266.27698,0.00000,383,0,0,0,0,0,0.00000
2022-04-07,1057.28719,791.01022,266.27698,0.00000,382,0,0,1,0,0,200.00000
2022-04-08,1049.01957,782.74260,266.27698,0.00000,381,0,0,1,0,0,200.00000
2022-04-09,1049.68992,782.74260,266.94732,0.00000,382,1,0,0,0,0,0.00000
2022-04-10,1055.72305,788.32883,267.39422,0.00000,386,4,0,0,0,0,0.00000
2022-04-11,1050.36027,782.96604,267.39422,0.00000,384,0,0,2,0,0,400.00000
2022-04-12,1050.36027,782.96604,267.39422,0.00000,384,0,0,0,0,0,0.00000
2022-04-13,1049.68992,782.29570,267.39422,0.00000,382,1,0,3,0,0,600.00000
2022-04-14,1049.68992,782.29570,267.39422,0.00000,382,0,0,0,0,0,0.00000
2022-04-15,1066.22516,798.83094,267.39422,0.00000,384,3,0,1,0,0,200.00000
2022-04-16,1061.08583,793.02126,268.06457,0.00000,385,2,0,1,0,0,200.00000
2022-04-17,1058.32996,785.87088,272.45907,0.00000,387,4,0,2,0,0,400.00000
2022-04-18,1058.77685,786.31778,272.45907,0.00000,388,1,0,0,0,0,0.00000
2022-04-19,1054.30787,781.84880,272.45907,0.00000,387,0,0,1,0,0,200.00000
2022-04-20,1052.74373,780.28465,272.45907,0.00000,386,0,0,1,0,0,200.00000
2022-04-21,1052.74373,780.28465,272.45907,0.00000,386,0,0,0,0,0,0.00000
2022-04-22,1047.60439,774.92187,272.68252,0.00000,385,1,0,2,0,0,400.00000
2022-04-23,1047.60439,774.92187,272.68252,0.00000,385,0,0,0,0,0,0.00000
2022-04-24,1044.92300,772.24048,272.68252,0.00000,384,0,0,1,0,0,200.00000
2022-04-25,1044.47610,771.79358,272.68252,0.00000,382,0,0,2,0,0,400.00000
2022-04-26,1047.60439,774.47497,273.12942,0.00000,384,2,0,0,0,0,0.00000
2022-04-27,1054.90373,777.37981,277.52392,0.00000,387,4,0,1,0,0,200.00000
2022-04-28,1055.35063,777.82671,277.52392,0.00000,389,2,0,0,0,0,0.00000
2022-04-29,1066.03895,786.54123,279.49772,0.00000,392,3,0,0,0,0,0.00000
2022-04-30,1066.03895,786.54123,279.49772,0.00000,392,0,0,0,0,0,0.00000
2022-05-01,1067.60310,779.16741,288.43569,0.00000,390,1,0,3,0,0,600.00000
2022-05-02,1068.53414,782.07225,286.46189,0.00000,391,2,0,0,0,0,0.00000
2022-05-03,1065.85275,779.39086,286.46189,0.00000,390,0,0,1,0,0,200.00000
2022-05-04,1065.85275,779.39086,286.46189,0.00000,390,0,0,0,0,0,0.00000
2022-05-05,1063.84170,777.82671,286.01499,0.00000,388,0,0,1,0,0,200.00000
2022-05-06,1055.57408,769.55909,286.01499,0.00000,387,0,0,1,0,0,200.00000
2022-05-07,1066.52309,780.50810,286.01499,0.00000,389,2,0,0,0,0,0.00000
2022-05-08,1068.72034,780.73155,287.98879,0.00000,391,2,0,0,0,0,0.00000
2022-05-09,1068.72034,780.73155,287.98879,0.00000,391,0,0,0,0,0,0.00000
2022-05-10,1078.96177,780.73155,298.23021,0.00000,393,2,0,0,0,0,0.00000
2022-05-11,1076.98797,780.73155,296.25641,0.00000,392,0,0,0,0,0,0.00000
2022-05-12,1077.88176,781.62535,296.25641,0.00000,394,3,0,1,0,0,200.00000
2022-05-13,1083.91489,787.65848,296.25641,0.00000,395,1,0,0,0,0,0.00000
2022-05-14,1083.91489,787.65848,296.25641,0.00000,395,0,0,0,0,0,0.00000
2022-05-15,1082.16454,787.88193,294.28261,0.00000,395,1,0,0,0,0,0.00000
2022-05-16,1071.92312,787.88193,284.04119,0.00000,393,0,0,0,0,0,0.00000
2022-05-17,1067.45413,783.41294,284.04119,0.00000,392,1,0,2,0,0,400.00000
2022-05-18,1067.67758,783.63639,284.04119,0.00000,393,1,0,0,0,0,0.00000
2022-05-19,1067.90103,783.85984,284.04119,0.00000,394,1,0,0,0,0,0.00000
2022-05-20,1067.45413,783.85984,283.59429,0.00000,393,0,0,0,0,0,0.00000
2022-05-21,1064.10239,780.95500,283.14739,0.00000,393,2,0,1,0,0,200.00000
