Program Name,Simulation,"Average ""True"" Daily Emissions (Kg Methane)","Average ""True"" Mitigable Daily Emissions (Kg Methane)","Average ""True"" Non-Mitigable Daily Emissions (Kg Methane)","95th Percentile ""True"" Daily Emissions (Kg Methane)","95th Percentile ""True"" Mitigable Daily Emissions (Kg Methane)","95th Percentile ""True"" Non-Mitigable Daily Emissions (Kg Methane)","5th Percentile ""True"" Daily Emissions (Kg Methane)","5th Percentile ""True"" Mitigable Daily Emissions (Kg Methane)","5th Percentile ""True"" Non-Mitigable Daily Emissions (Kg Methane)",Average Daily Cost ($),Total Cost ($),95th Percentile Daily Cost ($),5th Percentile Daily Cost ($)
P_aircraft,0,902.6293196438355,651.3642521369862,251.26506715068496,968.68958,686.88288,274.50735599999996,867.481982,615.60258,229.66855,0.684931506849315,250.0,0.0,0.0
P_aircraft,1,889.5011168493149,624.9874501369864,264.51366684931503,948.57915,679.50906,284.78602,804.84917,581.236094,225.98164,0.684931506849315,250.0,0.0,0.0
P_aircraft,2,987.6230744657535,658.654818931507,328.9682553424658,1037.60132,703.373436,350.59181,936.713998,612.0274,307.22777,0.684931506849315,250.0,0.0,0.0
P_aircraft,3,1013.0771026849314,651.629943150685,361.447159260274,1070.5973199999999,700.28984,377.07055,955.65504,603.31288,338.48831,0.684931506849315,250.0,0.0,0.0
P_aircraft,4,938.6295395068493,579.4380937808219,359.19144668493146,1015.018052,646.483266,385.04768199999995,870.573028,527.78704,325.78895,0.684931506849315,250.0,0.0,0.0
P_drone,0,902.6293196438355,651.3642521369862,251.26506715068496,968.68958,686.88288,274.50735599999996,867.481982,615.60258,229.66855,2.73972602739726,1000.0,0.0,0.0
P_drone,1,889.5011168493149,624.9874501369864,264.51366684931503,948.57915,679.50906,284.78602,804.84917,581.236094,225.98164,2.73972602739726,1000.0,0.0,0.0
P_drone,2,987.6230744657535,658.654818931507,328.9682553424658,1037.60132,703.373436,350.59181,936.713998,612.0274,307.22777,2.73972602739726,1000.0,0.0,0.0
P_drone,3,1013.0771026849314,651.629943150685,361.447159260274,1070.5973199999999,700.28984,377.07055,955.65504,603.31288,338.48831,2.73972602739726,1000.0,0.0,0.0
P_drone,4,938.6295395068493,579.4380937808219,359.19144668493146,1015.018052,646.483266,385.04768199999995,870.573028,527.78704,325.78895,2.73972602739726,1000.0,0.0,0.0
P_none,0,902.6293196438355,651.3642521369862,251.26506715068496,968.68958,686.88288,274.50735599999996,867.481982,615.60258,229.66855,0.0,0.0,0.0,0.0
P_none,1,889.5011168493149,624.9874501369864,264.51366684931503,948.57915,679.50906,284.78602,804.84917,581.236094,225.98164,0.0,0.0,0.0,0.0
P_none,2,987.6230744657535,658.654818931507,328.9682553424658,1037.60132,703.373436,350.59181,936.713998,612.0274,307.22777,0.0,0.0,0.0,0.0
P_none,3,1013.0771026849314,651.629943150685,361.447159260274,1070.5973199999999,700.28984,377.07055,955.65504,603.31288,338.48831,0.0,0.0,0.0,0.0
P_none,4,938.6295395068493,579.4380937808219,359.19144668493146,1015.018052,646.483266,385.04768199999995,870.573028,527.78704,325.78895,0.0,0.0,0.0,0.0
P_OGI,0,626.8862561095891,375.6211892328767,251.26506715068496,936.900206,664.3145159999999,274.50735599999996,349.92147,103.90388,229.66855,145.4904109589041,53104.0,0.0,0.0
P_OGI,1,637.545905369863,373.03223934246574,264.51366684931503,880.4420359999999,618.5074219999999,284.78602,333.438362,111.411774,225.98164,149.8739726027397,54704.0,0.0,0.0
P_OGI,2,706.291332,377.32307602739724,328.9682553424658,1005.6704219999999,669.185706,350.59181,437.781694,112.886544,307.22777,153.16164383561645,55904.0,0.0,0.0
P_OGI,3,737.325468410959,375.8783086849314,361.447159260274,974.57374,622.75296,377.07055,507.356334,145.822954,338.48831,159.73698630136985,58304.0,0.0,0.0
P_OGI,4,728.0381446575341,368.8466984931507,359.19144668493146,992.635884,626.0153159999999,385.04768199999995,439.11494600000003,114.674134,325.78895,147.13424657534247,53704.0,0.0,0.0
P_stationary,0,330.9666469863014,79.70157942465754,251.26506715068496,918.480544,653.8124,274.50735599999996,256.29625,13.09412,229.66855,671.0958904109589,244950.0,1230.0,30.0
P_stationary,1,337.5282990958904,73.0146324109589,264.51366684931503,853.32275,605.8155059999999,284.78602,250.15884,17.56311,225.98164,674.3835616438356,246150.0,1230.0,30.0
P_stationary,2,410.34233704109596,81.37408153424657,328.9682553424658,1017.6919899999999,691.44125,350.59181,339.73963,15.19455,307.22777,692.4657534246576,252750.0,1230.0,30.0
P_stationary,3,439.4137947123288,77.96663408219177,361.447159260274,1032.275776,678.16836,377.07055,367.864438,15.86489,338.48831,687.5342465753424,250950.0,1230.0,30.0
P_stationary,4,428.0511475068493,68.85970120547945,359.19144668493146,854.91669,528.01049,385.04768199999995,362.28566,18.14408,325.78895,684.7945205479452,249950.0,1230.0,30.0
P_truck,0,609.8196338356164,358.55456701369866,251.26506715068496,937.7344139999999,666.10211,274.50735599999996,305.38059,61.89543400000001,229.66855,134.5205479452055,49100.0,0.0,0.0
P_truck,1,598.202315260274,333.68864794520556,264.51366684931503,867.72778,612.92119,284.78602,272.77935,54.07471,225.98164,143.2876712328767,52300.0,0.0,0.0
P_truck,2,687.4658881369862,358.49763276712326,328.9682553424658,1003.473174,665.43176,350.59181,386.656514,62.387024000000004,307.22777,146.57534246575344,53500.0,0.0,0.0
P_truck,3,714.3022407945206,352.85508123287667,361.447159260274,974.35029,622.52951,377.07055,462.867594,97.42386,338.48831,150.41095890410958,54900.0,0.0,0.0
P_truck,4,707.4844900547945,348.29304419178084,359.19144668493146,987.2284199999999,621.5463319999999,385.04768199999995,408.87482,74.18514,325.78895,139.45205479452054,50900.0,0.0,0.0
