Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),stationary_mdl_high Deployment Cost ($),stationary_mdl_high Sites flagged for Follow-Up,stationary_mdl_high Leaks tagged for repair,stationary_mdl_high Sites Visited,stationary_mdl_high Travel Time (Minutes),stationary_mdl_high Survey Time (Minutes),OGI_FU_mdl_high Deployment Cost ($),OGI_FU_mdl_high Sites flagged for Follow-Up,OGI_FU_mdl_high Leaks tagged for repair,OGI_FU_mdl_high Sites Visited,OGI_FU_mdl_high Travel Time (Minutes),OGI_FU_mdl_high Survey Time (Minutes)
2022-01-01,1021.98222,818.04757,203.93465,6030.00000,384,386,0,2,0.00000,0.00000,400.00000,6030,0,,10,0,0,0.00000,,0,0,0,0
2022-01-02,1030.24984,826.31519,203.93465,30.00000,385,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-03,1026.00430,822.06966,203.93465,30.00000,383,0,0,2,0.00000,0.00000,400.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-04,1012.37390,808.43925,203.93465,30.00000,380,0,0,3,0.00000,0.00000,600.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-05,1012.59735,808.66270,203.93465,30.00000,381,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-06,998.29660,803.29992,194.99668,30.00000,378,0,0,2,0.00000,0.00000,400.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-07,998.29660,803.29992,194.99668,30.00000,378,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-08,998.29660,803.29992,194.99668,30.00000,378,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-09,998.07315,803.07647,194.99668,30.00000,377,0,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-10,995.39176,800.39508,194.99668,1030.00000,376,1,0,2,95.00000,0.00000,400.00000,30,10,,10,0,0,1000.00000,,95,3,120,360
2022-01-11,995.39176,800.39508,194.99668,1030.00000,376,0,0,0,119.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,119,3,120,360
2022-01-12,996.09935,803.07647,193.02288,1030.00000,376,1,0,0,91.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,91,3,120,360
2022-01-13,998.78074,805.75786,193.02288,530.00000,377,1,0,0,26.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,26,1,30,120
2022-01-14,999.45109,805.98131,193.46978,30.00000,379,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-15,1017.55048,815.81308,201.73740,30.00000,383,4,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-16,1017.55048,815.81308,201.73740,30.00000,383,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-17,1017.55048,815.81308,201.73740,30.00000,383,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-18,1017.55048,815.81308,201.73740,30.00000,383,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-19,1019.52428,815.81308,203.71120,1030.00000,384,1,0,0,96.00000,0.00000,0.00000,30,10,,10,0,0,1000.00000,,96,3,120,360
2022-01-20,1019.52428,815.81308,203.71120,1030.00000,384,0,0,0,122.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,122,3,120,360
2022-01-21,1019.07738,815.81308,203.26430,1030.00000,383,0,0,0,92.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,92,3,120,360
2022-01-22,1021.05118,815.81308,205.23810,530.00000,384,1,0,0,26.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,26,1,30,120
2022-01-23,1021.49808,816.25998,205.23810,30.00000,385,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-24,1027.53121,822.29311,205.23810,30.00000,386,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-25,822.85173,617.61363,205.23810,16430.00000,304,0,82,0,0.00000,16400.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-26,498.40347,293.16537,205.23810,22430.00000,192,0,112,0,0.00000,22400.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-27,283.22188,69.71615,213.50572,16630.00000,110,1,83,0,0.00000,16600.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-28,236.11133,24.57941,211.53192,5430.00000,88,1,22,0,16.00000,4400.00000,0.00000,30,10,,10,0,0,1000.00000,,16,3,120,360
