Program Name,Simulation,"Average ""True"" Daily Emissions (Kg Methane)","Average ""True"" Mitigable Daily Emissions (Kg Methane)","Average ""True"" Non-Mitigable Daily Emissions (Kg Methane)","95th Percentile ""True"" Daily Emissions (Kg Methane)","95th Percentile ""True"" Mitigable Daily Emissions (Kg Methane)","95th Percentile ""True"" Non-Mitigable Daily Emissions (Kg Methane)","5th Percentile ""True"" Daily Emissions (Kg Methane)","5th Percentile ""True"" Mitigable Daily Emissions (Kg Methane)","5th Percentile ""True"" Non-Mitigable Daily Emissions (Kg Methane)",Average Daily Cost ($),Total Cost ($),95th Percentile Daily Cost ($),5th Percentile Daily Cost ($)
P_aircraft,0,1005.9328514246577,761.5455298356163,244.38732257534244,1049.69737,820.95241,266.27698,967.490406,705.56324,224.11956,0.684931506849315,250.0,0.0,0.0
P_aircraft,1,976.166864520548,749.919436219178,226.2474290958904,1012.46328,793.870366,253.03388799999988,929.422106,697.742514,202.161954,0.684931506849315,250.0,0.0,0.0
P_aircraft,2,1021.8718198904108,763.4549487123287,258.4168712054794,1066.03895,807.09856,288.10052,948.445084,694.92705,241.01977,0.684931506849315,250.0,0.0,0.0
P_aircraft,3,949.3064321369864,684.86082,264.44561208219176,1022.920704,743.63898,284.07843,902.3847499999999,640.6289,249.2576,0.684931506849315,250.0,0.0,0.0
P_aircraft,4,989.8143060273973,796.1097559452055,193.70455013698628,1037.362972,848.168526,214.06434,942.84396,738.320894,166.2909,0.684931506849315,250.0,0.0,0.0
P_drone,0,1005.9328514246577,761.5455298356163,244.38732257534244,1049.69737,820.95241,266.27698,967.490406,705.56324,224.11956,2.73972602739726,1000.0,0.0,0.0
P_drone,1,976.166864520548,749.919436219178,226.2474290958904,1012.46328,793.870366,253.03388799999988,929.422106,697.742514,202.161954,2.73972602739726,1000.0,0.0,0.0
P_drone,2,1021.8718198904108,763.4549487123287,258.4168712054794,1066.03895,807.09856,288.10052,948.445084,694.92705,241.01977,2.73972602739726,1000.0,0.0,0.0
P_drone,3,949.3064321369864,684.86082,264.44561208219176,1022.920704,743.63898,284.07843,902.3847499999999,640.6289,249.2576,2.73972602739726,1000.0,0.0,0.0
P_drone,4,989.8143060273973,796.1097559452055,193.70455013698628,1037.362972,848.168526,214.06434,942.84396,738.320894,166.2909,2.73972602739726,1000.0,0.0,0.0
P_none,0,1005.9328514246577,761.5455298356163,244.38732257534244,1049.69737,820.95241,266.27698,967.490406,705.56324,224.11956,0.0,0.0,0.0,0.0
P_none,1,976.166864520548,749.919436219178,226.2474290958904,1012.46328,793.870366,253.03388799999988,929.422106,697.742514,202.161954,0.0,0.0,0.0,0.0
P_none,2,1021.8718198904108,763.4549487123287,258.4168712054794,1066.03895,807.09856,288.10052,948.445084,694.92705,241.01977,0.0,0.0,0.0,0.0
P_none,3,949.3064321369864,684.86082,264.44561208219176,1022.920704,743.63898,284.07843,902.3847499999999,640.6289,249.2576,0.0,0.0,0.0,0.0
P_none,4,989.8143060273973,796.1097559452055,193.70455013698628,1037.362972,848.168526,214.06434,942.84396,738.320894,166.2909,0.0,0.0,0.0,0.0
P_OGI,0,691.161474630137,446.7741527945205,244.38732257534244,1001.1865459999999,778.6758159999999,266.27698,398.529122,137.91285200000002,224.11956,164.66849315068492,60104.0,0.0,0.0
P_OGI,1,641.8048086301369,415.5573796712329,226.2474290958904,991.40692,742.7004959999999,253.03388799999988,339.240594,123.835554,202.161954,183.2986301369863,66904.0,0.0,0.0
P_OGI,2,744.4691103287671,486.05223827397253,258.4168712054794,1027.64293,760.84457,288.10052,392.45875,147.610548,241.01977,176.17534246575343,64304.0,0.0,0.0
P_OGI,3,675.9955973424657,411.54998597260277,264.44561208219176,946.3819,695.01643,284.07843,368.90719800000005,105.51271800000002,249.2576,166.3123287671233,60704.0,0.0,0.0
P_OGI,4,642.7113586575343,449.0068080547946,193.70455013698628,925.3329859999999,710.34505,214.06434,325.48357,135.18677200000002,166.2909,182.75068493150684,66704.0,0.0,0.0
P_stationary,0,332.744650630137,88.35732893150686,244.38732257534244,964.466388,703.5968859999999,266.27698,250.613184,21.1383,224.11956,728.082191780822,265750.0,1230.0,30.0
P_stationary,1,319.76061868493156,93.51318964383562,226.2474290958904,998.2966,803.29992,253.03388799999988,237.07961,20.021050000000002,202.161954,728.6301369863014,265950.0,1230.0,30.0
P_stationary,2,345.96978339726024,87.5529117260274,258.4168712054794,974.83443,698.6363119999999,288.10052,268.541262,21.00423,241.01977,734.1095890410959,267950.0,1230.0,30.0
P_stationary,3,347.061826630137,82.61621405479451,264.44561208219176,951.2158499999999,690.45807,284.07843,277.561162,16.53524,249.2576,718.2191780821918,262150.0,1230.0,30.0
P_stationary,4,288.67964860273975,94.97509857534249,193.70455013698628,1035.9180000000001,853.576,214.06434,204.47837,20.82547,166.2909,735.2054794520548,268350.0,1230.0,30.0
P_truck,0,663.6802825479452,419.2929603287671,244.38732257534244,988.6361499999999,764.375066,266.27698,354.658594,100.418074,224.11956,156.986301369863,57300.0,0.0,0.0
P_truck,1,611.337354739726,385.08992583561644,226.2474290958904,998.2742579999998,744.30933,253.03388799999988,254.86616999999998,39.32706,202.161954,177.8082191780822,64900.0,0.0,0.0
P_truck,2,719.2768948219177,460.86002334246575,258.4168712054794,1022.72705,749.89556,288.10052,344.26075,104.395472,241.01977,168.4931506849315,61500.0,0.0,0.0
P_truck,3,638.4230721917809,373.9774592054794,264.44561208219176,943.730304,688.581096,284.07843,303.54086,37.98637,249.2576,159.17808219178082,58100.0,0.0,0.0
P_truck,4,607.6879904109587,413.98343901369856,193.70455013698628,928.87838,707.66366,214.06434,258.04659999999996,72.35285400000001,166.2909,179.45205479452054,65500.0,0.0,0.0
