Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0057730,0.0168104155,2022-01-17,2022-12-31,505.4421249216
ABBT0057730,0.0168104155,2022-01-17,2022-12-31,505.4421249216
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.002586218,2022-01-17,2022-12-31,77.7603338496
ABBT0057730,0.002586218,2022-01-17,2022-12-31,77.7603338496
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.051724355,2022-01-17,2022-12-31,1555.2065266560003
ABBT0057730,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0057730,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0057730,0.005172435,2022-01-17,2022-12-31,155.52063763200002
ABBT0057730,0.005172435,2022-01-17,2022-12-31,155.52063763200002
ABBT0057730,0.005172435,2022-01-17,2022-12-31,155.52063763200002
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.005172435,2022-01-17,2022-12-31,155.52063763200002
ABBT0057730,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0057730,0.005172435,2022-01-17,2022-12-31,155.52063763200002
ABBT0092199,0.022413886999999997,2022-01-17,2022-12-31,673.9228232063999
ABBT0092199,0.022413886999999997,2022-01-17,2022-12-31,673.9228232063999
ABBT0092199,0.022413886999999997,2022-01-17,2022-12-31,673.9228232063999
ABBT0092199,0.002586218,2022-01-17,2022-12-31,77.7603338496
ABBT0092199,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0092199,0.060776117,2022-01-17,2022-12-31,1827.3676650624
ABBT0092199,0.060776117,2022-01-17,2022-12-31,1827.3676650624
ABBT0092199,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0092199,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0092199,0.005172435,2022-01-17,2022-12-31,155.52063763200002
ABBT0092199,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0092199,0.018103524,2022-01-17,2022-12-31,544.3222768128
