Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($)
P_aircraft,0,0.0,250.0,inf,0.0
P_aircraft,1,22722.103630224003,9850.0,15.482092679912942,3702.2583635269557
P_aircraft,2,47209.902935904,18450.0,13.95742271114572,7692.212870346077
P_aircraft,3,0.0,250.0,inf,0.0
P_aircraft,4,13036.250558304,5750.0,15.75277660848056,2124.0800783214336
P_drone,0,0.0,1000.0,inf,0.0
P_drone,1,22722.103630224003,10600.0,16.660932224068752,3702.2583635269557
P_drone,2,47209.902935904,19200.0,14.524797618102863,7692.212870346077
P_drone,3,0.0,1000.0,inf,0.0
P_drone,4,13036.250558304,6500.0,17.807486600891067,2124.0800783214336
P_OGI,0,102768.9856877952,46304.0,16.091569598031754,16744.811262445197
P_OGI,1,77278.7932406208,42504.0,19.643163879040475,12591.53039940335
P_OGI,2,81144.241204896,41304.0,18.179267379160006,13221.352676750961
P_OGI,3,101080.1565428544,44704.0,15.795102453116394,16469.63947693726
P_OGI,4,105893.9229546144,50704.0,17.10067105204202,17253.977373112408
P_stationary,0,243720.30261312,233950.0,34.282565109564885,39710.915124536325
P_stationary,1,204260.2888584096,229950.0,40.20605300177947,33281.44150159497
P_stationary,2,190810.8806217984,227150.0,42.515919289107984,31090.042987671754
P_stationary,3,213963.34743944643,227550.0,37.982139518478355,34862.42319096866
P_stationary,4,234995.504665248,237150.0,36.04172287979677,38289.32772672049
P_truck,0,117493.3950645888,43100.0,13.101040389883481,19143.953905678158
P_truck,1,91098.2332789632,41300.0,16.191312903766416,14843.220572717997
P_truck,2,91837.1798582112,38100.0,14.816594845520225,14963.621887567273
P_truck,3,115390.514531664,42100.0,13.030286195308,18801.31806670755
P_truck,4,127024.8447071232,48500.0,13.636252507425608,20696.974247891125
P_aircraft,5,0.0,250.0,inf,0.0
P_aircraft,6,27874.8424956672,12250.0,15.695155948163796,4541.827219919387
P_aircraft,7,35913.4279568928,11450.0,11.386509021623107,5851.605607478625
P_aircraft,8,27111.0930774912,9250.0,12.185312555007958,4417.384619133086
P_aircraft,9,40161.867846192006,13250.0,11.782676232254822,6543.831220391403
P_drone,5,0.0,1000.0,inf,0.0
P_drone,6,27874.8424956672,13000.0,16.656083863357498,4541.827219919387
P_drone,7,35913.4279568928,12200.0,12.13235022391283,5851.605607478625
P_drone,8,27040.7065753152,10000.0,13.207600775820117,4405.91609400877
P_drone,9,40161.867846192006,14000.0,12.449620169929624,6543.831220391403
P_OGI,5,88456.8400746912,46304.0,18.6951544314484,14412.84140356081
P_OGI,6,91037.9020333248,45904.0,18.008198067091353,14833.390415159447
P_OGI,7,98577.52537196162,45104.0,16.341018267388144,16061.869697605005
P_OGI,8,89776.3077713088,43704.0,17.386069683698555,14627.830754665974
P_OGI,9,100303.89397416,43904.0,15.63249379335107,16343.158028123737
P_stationary,5,214707.6567275904,232950.0,38.74870129898709,34983.69828644073
P_stationary,6,197845.73229173763,227550.0,41.07637612471817,32236.276578322242
P_stationary,7,216791.9911050624,229550.0,37.81603851657621,35323.312281120256
P_stationary,8,211051.35736513924,229750.0,38.87848552739266,34387.95393483997
P_stationary,9,225872.9671571712,229550.0,36.295685972946245,36802.934066366746
P_truck,5,102304.8816483168,43300.0,15.115882512279065,16669.191808821197
P_truck,6,100255.628993184,42100.0,14.997376642798288,16335.293904608068
P_truck,7,121733.3439309888,42300.0,12.410028648935468,19834.796021664108
P_truck,8,107476.1668801152,40900.0,13.591053050334837,17511.78254386839
P_truck,9,114797.92721935682,41500.0,12.91088517923121,18704.764007769496
P_aircraft,10,41470.386457968,12850.0,11.066416559530136,6757.036566741222
P_aircraft,11,23593.5555342336,7650.0,11.580038681234766,3844.2496224586102
P_aircraft,12,12085.2507333024,3750.0,11.081985337674023,1969.1275654237475
