Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),OGI Deployment Cost ($),OGI Sites flagged for Follow-Up,OGI Leaks tagged for repair,OGI Sites Visited,OGI Travel Time (Minutes),OGI Survey Time (Minutes)
2017-01-01,1092.89010,733.58377,359.30633,2876.00000,382,382,0,0,39,0.00000,0.00000,2876.00000,,39,3,180,300
2017-01-02,1092.21975,733.58377,358.63599,2876.00000,381,0,0,0,74,0.00000,0.00000,2876.00000,,74,3,180,360
2017-01-03,1091.77286,733.13687,358.63599,2876.00000,380,0,0,1,36,0.00000,200.00000,2876.00000,,36,3,180,300
2017-01-04,1097.35909,738.72310,358.63599,2876.00000,383,3,0,0,56,0.00000,0.00000,2876.00000,,56,3,180,360
2017-01-05,1103.16877,744.53278,358.63599,0.00000,383,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2017-01-06,1103.16877,744.53278,358.63599,0.00000,383,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-07,1111.88329,753.24730,358.63599,0.00000,385,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-08,1116.35227,757.71628,358.63599,0.00000,386,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-09,1119.03366,760.39767,358.63599,0.00000,387,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-10,1110.54259,760.17422,350.36837,0.00000,385,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2017-01-11,1114.11778,755.70524,358.41254,0.00000,384,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2017-01-12,1111.92053,755.48179,356.43874,0.00000,382,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2017-01-13,1116.16606,759.72733,356.43874,0.00000,382,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2017-01-14,1116.16606,759.72733,356.43874,0.00000,382,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-15,1130.24336,765.53701,364.70636,0.00000,383,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2017-01-16,986.11862,621.41226,364.70636,7200.00000,346,0,36,1,0,7200.00000,200.00000,0.00000,,0,0,0,0
2017-01-17,756.18938,391.48302,364.70636,13400.00000,279,0,67,0,0,13400.00000,0.00000,0.00000,,0,0,0,0
2017-01-18,637.31440,273.05494,364.25946,6000.00000,248,0,30,0,0,6000.00000,0.00000,0.00000,,0,0,0,0
2017-01-19,461.01297,96.75351,364.25946,9200.00000,202,1,46,1,0,9200.00000,200.00000,0.00000,,0,0,0,0
2017-01-20,463.69436,99.43490,364.25946,0.00000,203,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-21,480.45305,107.92597,372.52708,0.00000,206,3,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-22,472.18543,107.92597,364.25946,0.00000,205,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-23,476.87786,112.61840,364.25946,0.00000,207,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-24,470.62128,115.29979,355.32149,0.00000,207,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-25,470.62128,115.29979,355.32149,0.00000,207,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-26,473.30267,117.98119,355.32149,0.00000,208,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
