Site ID,Survey Level,Method,Start Date,End Date,"""Measured"" Rate (g/s)","""Estimated"" Volume Emitted (Kg Methane)",Site Type,Site Measured
ABBT0103713,,,2017-01-01,2017-01-01,0.6590544890000001,0.0,311,True
ABBT0103713,,,2017-01-01,2017-01-01,0.0,0.0,311,True
ABBT0103713,,,2017-01-01,2018-01-01,1.2099188699999999,38156.00148432,311,True
ABBT0103713,,,2018-01-01,2018-01-01,0.600433551,0.0,311,True
ABBT0103713,,,2018-01-01,2019-01-01,0.8224172399999999,25935.75008064,311,True
ABBT0103713,,,2019-01-01,2019-01-01,0.532329818,0.0,311,True
ABBT0103713,,,2019-01-01,2020-01-01,0.865089834,27281.473005024,311,True
ABBT0103713,,,2020-01-01,2020-01-01,0.8284517479999999,0.0,311,True
ABBT0103713,,,2020-01-01,2021-01-01,1.3422470069999997,42445.071754156794,311,True
ABBT0103713,,,2021-01-01,2021-01-01,0.6435371830000001,0.0,311,True
ABBT0103713,,,2021-01-01,2022-01-01,1.039228498,32773.109912928,311,True
ABBT0103713,,,2022-01-01,2022-01-01,0.8060378639999999,0.0,311,True
ABBT0103713,,,2022-01-01,2022-12-31,1.225005138,38525.9215880448,311,True
ABBT0103713,,,2022-12-31,2022-12-31,0.0,0.0,311,True
ABBT0123053,,,2017-01-01,2017-01-01,0.894400306,0.0,311,True
ABBT0123053,,,2017-01-01,2017-01-01,0.0,0.0,311,True
ABBT0123053,,,2017-01-01,2018-01-01,1.2534535349999998,39528.910679759996,311,True
ABBT0123053,,,2018-01-01,2018-01-01,0.7383651640000001,0.0,311,True
ABBT0123053,,,2018-01-01,2018-01-04,1.0090559549999998,261.54730353599996,311,True
ABBT0123053,,,2018-01-04,2019-01-01,1.124573684,35173.066199731205,311,True
ABBT0123053,,,2019-01-01,2020-01-01,1.449575045,45713.79861912,311,True
ABBT0123053,,,2020-01-01,2020-01-01,1.1586255520000002,0.0,311,True
ABBT0123053,,,2020-01-01,2021-01-01,1.445695722,45716.3683993728,311,True
ABBT0123053,,,2021-01-01,2021-01-01,0.7685377059999998,0.0,311,True
ABBT0123053,,,2021-01-01,2022-01-01,1.0422457509999998,32868.262003536,311,True
ABBT0123053,,,2022-01-01,2022-01-01,0.6668131429999998,0.0,311,True
ABBT0123053,,,2022-01-01,2022-12-31,0.868538127,27315.176678899203,311,True
ABBT0123053,,,2022-12-31,2022-12-31,0.0,0.0,311,True
ABBT0128628,,,2017-01-01,2017-01-01,0.7017270809999999,0.0,321,True
ABBT0128628,,,2017-01-01,2017-01-01,0.0,0.0,321,True
ABBT0128628,,,2017-01-01,2018-01-01,0.8823312849999999,27825.19940376,321,True
ABBT0128628,,,2018-01-01,2018-01-01,0.49612276999999994,0.0,321,True
ABBT0128628,,,2018-01-01,2018-01-03,0.653882053,112.99081875840001,321,True
ABBT0128628,,,2018-01-03,2019-01-01,0.7288823659999999,22860.083421331197,321,True
ABBT0128628,,,2019-01-01,2020-01-01,1.269401876,40031.857561536,321,True
ABBT0128628,,,2020-01-01,2020-01-01,0.6616407049999998,0.0,321,True
ABBT0128628,,,2020-01-01,2021-01-01,0.9668143989999998,30572.991650937594,321,True
ABBT0128628,,,2021-01-01,2021-01-01,0.7939688479999999,0.0,321,True
ABBT0128628,,,2021-01-01,2022-01-01,0.8991417019999999,28355.332714271997,321,True
ABBT0128628,,,2022-01-01,2022-01-01,0.7724170339999998,0.0,321,True
ABBT0128628,,,2022-01-01,2022-12-31,1.1836256549999997,37224.553399487995,321,True
ABBT0128628,,,2022-12-31,2022-12-31,0.0,0.0,321,True
ABBT0136410,,,2017-01-01,2017-01-01,0.531467746,0.0,321,True
ABBT0136410,,,2017-01-01,2017-01-01,0.0,0.0,321,True
ABBT0136410,,,2017-01-01,2017-01-03,0.8357793659999999,144.42267444479998,321,True
ABBT0136410,,,2017-01-03,2018-01-01,0.9551764199999999,29957.389095743998,321,True
ABBT0136410,,,2018-01-01,2019-01-01,1.3426780459999998,42342.694858656,321,True
ABBT0136410,,,2019-01-01,2019-01-01,1.131039226,0.0,321,True
ABBT0136410,,,2019-01-01,2020-01-01,1.4952648919999998,47154.673634112,321,True
ABBT0136410,,,2020-01-01,2020-01-01,0.7495721099999999,0.0,321,True
ABBT0136410,,,2020-01-01,2020-01-03,1.1137977749999999,192.46425552,321,True
ABBT0136410,,,2020-01-03,2021-01-01,1.1599186590000001,36478.97785808641,321,True
ABBT0136410,,,2021-01-01,2022-01-01,1.5750066070000002,49669.40835835201,321,True
ABBT0136410,,,2022-01-01,2022-01-01,0.666382104,0.0,321,True
ABBT0136410,,,2022-01-01,2022-12-31,1.2573328589999997,39542.61548240639,321,True
ABBT0136410,,,2022-12-31,2022-12-31,0.0,0.0,321,True
ABBT0140721,,,2017-01-01,2017-01-01,0.427587998,0.0,311,True
ABBT0140721,,,2017-01-01,2017-01-01,0.0,0.0,311,True
ABBT0140721,,,2017-01-01,2017-01-03,0.505174531,87.2941589568,311,True
ABBT0140721,,,2017-01-03,2018-01-01,1.0189697919999998,31958.153380454394,311,True
ABBT0140721,,,2018-01-01,2019-01-01,1.313798614,41431.953091104,311,True
ABBT0140721,,,2019-01-01,2019-01-01,0.8918140849999999,0.0,311,True
ABBT0140721,,,2019-01-01,2020-01-01,1.078021761,33996.494254896,311,True
ABBT0140721,,,2020-01-01,2020-01-01,0.812934442,0.0,311,True
ABBT0140721,,,2020-01-01,2021-01-01,1.339229753,42349.6589412672,311,True
ABBT0140721,,,2021-01-01,2021-01-01,0.697416719,0.0,311,True
ABBT0140721,,,2021-01-01,2021-01-04,1.090090779,282.55152991680006,311,True
