Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($)
P_aircraft,0,35006.8944611808,13100.0,13.364714295806799,5703.898279366063
P_aircraft,1,10257.8830422336,6800.0,23.675171753982294,1671.3828043049148
P_aircraft,2,9327.2170784544,6400.0,24.505854924232644,1519.7434180876867
P_aircraft,3,23578.137563443204,11500.0,17.41928447949506,3841.7374733972256
P_aircraft,4,44558.0077028544,15200.0,12.183155640111066,7260.1225381509685
P_drone,0,35006.8944611808,17600.0,17.955646687496156,5703.898279366063
P_drone,1,10257.8830422336,11300.0,39.34256482647057,1671.3828043049148
P_drone,2,19521.1936156608,15000.0,27.442701315380177,3180.7135248461464
P_drone,3,23578.137563443204,16000.0,24.235526232340955,3841.7374733972256
P_drone,4,44462.8183378176,19700.0,15.82381537818555,7244.612723190106
P_OGI,0,646334.2237132224,289824.0,16.01471307428369,105311.38860721717
P_OGI,1,617938.9679401345,283424.0,16.38072081459403,100684.76710767578
P_OGI,2,615041.2786712255,288024.0,16.72500982502377,100212.62797367192
P_OGI,3,679577.6571420672,282424.0,14.84241178703556,110727.95484805512
P_OGI,4,673149.023300448,286224.0,15.185769213726067,109680.49622391042
P_stationary,0,1516048.8385891682,1206030.0,28.41102404067878,247019.5798559846
P_stationary,1,1441563.3835977311,1195830.0,29.626317352156075,234883.18600835034
P_stationary,2,1446566.8587708955,1205230.0,29.75592058565596,235698.43437214653
P_stationary,3,1451226.8922322176,1196830.0,29.453649736108197,236457.72357077274
P_stationary,4,1555070.8923133344,1203630.0,27.64297494523756,253377.69383668684
P_truck,0,727950.8365253857,270400.0,13.266202018858571,118609.70782554186
P_truck,1,692442.7454163457,264400.0,13.637022274209007,112824.14635550007
P_truck,2,691893.2838811681,270000.0,13.936913925173021,112734.61905656892
P_truck,3,738111.2958306721,259400.0,12.551339840775185,120265.21675431181
P_truck,4,763644.6141169248,266800.0,12.47775634427832,124425.52438745426
