Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),OGI Deployment Cost ($),OGI Sites flagged for Follow-Up,OGI Leaks tagged for repair,OGI Sites Visited,OGI Travel Time (Minutes),OGI Survey Time (Minutes)
2017-01-01,1022.31739,709.67470,312.64269,2876.00000,358,358,0,0,35,0.00000,0.00000,2876.00000,,35,3,180,300
2017-01-02,1021.01394,710.34505,310.66889,2876.00000,356,1,0,2,54,0.00000,400.00000,2876.00000,,54,3,180,360
2017-01-03,1023.91878,713.02644,310.89234,2876.00000,358,2,0,0,41,0.00000,0.00000,2876.00000,,41,3,180,300
2017-01-04,1024.14223,713.24989,310.89234,2876.00000,359,1,0,0,61,0.00000,0.00000,2876.00000,,61,3,180,360
2017-01-05,1023.69533,712.80299,310.89234,0.00000,358,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2017-01-06,1023.24843,712.35609,310.89234,0.00000,357,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2017-01-07,1022.80153,711.90919,310.89234,0.00000,356,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2017-01-08,1022.80153,711.90919,310.89234,0.00000,356,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-09,1022.80153,711.90919,310.89234,0.00000,356,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-10,1031.21812,716.37818,314.83994,0.00000,359,3,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-11,1039.48574,716.37818,323.10756,0.00000,360,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-12,1042.80024,717.71887,325.08136,0.00000,361,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2017-01-13,1042.80024,717.71887,325.08136,0.00000,361,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-14,1042.80024,717.71887,325.08136,0.00000,361,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-15,1040.37954,717.71887,322.66066,0.00000,359,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-16,938.48670,615.82603,322.66066,6200.00000,329,1,31,0,0,6200.00000,0.00000,0.00000,,0,0,0,0
2017-01-17,779.87500,459.18813,320.68686,9400.00000,282,1,47,0,0,9400.00000,0.00000,0.00000,,0,0,0,0
2017-01-18,648.71031,328.02345,320.68686,7800.00000,245,2,39,0,0,7800.00000,0.00000,0.00000,,0,0,0,0
2017-01-19,437.10390,117.08739,320.01651,10600.00000,190,1,53,1,0,10600.00000,200.00000,0.00000,,0,0,0,0
2017-01-20,437.55080,117.08739,320.46341,0.00000,191,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2017-01-21,437.55080,117.08739,320.46341,0.00000,191,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-22,437.77425,117.08739,320.68686,0.00000,192,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-23,432.18802,119.76878,312.41924,0.00000,192,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-24,436.65700,124.23776,312.41924,0.00000,193,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-25,437.36459,126.91915,310.44544,0.00000,193,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-26,437.58804,127.14260,310.44544,0.00000,194,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-27,439.33839,126.69570,312.64269,0.00000,195,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2017-01-28,452.96880,132.05849,320.91031,0.00000,195,2,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2017-01-29,452.74535,131.83504,320.91031,0.00000,194,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2017-01-30,441.79634,129.15365,312.64269,0.00000,192,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2017-01-31,441.79634,129.15365,312.64269,0.00000,192,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-01,444.03083,130.94124,313.08959,0.00000,193,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2017-02-02,456.46950,131.16469,325.30481,0.00000,197,4,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-03,465.18402,139.87921,325.30481,0.00000,199,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-04,469.87645,144.57164,325.30481,0.00000,201,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-05,474.12199,148.81718,325.30481,0.00000,203,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-06,474.12199,148.81718,325.30481,0.00000,203,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-07,473.67509,148.81718,324.85791,0.00000,202,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-08,473.67509,148.81718,324.85791,0.00000,202,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-09,473.67509,148.81718,324.85791,0.00000,202,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-10,473.67509,148.81718,324.85791,0.00000,202,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-11,479.70822,154.85031,324.85791,0.00000,203,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-12,479.48477,154.85031,324.63446,0.00000,202,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-13,484.62410,159.31929,325.30481,0.00000,204,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-14,493.59931,162.00068,331.59863,0.00000,205,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-15,493.59931,162.44758,331.15173,0.00000,205,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-16,496.50415,165.35242,331.15173,0.00000,207,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-17,490.24757,168.03381,322.21376,0.00000,207,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-18,492.92896,170.71520,322.21376,0.00000,208,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-19,495.61035,173.39659,322.21376,0.00000,209,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-20,486.67239,173.39659,313.27580,0.00000,208,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-21,486.89583,173.62004,313.27580,0.00000,209,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-22,486.89583,173.62004,313.27580,0.00000,209,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-23,495.83380,173.62004,322.21376,0.00000,210,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-24,490.95516,170.71520,320.23996,0.00000,207,0,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2017-02-25,490.95516,170.71520,320.23996,0.00000,207,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-26,491.40206,170.71520,320.68686,0.00000,208,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-27,494.08345,173.39659,320.68686,0.00000,209,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-28,502.35107,182.11111,320.23996,0.00000,210,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-03-01,504.36211,184.12215,320.23996,0.00000,212,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-03-02,504.36211,184.12215,320.23996,0.00000,212,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-03-03,504.36211,184.12215,320.23996,0.00000,212,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-03-04,507.04351,186.80354,320.23996,0.00000,213,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-03-05,506.59661,186.35664,320.23996,0.00000,211,0,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2017-03-06,494.75380,183.45180,311.30199,0.00000,208,0,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2017-03-07,494.75380,183.45180,311.30199,0.00000,208,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-03-08,496.09449,184.12215,311.97234,0.00000,211,3,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-03-09,496.09449,184.12215,311.97234,0.00000,211,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-03-10,496.09449,184.12215,311.97234,0.00000,211,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-03-11,496.09449,184.12215,311.97234,0.00000,211,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
