Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),OGI Deployment Cost ($),OGI Sites flagged for Follow-Up,OGI Leaks tagged for repair,OGI Sites Visited,OGI Travel Time (Minutes),OGI Survey Time (Minutes)
2017-01-01,906.27277,620.07157,286.20120,2876.00000,346,347,0,1,32,0.00000,200.00000,2876.00000,,32,3,180,300
2017-01-02,908.95416,622.75296,286.20120,2876.00000,347,1,0,0,55,0.00000,0.00000,2876.00000,,55,3,180,360
2017-01-03,911.63555,625.43435,286.20120,2876.00000,348,1,0,0,33,0.00000,0.00000,2876.00000,,33,3,180,300
2017-01-04,909.66175,625.43435,284.22740,2876.00000,347,0,0,0,72,0.00000,0.00000,2876.00000,,72,3,180,360
2017-01-05,915.02453,630.79713,284.22740,0.00000,349,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-06,923.29215,639.06475,284.22740,0.00000,350,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-07,925.97354,641.74614,284.22740,0.00000,351,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-08,934.24116,650.01376,284.22740,0.00000,352,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-09,936.92255,652.69515,284.22740,0.00000,353,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-10,936.69910,652.69515,284.00395,0.00000,353,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-11,940.94464,656.94069,284.00395,0.00000,355,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-12,940.94464,656.94069,284.00395,0.00000,355,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-13,943.17913,659.62208,283.55705,0.00000,355,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-14,943.17913,659.62208,283.55705,0.00000,355,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-15,942.95568,659.39863,283.55705,0.00000,354,1,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2017-01-16,830.78417,563.98582,266.79836,5600.00000,325,1,28,0,0,5600.00000,0.00000,0.00000,,0,0,0,0
2017-01-17,679.28561,412.04035,267.24526,10200.00000,276,2,51,0,0,10200.00000,0.00000,0.00000,,0,0,0,0
2017-01-18,571.99274,302.10334,269.88941,5600.00000,251,4,28,0,0,5600.00000,0.00000,0.00000,,0,0,0,0
2017-01-19,371.52156,99.65835,271.86321,12800.00000,189,2,64,0,0,12800.00000,0.00000,0.00000,,0,0,0,0
2017-01-20,374.64985,102.78664,271.86321,0.00000,191,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-21,377.07055,103.23354,273.83701,0.00000,193,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-22,381.53953,107.70252,273.83701,0.00000,194,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-23,379.08159,105.24458,273.83701,0.00000,194,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2017-01-24,379.08159,105.24458,273.83701,0.00000,194,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-25,379.52849,105.24458,274.28391,0.00000,195,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-26,379.52849,105.24458,274.28391,0.00000,195,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2017-01-27,381.31608,107.03217,274.28391,0.00000,197,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-28,383.28988,107.03217,276.25771,0.00000,198,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-29,383.51333,107.25562,276.25771,0.00000,199,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-30,383.51333,107.25562,276.25771,0.00000,199,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-01-31,377.25675,109.93701,267.31974,0.00000,199,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-01,386.19472,109.93701,276.25771,0.00000,200,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-02,388.16852,109.93701,278.23151,0.00000,201,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-03,392.19061,114.18255,278.00806,0.00000,202,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-04,400.68168,122.67362,278.00806,0.00000,204,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-05,400.68168,122.67362,278.00806,0.00000,204,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-06,400.90513,122.89707,278.00806,0.00000,205,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2017-02-07,406.04446,128.03640,278.00806,0.00000,206,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2017-02-08,396.65959,127.58950,269.07009,0.00000,203,0,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
