Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($)
2017-01-01,963.47577,605.99427,357.48150,0.00000,345,346,0,0,0,0,0.00000
2017-01-02,968.61510,611.13360,357.48150,0.00000,346,2,0,1,0,0,200.00000
2017-01-03,968.61510,611.13360,357.48150,0.00000,346,0,0,0,0,0,0.00000
2017-01-04,977.55307,611.13360,366.41947,0.00000,347,1,0,0,0,0,0.00000
2017-01-05,982.91585,616.49638,366.41947,0.00000,349,2,0,0,0,0,0.00000
2017-01-06,982.91585,616.49638,366.41947,0.00000,349,0,0,0,0,0,0.00000
2017-01-07,986.26759,619.62467,366.64292,0.00000,352,3,0,0,0,0,0.00000
2017-01-08,985.59724,618.95432,366.64292,0.00000,353,2,0,1,0,0,200.00000
2017-01-09,985.59724,618.95432,366.64292,0.00000,353,0,0,0,0,0,0.00000
2017-01-10,977.55307,618.95432,358.59874,0.00000,353,1,0,0,0,0,0.00000
2017-01-11,977.55307,627.22194,350.33112,0.00000,353,1,0,0,0,0,0.00000
2017-01-12,977.77652,627.44539,350.33112,0.00000,354,1,0,0,0,0,0.00000
2017-01-13,975.09513,624.76400,350.33112,0.00000,353,0,0,1,0,0,200.00000
2017-01-14,975.09513,624.76400,350.33112,0.00000,353,1,0,1,0,0,200.00000
2017-01-15,972.41374,622.08261,350.33112,0.00000,352,0,0,1,0,0,200.00000
2017-01-16,972.41374,622.08261,350.33112,0.00000,352,0,0,0,0,0,0.00000
2017-01-17,973.97788,623.64676,350.33112,0.00000,353,2,0,1,0,0,200.00000
2017-01-18,968.61510,618.28397,350.33112,0.00000,351,0,0,2,0,0,400.00000
2017-01-19,966.82750,615.82603,351.00147,0.00000,352,2,0,1,0,0,200.00000
2017-01-20,969.50890,618.50742,351.00147,0.00000,353,1,0,0,0,0,0.00000
2017-01-21,967.94475,617.61363,350.33112,0.00000,351,1,0,2,0,0,400.00000
2017-01-22,960.57093,610.23980,350.33112,0.00000,350,1,0,2,0,0,400.00000
2017-01-23,960.57093,610.23980,350.33112,0.00000,350,0,0,0,0,0,0.00000
2017-01-24,942.06188,601.97218,340.08970,0.00000,347,0,0,1,0,0,200.00000
2017-01-25,950.55295,610.46325,340.08970,0.00000,348,2,0,1,0,0,200.00000
2017-01-26,958.15023,609.56946,348.58077,0.00000,349,4,0,3,0,0,600.00000
2017-01-27,958.59713,609.56946,349.02767,0.00000,350,1,0,0,0,0,0.00000
2017-01-28,956.58608,608.00531,348.58077,0.00000,348,0,0,1,0,0,200.00000
2017-01-29,956.58608,608.00531,348.58077,0.00000,348,0,0,0,0,0,0.00000
2017-01-30,955.02194,606.44117,348.58077,0.00000,347,0,0,1,0,0,200.00000
2017-01-31,960.08679,607.55841,352.52837,0.00000,349,3,0,1,0,0,200.00000
2017-02-01,947.83432,605.54737,342.28695,0.00000,345,0,0,2,0,0,400.00000
2017-02-02,944.48258,602.64253,341.84005,0.00000,342,0,0,2,0,0,400.00000
2017-02-03,946.04673,604.20667,341.84005,0.00000,343,2,0,1,0,0,200.00000
2017-02-04,944.07293,604.20667,339.86625,0.00000,342,0,0,0,0,0,0.00000
2017-02-05,941.39154,601.52528,339.86625,0.00000,341,0,0,1,0,0,200.00000
2017-02-06,941.39154,601.97218,339.41935,0.00000,342,2,0,0,0,0,0.00000
2017-02-07,940.49774,601.97218,338.52556,0.00000,340,0,0,0,0,0,0.00000
2017-02-08,943.17913,604.65357,338.52556,0.00000,341,1,0,0,0,0,0.00000
