Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0060675,0.018103524,2021-01-17,2021-01-17,0.0
ABBT0060675,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0060675,0.018103524,2020-01-17,2021-01-01,547.45056576
ABBT0060675,0.018103524,2020-01-17,2021-01-01,547.45056576
ABBT0060675,0.095690057,2022-01-17,2022-12-31,2877.1320818304002
ABBT0060675,0.031034613,2018-01-17,2019-01-01,935.8053065568
ABBT0060675,0.0168104155,2020-01-17,2021-01-01,508.34696471999996
ABBT0060675,0.0168104155,2020-01-17,2021-01-01,508.34696471999996
ABBT0060675,0.069827879,2021-01-17,2021-01-17,0.0
ABBT0060675,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0060675,0.031034613,2019-01-17,2020-01-01,935.8053065568
ABBT0060675,0.095690057,2017-01-17,2017-01-17,0.0
ABBT0060675,0.069827879,2020-01-17,2021-01-01,2111.59506096
ABBT0060675,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0060675,0.031034613,2018-01-17,2019-01-01,935.8053065568
ABBT0060675,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0060675,0.069827879,2018-01-17,2019-01-01,2105.5619322144003
ABBT0060675,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0060675,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0060675,0.031034613,2019-01-17,2020-01-01,935.8053065568
ABBT0060675,0.031034613,2019-01-17,2020-01-01,935.8053065568
ABBT0060675,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0060675,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0060675,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0060675,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0060675,0.051724355,2017-01-17,2017-01-17,0.0
ABBT0060675,0.018103524,2020-01-17,2021-01-01,547.45056576
ABBT0060675,0.051724355,2018-01-17,2019-01-01,1559.675510928
ABBT0060675,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0060675,0.095690057,2020-01-17,2021-01-01,2893.6673236799998
ABBT0060675,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0060675,0.095690057,2020-01-17,2021-01-01,2893.6673236799998
ABBT0060675,0.018103524,2017-01-17,2017-01-17,0.0
ABBT0060675,0.051724355,2021-01-17,2021-01-17,0.0
ABBT0060675,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0060675,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0060675,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0060675,0.031034613,2019-01-17,2020-01-01,935.8053065568
ABBT0060675,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0060675,0.031034613,2018-01-17,2019-01-01,935.8053065568
ABBT0060675,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0060675,0.051724355,2017-01-17,2017-01-17,0.0
ABBT0060675,0.031034613,2018-01-17,2019-01-01,935.8053065568
ABBT0060675,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0060675,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0060675,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0060675,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0060675,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0060675,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0060675,0.031034613,2019-01-17,2020-01-01,935.8053065568
ABBT0060675,0.0034482903333333333,2020-01-17,2021-01-01,104.27629968000001
ABBT0060675,0.0034482903333333333,2020-01-17,2021-01-01,104.27629968000001
ABBT0060675,0.0034482903333333333,2020-01-17,2021-01-01,104.27629968000001
ABBT0060675,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0060675,0.069827879,2018-01-17,2019-01-01,2105.5619322144003
ABBT0060675,0.073707206,2017-01-17,2017-01-17,0.0
ABBT0060675,0.073707206,2017-01-17,2017-01-17,0.0
ABBT0060675,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0060675,0.018103524,2021-01-17,2021-01-17,0.0
ABBT0060675,0.0168104155,2018-01-17,2019-01-01,506.8945448207999
ABBT0060675,0.0168104155,2018-01-17,2019-01-01,506.8945448207999
ABBT0060675,0.04482777433333333,2021-01-17,2021-01-17,0.0
ABBT0060675,0.04482777433333333,2021-01-17,2021-01-17,0.0
ABBT0060675,0.04482777433333333,2021-01-17,2021-01-17,0.0
ABBT0060675,0.018103524,2021-01-17,2021-01-17,0.0
ABBT0060675,0.018103524,2018-01-17,2019-01-01,545.8864212864
ABBT0060675,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0060675,0.051724355,2018-01-17,2019-01-01,1559.675510928
ABBT0060675,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0060675,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0060675,0.018103524,2021-01-17,2021-01-17,0.0
ABBT0060675,0.095690057,2019-01-17,2020-01-01,2885.3997027552
ABBT0060675,0.031034613,2019-01-17,2020-01-01,935.8053065568
ABBT0060675,0.051724355,2022-01-17,2022-12-31,1555.2065266560003
ABBT0060675,0.095690057,2020-01-17,2021-01-01,2893.6673236799998
ABBT0060675,0.018103524,2019-01-17,2020-01-01,545.8864212864
ABBT0060675,0.018103524,2017-01-17,2017-01-17,0.0
ABBT0060675,0.031034613,2019-01-17,2020-01-01,935.8053065568
ABBT0060675,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0060675,0.018103524,2021-01-17,2021-01-17,0.0
ABBT0060675,0.095690057,2020-01-17,2021-01-01,2893.6673236799998
ABBT0060675,0.031034613,2019-01-17,2020-01-01,935.8053065568
ABBT0060675,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0060675,0.018103524,2018-01-17,2019-01-01,545.8864212864
ABBT0060675,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0060675,0.031034613,2018-01-17,2019-01-01,935.8053065568
ABBT0060675,0.031034613,2018-01-17,2019-01-01,935.8053065568
ABBT0060675,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0060675,0.095690057,2018-01-17,2019-01-01,2885.3997027552
ABBT0060675,0.051724355,2022-01-17,2022-12-31,1555.2065266560003
ABBT0060675,0.051724355,2019-01-17,2020-01-01,1559.675510928
ABBT0060675,0.069827879,2019-01-17,2020-01-01,2105.5619322144003
ABBT0060675,0.031034613,2019-01-17,2020-01-01,935.8053065568
ABBT0060675,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0060675,0.069827879,2021-01-17,2021-01-17,0.0
ABBT0060675,0.031034613,2018-01-17,2019-01-01,935.8053065568
ABBT0060675,0.031034613,2019-01-17,2020-01-01,935.8053065568
ABBT0060675,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0060675,0.031034613,2018-01-17,2019-01-01,935.8053065568
ABBT0060675,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0060675,0.069827879,2019-01-17,2020-01-01,2105.5619322144003
ABBT0060675,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0145239,0.095690057,2017-01-17,2017-01-17,0.0
ABBT0145239,0.031034613,2019-01-17,2019-01-17,0.0
ABBT0145239,0.095690057,2020-01-17,2021-01-01,2893.6673236799998
ABBT0145239,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0145239,0.0168104155,2017-01-17,2017-01-17,0.0
ABBT0145239,0.0168104155,2017-01-17,2017-01-17,0.0
ABBT0145239,0.069827879,2021-01-17,2021-01-17,0.0
ABBT0145239,0.051724355,2022-01-17,2022-12-31,1555.2065266560003
ABBT0145239,0.041379484,2017-01-17,2017-01-17,0.0
ABBT0145239,0.041379484,2017-01-17,2017-01-17,0.0
ABBT0145239,0.06336233499999999,2019-01-17,2019-01-17,0.0
ABBT0145239,0.06336233499999999,2019-01-17,2019-01-17,0.0
ABBT0145239,0.031034613,2019-01-17,2019-01-17,0.0
ABBT0145239,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0145239,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0145239,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0145239,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0145239,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0145239,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0145239,0.069827879,2020-01-17,2021-01-01,2111.59506096
ABBT0145239,0.018103524,2021-01-17,2021-01-17,0.0
ABBT0145239,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0145239,0.031034613,2018-01-17,2019-01-01,935.8053065568
ABBT0145239,0.095690057,2020-01-17,2021-01-01,2893.6673236799998
ABBT0145239,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0145239,0.051724355,2022-01-17,2022-12-31,1555.2065266560003
ABBT0145239,0.031034613,2019-01-17,2019-01-17,0.0
ABBT0145239,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0145239,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0145239,0.031034613,2019-01-17,2019-01-17,0.0
ABBT0145239,0.051724355,2017-01-17,2017-01-17,0.0
ABBT0145239,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0145239,0.018103524,2020-01-17,2021-01-01,547.45056576
ABBT0145239,0.069827879,2019-01-17,2019-01-17,0.0
ABBT0145239,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0145239,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0145239,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0145239,0.031034613,2018-01-17,2019-01-01,935.8053065568
ABBT0145239,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0145239,0.095690057,2018-01-17,2019-01-01,2885.3997027552
ABBT0145239,0.031034613,2018-01-17,2019-01-01,935.8053065568
ABBT0145239,0.031034613,2018-01-17,2019-01-01,935.8053065568
ABBT0145239,0.031034613,2018-01-17,2019-01-01,935.8053065568
ABBT0145239,0.031034613,2018-01-17,2019-01-01,935.8053065568
ABBT0145239,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0145239,0.018103524,2020-01-17,2021-01-01,547.45056576
ABBT0145239,0.051724355,2017-01-17,2017-01-17,0.0
ABBT0145239,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0145239,0.018103524,2017-01-17,2017-01-17,0.0
ABBT0145239,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0145239,0.069827879,2021-01-17,2021-01-17,0.0
ABBT0145239,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0145239,0.031034613,2018-01-17,2019-01-01,935.8053065568
ABBT0145239,0.051724355,2022-01-17,2022-12-31,1555.2065266560003
ABBT0145239,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0145239,0.018103524,2017-01-17,2017-01-17,0.0
ABBT0145239,0.069827879,2018-01-17,2019-01-01,2105.5619322144003
ABBT0145239,0.051724355,2017-01-17,2017-01-17,0.0
ABBT0145239,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0145239,0.051724355,2022-01-17,2022-12-31,1555.2065266560003
ABBT0145239,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0145239,0.031034613,2019-01-17,2019-01-17,0.0
ABBT0145239,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0145239,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0145239,0.031034613,2019-01-17,2019-01-17,0.0
ABBT0145239,0.031034613,2019-01-17,2019-01-17,0.0
ABBT0145239,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0145239,0.095690057,2021-01-17,2021-01-17,0.0
ABBT0145239,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0145239,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0145239,0.018103524,2019-01-17,2019-01-17,0.0
ABBT0145239,0.031034613,2019-01-17,2019-01-17,0.0
ABBT0145239,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0145239,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0145239,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0145239,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0145239,0.0155173065,2017-01-17,2017-01-17,0.0
ABBT0145239,0.0155173065,2017-01-17,2017-01-17,0.0
ABBT0145239,0.031034613,2019-01-17,2019-01-17,0.0
ABBT0145239,0.018103524,2017-01-17,2017-01-17,0.0
ABBT0145239,0.018103524,2017-01-17,2017-01-17,0.0
ABBT0145239,0.018103524,2018-01-17,2019-01-01,545.8864212864
ABBT0145239,0.028448395,2019-01-17,2019-01-17,0.0
ABBT0145239,0.028448395,2019-01-17,2019-01-17,0.0
ABBT0145239,0.095690057,2018-01-17,2019-01-01,2885.3997027552
ABBT0145239,0.0155173065,2020-01-17,2021-01-01,469.24334856
ABBT0145239,0.0155173065,2020-01-17,2021-01-01,469.24334856
