Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),drone Deployment Cost ($),drone Sites flagged for Follow-Up,drone Leaks tagged for repair,drone Sites Visited,drone Travel Time (Minutes),drone Survey Time (Minutes),OGI_FU_persitehigh Deployment Cost ($),OGI_FU_persitehigh Sites flagged for Follow-Up,OGI_FU_persitehigh Leaks tagged for repair,OGI_FU_persitehigh Sites Visited,OGI_FU_persitehigh Travel Time (Minutes),OGI_FU_persitehigh Survey Time (Minutes)
2022-01-01,50712.49205,8964.01205,41748.48000,500.00000,366,367,0,0,0.00000,0.00000,0.00000,500.00000,0,,9,300,180,0.00000,,0,0,0,0
2022-01-02,50627.23167,8965.15167,41662.08000,500.00000,366,1,0,0,0.00000,0.00000,0.00000,500.00000,0,,1,30,20,0.00000,,0,0,0,0
2022-01-03,51491.23167,8965.15167,42526.08000,5512.00000,367,1,0,0,56.00000,0.00000,0.00000,0.00000,9,,0,0,0,5512.00000,,56,3,120,360
2022-01-04,51602.32494,8972.56494,42629.76000,5512.00000,368,2,0,1,57.00000,0.00000,200.00000,0.00000,1,,0,0,0,5512.00000,,57,3,120,360
2022-01-05,50743.85845,8978.09845,41765.76000,5512.00000,368,1,0,0,60.00000,0.00000,0.00000,0.00000,0,,0,0,0,5512.00000,,60,3,120,360
2022-01-06,50745.24583,8979.48583,41765.76000,2756.00000,370,2,0,0,26.00000,0.00000,0.00000,0.00000,0,,0,0,0,2756.00000,,26,1,30,120
2022-01-07,50869.93135,9000.49135,41869.44000,0.00000,372,2,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-08,50872.57395,9003.13395,41869.44000,0.00000,374,2,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-09,50881.18505,9011.74505,41869.44000,0.00000,376,2,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-10,50879.54003,9010.10003,41869.44000,0.00000,375,1,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-11,50879.54003,9010.10003,41869.44000,0.00000,375,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-12,50879.54003,9010.10003,41869.44000,0.00000,375,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-13,51792.80989,9059.36989,42733.44000,0.00000,378,3,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-14,50928.80989,9059.36989,41869.44000,0.00000,377,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-15,51021.56413,9048.44413,41973.12000,0.00000,378,2,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-16,51021.56413,9048.44413,41973.12000,0.00000,378,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-17,51039.07217,9065.95217,41973.12000,0.00000,378,1,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-18,49648.22973,7778.78973,41869.44000,9200.00000,330,0,46,1,0.00000,9200.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-19,47105.75371,4942.55371,42163.20000,9400.00000,283,1,47,1,0.00000,9400.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-20,45329.43695,3166.23695,42163.20000,9600.00000,234,0,48,1,0.00000,9600.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-21,42133.99855,264.55855,41869.44000,5000.00000,208,0,25,0,0.00000,5000.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-22,42133.99855,264.55855,41869.44000,0.00000,208,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-23,42133.99855,264.55855,41869.44000,0.00000,208,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-24,42237.67855,264.55855,41973.12000,0.00000,209,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-25,43395.43855,264.55855,43130.88000,0.00000,211,2,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-26,43101.67855,264.55855,42837.12000,0.00000,210,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-27,42305.00768,331.88768,41973.12000,0.00000,211,2,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-28,43300.35013,463.23013,42837.12000,0.00000,213,2,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-29,43006.59013,463.23013,42543.36000,0.00000,212,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-30,43012.16577,468.80577,42543.36000,0.00000,213,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-31,43321.32653,484.20653,42837.12000,0.00000,216,3,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-01,43318.37591,481.25591,42837.12000,0.00000,215,0,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-02,42454.67077,481.55077,41973.12000,0.00000,215,2,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-03,42463.39581,490.27581,41973.12000,0.00000,217,2,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-04,42469.25848,496.13848,41973.12000,0.00000,218,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-05,42469.25848,496.13848,41973.12000,0.00000,218,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-06,43333.25848,496.13848,42837.12000,0.00000,219,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-07,43333.25848,496.13848,42837.12000,0.00000,219,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-08,43333.25848,496.13848,42837.12000,0.00000,219,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
