Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),stationary Deployment Cost ($),stationary Sites flagged for Follow-Up,stationary Leaks tagged for repair,stationary Sites Visited,stationary Travel Time (Minutes),stationary Survey Time (Minutes),OGI_FU_persitehigh Deployment Cost ($),OGI_FU_persitehigh Sites flagged for Follow-Up,OGI_FU_persitehigh Leaks tagged for repair,OGI_FU_persitehigh Sites Visited,OGI_FU_persitehigh Travel Time (Minutes),OGI_FU_persitehigh Survey Time (Minutes)
2022-01-01,857.89601,606.88806,251.00795,6030.00000,351,352,0,0,0.00000,0.00000,0.00000,6030,0,,10,0,0,0.00000,,0,0,0,0
2022-01-02,868.32364,612.92119,255.40245,30.00000,355,4,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-03,867.87674,612.47429,255.40245,30.00000,354,0,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-04,868.32364,612.47429,255.84935,30.00000,355,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-05,860.94982,605.10047,255.84935,30.00000,353,1,0,3,0.00000,0.00000,600.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-06,858.75257,604.87702,253.87555,30.00000,351,0,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-07,850.03805,605.10047,244.93758,30.00000,351,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-08,847.35666,602.41908,244.93758,30.00000,350,0,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-09,847.35666,602.41908,244.93758,30.00000,350,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-10,847.35666,602.41908,244.93758,5542.00000,350,0,0,0,54.00000,0.00000,0.00000,30,10,,10,0,0,5512.00000,,54,3,120,360
2022-01-11,853.61323,608.22876,245.38448,5542.00000,351,2,0,1,61.00000,0.00000,200.00000,30,0,,10,0,0,5512.00000,,61,3,120,360
2022-01-12,852.75668,608.67566,244.08102,5542.00000,353,3,0,0,64.00000,0.00000,0.00000,30,0,,10,0,0,5512.00000,,64,3,120,360
2022-01-13,852.75668,608.67566,244.08102,2786.00000,353,0,0,0,25.00000,0.00000,0.00000,30,0,,10,0,0,2756.00000,,25,1,30,120
2022-01-14,855.43807,611.35705,244.08102,30.00000,354,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-15,859.90705,615.82603,244.08102,30.00000,355,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-16,857.93325,615.82603,242.10722,30.00000,354,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-17,858.15670,616.04948,242.10722,30.00000,355,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-18,857.97049,617.83708,240.13342,30.00000,356,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-19,857.97049,617.83708,240.13342,5542.00000,356,0,0,0,68.00000,0.00000,0.00000,30,10,,10,0,0,5512.00000,,68,3,120,360
2022-01-20,858.19394,618.06052,240.13342,5542.00000,357,1,0,0,54.00000,0.00000,0.00000,30,0,,10,0,0,5512.00000,,54,3,120,360
2022-01-21,858.19394,618.06052,240.13342,5542.00000,357,0,0,0,61.00000,0.00000,0.00000,30,0,,10,0,0,5512.00000,,61,3,120,360
2022-01-22,858.19394,618.06052,240.13342,2786.00000,357,0,0,0,23.00000,0.00000,0.00000,30,0,,10,0,0,2756.00000,,23,1,30,120
2022-01-23,858.90153,620.74192,238.15962,30.00000,357,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-24,861.58292,623.42331,238.15962,30.00000,358,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-25,718.31474,478.18132,240.13342,8430.00000,317,1,42,0,0.00000,8400.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-26,541.52917,299.42195,242.10722,10230.00000,266,1,51,1,0.00000,10200.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-27,354.09252,113.51220,240.58032,10630.00000,214,2,53,0,0.00000,10600.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-28,276.59288,37.98637,238.60652,9542.00000,194,2,20,1,16.00000,4000.00000,200.00000,30,10,,10,0,0,5512.00000,,16,3,120,360
2022-01-29,276.36943,37.98637,238.38307,5542.00000,193,0,0,0,12.00000,0.00000,0.00000,30,0,,10,0,0,5512.00000,,12,3,120,360
2022-01-30,278.60393,40.22086,238.38307,5542.00000,193,1,0,1,17.00000,0.00000,200.00000,30,0,,10,0,0,5512.00000,,17,3,120,360
2022-01-31,282.92394,48.48848,234.43546,2786.00000,192,1,0,0,5.00000,0.00000,0.00000,30,0,,10,0,0,2756.00000,,5,1,30,120
2022-02-01,283.59429,48.48848,235.10581,30.00000,193,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-02,283.59429,48.48848,235.10581,30.00000,193,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-03,281.58325,47.14778,234.43546,430.00000,192,2,2,0,0.00000,400.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-04,279.60945,47.14778,232.46166,30.00000,191,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-05,279.60945,47.14778,232.46166,30.00000,191,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-06,279.60945,47.14778,232.46166,5742.00000,191,1,1,0,15.00000,200.00000,0.00000,30,10,,10,0,0,5512.00000,,15,3,120,360
2022-02-07,287.65362,55.19196,232.46166,5542.00000,191,1,0,1,15.00000,0.00000,200.00000,30,0,,10,0,0,5512.00000,,15,3,120,360
2022-02-08,288.10052,55.19196,232.90856,5542.00000,192,1,0,0,13.00000,0.00000,0.00000,30,0,,10,0,0,5512.00000,,13,3,120,360
2022-02-09,288.10052,55.19196,232.90856,2786.00000,192,0,0,0,7.00000,0.00000,0.00000,30,0,,10,0,0,2756.00000,,7,1,30,120
2022-02-10,278.71565,54.74506,223.97059,30.00000,189,0,0,2,0.00000,0.00000,400.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-11,272.45907,57.42645,215.03262,30.00000,189,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-12,269.55423,54.52161,215.03262,230.00000,187,0,1,1,0.00000,200.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-13,267.54319,51.84022,215.70297,230.00000,187,1,1,0,0.00000,200.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-14,258.56798,49.15883,209.40915,230.00000,186,1,1,0,0.00000,200.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-15,261.91972,51.84022,210.07950,5542.00000,188,2,0,0,17.00000,0.00000,0.00000,30,10,,10,0,0,5512.00000,,17,3,120,360
