Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($)
P_aircraft,0,0.0,2500.0,inf,0.0
P_aircraft,1,21423.8636692704,11456.0,19.097528973250355,3490.727783809324
P_aircraft,2,0.0,2500.0,inf,0.0
P_aircraft,3,16108.453804665602,9856.0,21.851880029481652,2624.6538961508513
P_aircraft,4,0.0,2500.0,inf,0.0
P_drone,0,0.0,1000.0,inf,0.0
P_drone,1,21423.8636692704,9956.0,16.59697961397351,3490.727783809324
P_drone,2,0.0,1000.0,inf,0.0
P_drone,3,16108.453804665602,8356.0,18.52620835291687,2624.6538961508513
P_drone,4,0.0,1000.0,inf,0.0
P_OGI,0,107538.0622659936,56848.0,18.879694049757347,17521.86755684788
P_OGI,1,120403.150662528,62848.0,18.642132005852787,19618.05908421279
P_OGI,2,100726.4364293664,58648.0,20.794654341218852,16412.005585735093
P_OGI,3,97657.13802168,58848.0,21.521358584640303,15911.905071938392
P_OGI,4,123943.0332189024,64448.0,18.570743558043358,20194.834897470144
P_stationary,0,236802.3150007584,866430.0,130.67409654052355,38583.722945790454
P_stationary,1,231372.275633136,867830.0,133.95696820898524,37698.971736561754
P_stationary,2,238626.5543175168,869030.0,130.06425794921435,38880.95798077902
P_stationary,3,211314.133595232,865030.0,146.19906414118645,34430.76975468788
P_stationary,4,248725.5651074016,873430.0,125.41504753626269,40526.454708048
P_truck,0,121806.1883363904,58692.0,17.20883713521984,19846.665028756197
P_truck,1,129142.02596509442,63492.0,17.558741328592184,21041.940195894294
P_truck,2,107185.45937112,60292.0,20.089345391805026,17464.41570125414
P_truck,3,110160.2387572416,60092.0,19.482009855409615,17949.1156234597
P_truck,4,136288.6022564352,66892.0,17.528978655933038,22206.377797085668
