Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),stationary Deployment Cost ($),stationary Sites flagged for Follow-Up,stationary Leaks tagged for repair,stationary Sites Visited,stationary Travel Time (Minutes),stationary Survey Time (Minutes),OGI_FU_persitehigh Deployment Cost ($),OGI_FU_persitehigh Sites flagged for Follow-Up,OGI_FU_persitehigh Leaks tagged for repair,OGI_FU_persitehigh Sites Visited,OGI_FU_persitehigh Travel Time (Minutes),OGI_FU_persitehigh Survey Time (Minutes)
2022-01-01,1034.30917,854.02289,180.28627,6030.00000,390,391,0,1,0.00000,0.00000,200.00000,6030,0,,10,0,0,0.00000,,0,0,0,0
2022-01-02,1034.30917,854.02289,180.28627,30.00000,390,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-03,1034.75607,854.46979,180.28627,30.00000,392,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-04,1043.02369,862.73741,180.28627,30.00000,393,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-05,1048.60992,860.05602,188.55389,30.00000,393,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-06,1045.92853,857.59808,188.33044,30.00000,392,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-07,1043.24714,854.91669,188.33044,30.00000,391,0,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-08,1040.11885,852.23530,187.88355,30.00000,389,0,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-09,1031.40433,843.96768,187.43665,30.00000,387,1,0,2,0.00000,0.00000,400.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-10,1031.40433,843.96768,187.43665,5542.00000,387,0,0,0,41.00000,0.00000,0.00000,30,10,,10,0,0,5512.00000,,41,3,120,360
2022-01-11,1035.42641,847.98977,187.43665,5542.00000,388,2,0,1,42.00000,0.00000,200.00000,30,0,,10,0,0,5512.00000,,42,3,120,360
2022-01-12,1027.82914,839.72214,188.10699,5542.00000,388,1,0,1,47.00000,0.00000,200.00000,30,0,,10,0,0,5512.00000,,47,3,120,360
2022-01-13,1031.62778,843.52078,188.10699,2786.00000,389,2,0,1,23.00000,0.00000,200.00000,30,0,,10,0,0,2756.00000,,23,1,30,120
2022-01-14,1031.62778,843.52078,188.10699,30.00000,389,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-15,1027.15879,839.05180,188.10699,30.00000,388,0,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-16,1029.84018,841.73319,188.10699,30.00000,389,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-17,1040.78919,852.68220,188.10699,30.00000,391,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-18,1034.75607,846.64907,188.10699,30.00000,389,0,0,2,0.00000,0.00000,400.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-19,1025.81810,846.64907,179.16903,5542.00000,388,0,0,0,50.00000,0.00000,0.00000,30,10,,10,0,0,5512.00000,,50,3,120,360
2022-01-20,1030.28708,851.11805,179.16903,5542.00000,389,1,0,0,38.00000,0.00000,0.00000,30,0,,10,0,0,5512.00000,,38,3,120,360
2022-01-21,1030.06363,851.11805,178.94558,5542.00000,388,0,0,0,52.00000,0.00000,0.00000,30,0,,10,0,0,5512.00000,,52,3,120,360
2022-01-22,1039.67195,859.60912,180.06282,2786.00000,392,4,0,0,17.00000,0.00000,0.00000,30,0,,10,0,0,2756.00000,,17,1,30,120
2022-01-23,1039.67195,859.60912,180.06282,30.00000,392,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-24,1039.44850,859.60912,179.83937,30.00000,391,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-25,932.63977,743.86243,188.77734,7030.00000,358,2,35,0,0.00000,7000.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-26,810.41305,621.63571,188.77734,7630.00000,320,0,38,0,0.00000,7600.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-27,666.73521,477.95787,188.77734,8430.00000,278,0,42,0,0.00000,8400.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-28,585.39970,396.62235,188.77734,9942.00000,257,1,22,0,32.00000,4400.00000,0.00000,30,10,,10,0,0,5512.00000,,32,3,120,360
2022-01-29,593.66732,404.88997,188.77734,5542.00000,258,1,0,0,24.00000,0.00000,0.00000,30,0,,10,0,0,5512.00000,,24,3,120,360
2022-01-30,596.94457,404.88997,192.05460,5542.00000,259,2,0,0,31.00000,0.00000,0.00000,30,0,,10,0,0,5512.00000,,31,3,120,360
2022-01-31,599.40251,407.34792,192.05460,2786.00000,259,1,0,1,7.00000,0.00000,200.00000,30,0,,10,0,0,2756.00000,,7,1,30,120
