Program Name,Simulation,"Average ""True"" Daily Emissions (Kg Methane)","Average ""True"" Mitigable Daily Emissions (Kg Methane)","Average ""True"" Non-Mitigable Daily Emissions (Kg Methane)","95th Percentile ""True"" Daily Emissions (Kg Methane)","95th Percentile ""True"" Mitigable Daily Emissions (Kg Methane)","95th Percentile ""True"" Non-Mitigable Daily Emissions (Kg Methane)","5th Percentile ""True"" Daily Emissions (Kg Methane)","5th Percentile ""True"" Mitigable Daily Emissions (Kg Methane)","5th Percentile ""True"" Non-Mitigable Daily Emissions (Kg Methane)",Average Daily Cost ($),Total Cost ($),95th Percentile Daily Cost ($),5th Percentile Daily Cost ($)
P_aircraft,0,35576.35504627397,7071.456416136985,28504.898630136988,44739.202386,10333.663302,34511.615999999995,26775.55255,1167.56666,25349.76,157.78630136986303,57592.0,0.0,0.0
P_aircraft,1,36350.777095013706,5574.671012821918,30776.10608219178,43747.35579,11027.641548,33886.08,29472.09307,364.703912,27578.88,144.63561643835615,52792.0,0.0,0.0
P_aircraft,2,41432.53454816438,7370.340575561644,34062.19397260274,45440.578126,11040.253739999998,36052.992,35226.768154,839.52011,32330.88,143.53972602739725,52392.0,0.0,0.0
P_aircraft,3,42275.849766438354,6506.060396575343,35769.789369863014,53535.201261999995,20537.91399399997,38852.352,35003.875232,2000.61552,32745.6,147.92328767123288,53992.0,0.0,0.0
P_aircraft,4,41487.71092158904,7037.782154465754,34449.92876712329,53487.04491199993,16041.284911999928,39018.24,38349.52872,928.927524,30551.04,143.53972602739725,52392.0,0.0,0.0
P_drone,0,35578.71992117808,7073.821291041096,28504.898630136988,44739.202386,10333.647048,34511.615999999995,26800.319852,1193.96501,25349.76,151.4849315068493,55292.0,0.0,0.0
P_drone,1,36327.52913183562,5551.423049643836,30776.10608219178,43728.547099999996,11027.641548,33886.08,29439.322076,331.93291200000004,27578.88,144.9095890410959,52892.0,0.0,0.0
P_drone,2,41450.46689254795,7388.272919945204,34062.19397260274,45441.967804,11046.096994,36052.992,35250.091604,862.84357,32330.88,137.78630136986303,50292.0,0.0,0.0
P_drone,3,42254.045324164385,6484.25595430137,35769.789369863014,53510.97642399999,20513.689155999968,38852.352,34953.408749999995,1949.31404,32745.6,150.3890410958904,54892.0,0.0,0.0
P_drone,4,41487.953097068494,7038.024329945205,34449.92876712329,53484.45460399993,16038.69460399993,39018.24,38353.05591,924.6103439999999,30551.04,141.07397260273973,51492.0,0.0,0.0
P_none,0,40117.89070221918,11612.99207208219,28504.898630136988,46018.12495,13328.069012,34511.615999999995,35658.512854,9505.3049,25349.76,0.0,0.0,0.0,0.0
P_none,1,42317.80340819178,11541.697326,30776.10608219178,46381.847366,13418.853258,33886.08,38327.0008,10297.016384,27578.88,0.0,0.0,0.0,0.0
P_none,2,45615.06049238356,11552.866519780819,34062.19397260274,48038.145156,13092.721556,36052.992,43158.271752,9537.672972,32330.88,0.0,0.0,0.0,0.0
P_none,3,47653.61366619178,11883.824296328767,35769.789369863014,55987.551732,22998.273097999998,38852.352,42642.506416000004,8709.08563,32745.6,0.0,0.0,0.0,0.0
P_none,4,50030.94684561644,15581.01807849315,34449.92876712329,61163.749837999996,23256.51467,39018.24,42206.375204,9569.61038,30551.04,0.0,0.0,0.0,0.0
P_OGI,0,35655.90935413699,7151.010724,28504.898630136988,44758.226575999994,10352.671244,34511.615999999995,27041.98604,1426.94564,25349.76,149.72054794520548,54648.0,0.0,0.0
P_OGI,1,36632.03963660274,5855.933554410959,30776.10608219178,43691.509668,11021.951726,33886.08,30001.61852,913.43788,27578.88,146.43287671232878,53448.0,0.0,0.0
P_OGI,2,41854.74996613699,7792.555993534247,34062.19397260274,45706.666568,11140.060424,36052.992,35832.550302,1456.902136,32330.88,138.76164383561644,50648.0,0.0,0.0
P_OGI,3,42257.10883279452,6487.319462931507,35769.789369863014,47431.513328,8421.3041,38852.352,35449.135312,2476.39745,32745.6,145.8849315068493,53248.0,0.0,0.0
