Program Name,Simulation,"Average ""True"" Daily Emissions (Kg Methane)","Average ""True"" Mitigable Daily Emissions (Kg Methane)","Average ""True"" Non-Mitigable Daily Emissions (Kg Methane)","95th Percentile ""True"" Daily Emissions (Kg Methane)","95th Percentile ""True"" Mitigable Daily Emissions (Kg Methane)","95th Percentile ""True"" Non-Mitigable Daily Emissions (Kg Methane)","5th Percentile ""True"" Daily Emissions (Kg Methane)","5th Percentile ""True"" Mitigable Daily Emissions (Kg Methane)","5th Percentile ""True"" Non-Mitigable Daily Emissions (Kg Methane)",Average Daily Cost ($),Total Cost ($),95th Percentile Daily Cost ($),5th Percentile Daily Cost ($)
P_aircraft,0,921.7051486301369,614.540434849315,307.1647138082192,965.07715,670.88392,336.55175,874.23015,556.52261,263.22317,26.454794520547946,9656.0,0.0,0.0
P_aircraft,1,988.4015765205479,672.3660304109588,316.03554589041096,1040.208226,705.742,339.53108,945.5402439999999,641.52269,295.90634,25.90684931506849,9456.0,0.0,0.0
P_aircraft,2,952.1556653698631,627.1754160821918,324.9802489041096,1109.64879,760.93395,356.88563,860.309264,536.50156,298.11849,49.895890410958906,18212.0,0.0,0.0
P_aircraft,3,961.4554376986302,611.2248159999999,350.230622739726,1109.5594159999998,743.0580159999998,372.97398,858.179046,496.99574,322.14673,36.74520547945205,13412.0,0.0,0.0
P_aircraft,4,928.5520822191781,633.0910049589041,295.461077369863,1004.1360719999998,702.30088,329.84828,858.648294,564.164574,263.26041,31.386301369863013,11456.0,0.0,0.0
P_drone,0,921.7051486301369,614.540434849315,307.1647138082192,965.07715,670.88392,336.55175,874.23015,556.52261,263.22317,22.345205479452055,8156.0,0.0,0.0
P_drone,1,988.4015765205479,672.3660304109588,316.03554589041096,1040.208226,705.742,339.53108,945.5402439999999,641.52269,295.90634,21.797260273972604,7956.0,0.0,0.0
P_drone,2,952.1556653698631,627.1754160821918,324.9802489041096,1109.64879,760.93395,356.88563,860.309264,536.50156,298.11849,45.78630136986301,16712.0,0.0,0.0
P_drone,3,961.4554376986302,611.2248159999999,350.230622739726,1109.5594159999998,743.0580159999998,372.97398,858.179046,496.99574,322.14673,32.635616438356166,11912.0,0.0,0.0
P_drone,4,928.5520822191781,633.0910049589041,295.461077369863,1004.1360719999998,702.30088,329.84828,858.648294,564.164574,263.26041,27.276712328767122,9956.0,0.0,0.0
P_none,0,955.6755507671232,648.5108366027397,307.1647138082192,997.648598,683.75459,336.55175,900.26198,610.86546,263.22317,0.0,0.0,0.0,0.0
P_none,1,1035.725058219178,719.6895123835615,316.03554589041096,1064.88447,757.0012459999999,339.53108,1005.610842,689.340824,295.90634,0.0,0.0,0.0,0.0
P_none,2,1044.3030594246572,719.3228107671234,324.9802489041096,1121.45436,785.0217759999999,356.88563,982.15612,664.4932699999999,298.11849,0.0,0.0,0.0,0.0
